# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.03856e-05 to 223.529 h/Mpc,
# number of wavenumbers equal to 388
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                    9:t_g                   10:t_b                   11:t_cdm                 12:t_ur                  13:t_tot              
       1.038559291337e-05      -1.550199379684e+00      -1.162649534847e+00      -1.162649534851e+00      -1.550199379669e+00      -1.173988378767e+00       6.124536613611e-01       5.967604659447e-01       1.497409455815e-08       1.497430284458e-08       1.497430381736e-08       1.497407961673e-08       1.497429534972e-08 
       1.087505082803e-05      -1.550201878008e+00      -1.162651408613e+00      -1.162651408618e+00      -1.550201877989e+00      -1.173990270801e+00       6.124533750536e-01       5.967602091656e-01       1.641872708691e-08       1.641899021119e-08       1.641899145206e-08       1.641870851566e-08       1.641898075765e-08 
       1.138757618353e-05      -1.550202956228e+00      -1.162652217287e+00      -1.162652217292e+00      -1.550202956207e+00      -1.173991087361e+00       6.124534764158e-01       5.967603084363e-01       1.800277462330e-08       1.800306802395e-08       1.800306928984e-08       1.800275385008e-08       1.800305738605e-08 
       1.192425611488e-05      -1.550204466694e+00      -1.162653350152e+00      -1.162653350157e+00      -1.550204466670e+00      -1.173992231275e+00       6.124535054993e-01       5.967603450501e-01       1.973963439047e-08       1.973997252651e-08       1.973997383205e-08       1.973961057967e-08       1.973996014428e-08 
       1.248622899217e-05      -1.550210151104e+00      -1.162657613489e+00      -1.162657613494e+00      -1.550210151078e+00      -1.173996536140e+00       6.124525303289e-01       5.967593940923e-01       2.164401717717e-08       2.164443895831e-08       2.164444042614e-08       2.164398982905e-08       2.164442342033e-08 
       1.307468683520e-05      -1.550194388343e+00      -1.162645791179e+00      -1.162645791171e+00      -1.550194388346e+00      -1.173984598531e+00       6.124569601003e-01       5.967634717924e-01       2.373284112922e-08       2.373280954049e-08       2.373280748533e-08       2.373283254893e-08       2.373280895747e-08 
       1.369087784196e-05      -1.550195875653e+00      -1.162646906653e+00      -1.162646906643e+00      -1.550195875655e+00      -1.173985724883e+00       6.124571244223e-01       5.967636351916e-01       2.602253845680e-08       2.602251526735e-08       2.602251284434e-08       2.602252785459e-08       2.602251402930e-08 
       1.433610903619e-05      -1.550197977845e+00      -1.162648483296e+00      -1.162648483285e+00      -1.550197977847e+00      -1.173987316902e+00       6.124571867467e-01       5.967637063355e-01       2.853311913858e-08       2.853312420252e-08       2.853312148037e-08       2.853310518270e-08       2.853312157701e-08 
       1.501174903977e-05      -1.550200836085e+00      -1.162650626981e+00      -1.162650626969e+00      -1.550200836084e+00      -1.173989481490e+00       6.124571167731e-01       5.967636517862e-01       3.128589419177e-08       3.128594864705e-08       3.128594564414e-08       3.128587570248e-08       3.128594381371e-08 
       1.571923097572e-05      -1.550203753367e+00      -1.162652814954e+00      -1.162652814941e+00      -1.550203753364e+00      -1.173991690809e+00       6.124570942255e-01       5.967636487560e-01       3.430423453403e-08       3.430435877066e-08       3.430435544164e-08       3.430421039802e-08       3.430435088743e-08 
       1.646005550808e-05      -1.550206055721e+00      -1.162654541741e+00      -1.162654541727e+00      -1.550206055712e+00      -1.173993434516e+00       6.124572935943e-01       5.967638747118e-01       3.761375475101e-08       3.761397577783e-08       3.761397213640e-08       3.761372256605e-08       3.761396377392e-08 
       1.723579402501e-05      -1.550209057726e+00      -1.162656793261e+00      -1.162656793245e+00      -1.550209057714e+00      -1.173995708019e+00       6.124573928211e-01       5.967639915421e-01       4.124258722288e-08       4.124290610485e-08       4.124290205199e-08       4.124254695856e-08       4.124288985789e-08 
       1.804809197192e-05      -1.550212785483e+00      -1.162659589105e+00      -1.162659589087e+00      -1.550212785465e+00      -1.173998531116e+00       6.124573925868e-01       5.967640141637e-01       4.522149542708e-08       4.522194758767e-08       4.522194289473e-08       4.522144504750e-08       4.522192551143e-08 
       1.889867234164e-05      -1.550216790601e+00      -1.162662592968e+00      -1.162662592948e+00      -1.550216790576e+00      -1.174001564142e+00       6.124574129025e-01       5.967640518063e-01       4.958427947091e-08       4.958487582860e-08       4.958487083490e-08       4.958421648782e-08       4.958484773708e-08 
       1.978933932919e-05      -1.550225769028e+00      -1.162669327030e+00      -1.162669327015e+00      -1.550225768974e+00      -1.174008364000e+00       6.124562883573e-01       5.967630718146e-01       5.436744159280e-08       5.436863117411e-08       5.436862773141e-08       5.436734872123e-08       5.436858094807e-08 
       2.072198215866e-05      -1.550230182682e+00      -1.162672637329e+00      -1.162672637311e+00      -1.550230182615e+00      -1.174011706566e+00       6.124564131627e-01       5.967632166772e-01       5.961259301519e-08       5.961403376974e-08       5.961402975500e-08       5.961248038269e-08       5.961397306201e-08 
       2.169857909054e-05      -1.550238787598e+00      -1.162679091223e+00      -1.162679091210e+00      -1.550238787500e+00      -1.174018223411e+00       6.124556085847e-01       5.967625053020e-01       6.536340200451e-08       6.536542424795e-08       6.536542151755e-08       6.536325322427e-08       6.536534154281e-08 
       2.272120161784e-05      -1.550246279742e+00      -1.162684710439e+00      -1.162684710421e+00      -1.550246279627e+00      -1.174023897359e+00       6.124552121762e-01       5.967621370888e-01       7.166930997008e-08       7.167176139079e-08       7.167175688281e-08       7.166913441138e-08       7.167166023993e-08 
       2.379201886006e-05      -1.550252820373e+00      -1.162689616117e+00      -1.162689616099e+00      -1.550252820224e+00      -1.174028850970e+00       6.124551960730e-01       5.967621844535e-01       7.858340824342e-08       7.858649875671e-08       7.858649521509e-08       7.858318885161e-08       7.858637300110e-08 
       2.491330216414e-05      -1.550259271138e+00      -1.162694454345e+00      -1.162694454324e+00      -1.550259270958e+00      -1.174033736372e+00       6.124553586748e-01       5.967623793762e-01       8.616473198172e-08       8.616841235466e-08       8.616840803123e-08       8.616446768337e-08       8.616826246328e-08 
       2.608742992229e-05      -1.550266179730e+00      -1.162699635974e+00      -1.162699635949e+00      -1.550266179514e+00      -1.174038968519e+00       6.124555780942e-01       5.967626315734e-01       9.447743368805e-08       9.448181972162e-08       9.448181465268e-08       9.447711606247e-08       9.448164111598e-08 
       2.731689261691e-05      -1.550272897920e+00      -1.162704674827e+00      -1.162704674799e+00      -1.550272897656e+00      -1.174044056458e+00       6.124560329181e-01       5.967631116882e-01       1.035921659523e-07       1.035973408212e-07       1.035973343759e-07       1.035917816736e-07       1.035971295659e-07 
       2.860429810320e-05      -1.550284798412e+00      -1.162713600550e+00      -1.162713600519e+00      -1.550284798090e+00      -1.174053069234e+00       6.124553980285e-01       5.967625432628e-01       1.135857399270e-07       1.135921751076e-07       1.135921681898e-07       1.135852744488e-07       1.135919134908e-07 
       2.995237714082e-05      -1.550295032644e+00      -1.162721276616e+00      -1.162721276582e+00      -1.550295032250e+00      -1.174060820144e+00       6.124554054921e-01       5.967626127472e-01       1.245435523186e-07       1.245513611814e-07       1.245513536586e-07       1.245429876937e-07       1.245510444288e-07 
       3.136398918614e-05      -1.550306619939e+00      -1.162729967593e+00      -1.162729967555e+00      -1.550306619455e+00      -1.174069595855e+00       6.124553222271e-01       5.967626043992e-01       1.365583315001e-07       1.365678564138e-07       1.365678485505e-07       1.365576452991e-07       1.365674711570e-07 
       3.284212845757e-05      -1.550319859931e+00      -1.162739898247e+00      -1.162739898209e+00      -1.550319859335e+00      -1.174079623332e+00       6.124550971934e-01       5.967624716115e-01       1.497319628985e-07       1.497436554973e-07       1.497436477863e-07       1.497311273721e-07       1.497431842476e-07 
       3.438993028667e-05      -1.550334586057e+00      -1.162750943666e+00      -1.162750943628e+00      -1.550334585324e+00      -1.174090776441e+00       6.124547982245e-01       5.967622764244e-01       1.641762549080e-07       1.641906131326e-07       1.641906060631e-07       1.641752391088e-07       1.641900365578e-07 
       3.601067776866e-05      -1.550350567576e+00      -1.162762930840e+00      -1.162762930805e+00      -1.550350566675e+00      -1.174102880475e+00       6.124545117032e-01       5.967621087888e-01       1.800137591916e-07       1.800313865401e-07       1.800313806574e-07       1.800125228824e-07       1.800306811288e-07 
       3.770780872622e-05      -1.550368489982e+00      -1.162776373935e+00      -1.162776373904e+00      -1.550368488873e+00      -1.174116454616e+00       6.124540977249e-01       5.967618301419e-01       1.973787600011e-07       1.974004140859e-07       1.974004100700e-07       1.973772551831e-07       1.973995503584e-07 
       3.948492300167e-05      -1.550387841934e+00      -1.162790889418e+00      -1.162790889393e+00      -1.550387840576e+00      -1.174131111596e+00       6.124537186710e-01       5.967615909571e-01       2.164187469554e-07       2.164451854905e-07       2.164451836417e-07       2.164169209470e-07       2.164441335810e-07 
       4.134579009264e-05      -1.550425983033e+00      -1.162819499384e+00      -1.162819499553e+00      -1.550425981035e+00      -1.174160000567e+00       6.124490713506e-01       5.967574323691e-01       2.372888951005e-07       2.373258428249e-07       2.373259419620e-07       2.372863918084e-07       2.373244560594e-07 
       4.329435714772e-05      -1.550446971958e+00      -1.162835243281e+00      -1.162835243345e+00      -1.550446969757e+00      -1.174175897839e+00       6.124491848658e-01       5.967576628744e-01       2.601790354427e-07       2.602228109073e-07       2.602228369750e-07       2.601762201553e-07       2.602210961531e-07 
       4.533475733889e-05      -1.550468468707e+00      -1.162851368127e+00      -1.162851368192e+00      -1.550468466092e+00      -1.174192179855e+00       6.124496886498e-01       5.967582725159e-01       2.852776446913e-07       2.853289614439e-07       2.853289888910e-07       2.852742848237e-07       2.853269478159e-07 
       4.747131862852e-05      -1.550495791879e+00      -1.162871863815e+00      -1.162871863886e+00      -1.550495788750e+00      -1.174212875302e+00       6.124493025936e-01       5.967580744137e-01       3.127953185785e-07       3.128569193127e-07       3.128569488402e-07       3.127912909415e-07       3.128544994622e-07 
       4.970857294954e-05      -1.550520167048e+00      -1.162890147996e+00      -1.162890148057e+00      -1.550520163366e+00      -1.174231337698e+00       6.124502757277e-01       5.967591402634e-01       3.429697859224e-07       3.430414106442e-07       3.430414399150e-07       3.429650021674e-07       3.430385913143e-07 
       5.205126581833e-05      -1.550554006941e+00      -1.162915532789e+00      -1.162915532875e+00      -1.550554002484e+00      -1.174256969872e+00       6.124495637134e-01       5.967586714377e-01       3.760505632191e-07       3.761372231634e-07       3.761372607771e-07       3.760447906464e-07       3.761338140386e-07 
       5.450436640056e-05      -1.550589577420e+00      -1.162942216148e+00      -1.162942216256e+00      -1.550589572048e+00      -1.174283913268e+00       6.124491665470e-01       5.967585091409e-01       4.123222069366e-07       4.124262367379e-07       4.124262828337e-07       4.123152585711e-07       4.124221447660e-07 
