# power spectrum of chi
# redshift z=100.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.513274e-02   4.675536e-21   2.247832e-10   1.506046e-21   6
  3.554306e-02   1.682676e-20   0.000000e+00   4.181870e-21   12
  4.353118e-02   9.463703e-21   4.768372e-10   3.865002e-21   8
  5.026548e-02   6.542078e-21   4.495664e-10   2.529394e-21   6
  5.619852e-02   6.168161e-21   8.991328e-10   1.343216e-21   24
  6.156239e-02   7.168736e-21   6.357829e-10   9.573719e-22   24
  7.416620e-02   6.367440e-21   1.948007e-03   9.264749e-22   42
  7.947671e-02   2.491862e-21   0.000000e+00   4.654335e-22   24
  8.335587e-02   3.767314e-21   1.557344e-09   7.350345e-22   24
  8.972863e-02   2.800191e-21   1.539368e-03   6.191330e-22   32
  9.403811e-02   2.692455e-21   0.000000e+00   3.874984e-22   48
  1.005310e-01   9.169368e-22   8.991328e-10   2.072514e-22   6
  1.049125e-01   1.743968e-21   1.486715e-03   1.970115e-22   84
  1.109741e-01   1.706775e-21   1.422978e-03   1.951615e-22   48
  1.160761e-01   1.686193e-21   1.277655e-03   1.503893e-22   72
  1.231248e-01   1.056932e-21   1.271566e-09   1.426737e-22   24
  1.274204e-01   1.142212e-21   1.133933e-03   1.083170e-22   102
  1.338823e-01   8.651794e-22   2.192492e-03   7.070129e-23   104
  1.376577e-01   6.707358e-22   0.000000e+00   9.933215e-23   48
  1.450967e-01   7.287693e-22   1.454852e-03   6.992257e-23   108
  1.494985e-01   8.123402e-22   1.026108e-03   9.908797e-23   78
  1.544156e-01   6.127048e-22   8.885963e-04   5.842245e-23   96
  1.612033e-01   4.472769e-22   1.252396e-03   3.698229e-23   168
  1.674610e-01   4.531963e-22   1.514588e-03   3.583076e-23   120
  1.704585e-01   2.732133e-22   0.000000e+00   3.564193e-23   48
  1.775076e-01   3.887941e-22   1.466362e-03   2.431069e-23   194
  1.836114e-01   2.799492e-22   1.199745e-03   1.976369e-23   192
  1.889121e-01   2.402643e-22   8.359107e-04   2.381688e-23   96
  1.926375e-01   2.523074e-22   7.114371e-04   2.109598e-23   96
  1.973415e-01   2.001183e-22   1.049518e-03   1.783199e-23   174
  2.036605e-01   1.959976e-22   1.032544e-03   1.512926e-23   216
  2.087655e-01   1.634071e-22   1.069752e-03   1.075017e-23   192
  2.153360e-01   1.065811e-22   1.134051e-03   8.260275e-24   204
  2.199701e-01   1.390112e-22   1.553116e-03   1.043196e-23   224
  2.263855e-01   1.106423e-22   8.767448e-04   7.601134e-24   174
  2.313653e-01   1.251818e-22   1.685384e-03   6.840809e-24   288
  2.375440e-01   8.211385e-23   8.296829e-04   4.684488e-24   288
  2.423661e-01   8.659972e-23   1.600294e-03   4.482660e-24   192
  2.486778e-01   7.998660e-23   1.171093e-03   4.642409e-24   252
  2.526714e-01   6.643043e-23   6.978544e-04   3.862112e-24   246
  2.580960e-01   6.677136e-23   1.324197e-03   3.297083e-24   312
  2.629351e-01   5.869793e-23   8.554600e-04   3.387687e-24   248
  2.695776e-01   4.587615e-23   1.809641e-03   2.057286e-24   432
  2.749286e-01   4.427468e-23   1.515534e-03   3.021552e-24   198
  2.802165e-01   4.096611e-23   1.832967e-03   2.066754e-24   456
  2.863920e-01   4.064703e-23   1.069655e-03   2.118877e-24   324
  2.907627e-01   3.642302e-23   1.266356e-03   2.138230e-24   312
  2.961810e-01   3.253731e-23   1.588477e-03   1.407519e-24   408
  3.029220e-01   2.937441e-23   1.466968e-03   1.273511e-24   414
  3.075580e-01   2.486009e-23   1.269406e-03   1.298102e-24   392
  3.123025e-01   1.995561e-23   1.430245e-03   9.698705e-25   408
  3.185470e-01   2.248499e-23   1.518117e-03   9.272332e-25   444
  3.232898e-01   2.518976e-23   1.227263e-03   1.336860e-24   360
  3.293455e-01   2.060603e-23   1.684453e-03   6.871398e-25   678
  3.357501e-01   1.627553e-23   1.079705e-03   7.682914e-25   360
  3.406722e-01   1.589305e-23   1.778081e-03   5.802743e-25   648
  3.453647e-01   1.514673e-23   8.217968e-04   7.709500e-25   288
  3.513418e-01   1.438867e-23   1.531028e-03   5.118350e-25   686
  3.569625e-01   1.370036e-23   1.138289e-03   6.256880e-25   444
  3.620452e-01   1.279338e-23   1.580989e-03   4.583691e-25   696
  3.671010e-01   1.251147e-23   1.502020e-03   5.432174e-25   408
  3.725872e-01   9.164923e-24   1.554025e-03   3.396584e-25   648
  3.782992e-01   1.022942e-23   1.360625e-03   3.764032e-25   582
  3.833918e-01   8.477198e-24   1.703041e-03   3.114751e-25   744
  3.890113e-01   7.665940e-24   1.700144e-03   2.962898e-25   516
  3.941882e-01   7.432979e-24   1.645265e-03   2.491503e-25   728
  3.989676e-01   8.109139e-24   1.363195e-03   3.202036e-25   558
  4.047392e-01   6.491498e-24   1.374231e-03   2.274108e-25   768
  4.109960e-01   6.685026e-24   1.593026e-03   2.016579e-25   960
  4.164620e-01   5.695542e-24   1.114439e-03   2.066172e-25   576
  4.217163e-01   5.869200e-24   1.808947e-03   1.929658e-25   816
  4.273742e-01   5.722906e-24   1.395616e-03   1.945368e-25   666
  4.323421e-01   5.157685e-24   1.636664e-03   1.559860e-25   960
  4.382783e-01   5.057218e-24   1.614107e-03   1.614718e-25   824
  4.440386e-01   4.217552e-24   1.777416e-03   1.329780e-25   936
  4.493430e-01   4.143277e-24   1.321819e-03   1.446775e-25   624
  4.542288e-01   3.721854e-24   1.556102e-03   1.104993e-25   1062
  4.599003e-01   3.396550e-24   1.695132e-03   1.239982e-25   732
  4.648741e-01   3.079144e-24   1.470856e-03   9.216122e-26   1080
  4.708074e-01   3.495917e-24   1.603534e-03   1.169317e-25   936
  4.761732e-01   2.882254e-24   1.731990e-03   9.996854e-26   878
  4.818260e-01   2.958183e-24   1.755225e-03   8.577507e-26   1152
  4.870749e-01   2.769368e-24   1.356663e-03   8.021438e-26   1056
  4.926568e-01   2.692362e-24   1.602363e-03   8.533528e-26   864
  4.976423e-01   2.294284e-24   1.565217e-03   6.781106e-26   1092
  5.036015e-01   2.252341e-24   1.653531e-03   6.561184e-26   1206
  5.092782e-01   2.226852e-24   1.678014e-03   6.061405e-26   1248
  5.145213e-01   2.146677e-24   1.137149e-03   6.804028e-26   864
  5.191890e-01   1.889466e-24   1.180642e-03   5.129347e-26   1152
  5.252742e-01   1.876138e-24   1.757644e-03   4.952120e-26   1382
  5.312134e-01   1.796770e-24   1.566451e-03   4.975178e-26   1188
  5.364142e-01   1.729618e-24   1.659855e-03   4.655426e-26   1248
  5.413249e-01   1.611399e-24   1.574532e-03   4.481371e-26   1152
  5.467138e-01   1.559021e-24   1.729118e-03   4.512188e-26   1320
  5.526917e-01   1.412304e-24   1.146028e-03   3.892411e-26   1206
  5.576517e-01   1.455908e-24   1.665023e-03   3.616911e-26   1560
  5.635439e-01   1.272910e-24   1.549958e-03   3.171163e-26   1280
  5.685850e-01   1.267272e-24   1.560520e-03   3.222791e-26   1308
  5.741001e-01   1.128651e-24   1.566129e-03   2.823461e-26   1512
  5.795940e-01   1.180447e-24   1.277777e-03   3.047523e-26   1350
  5.852552e-01   1.086665e-24   1.688249e-03   2.641595e-26   1608
  5.900948e-01   9.963623e-25   1.451867e-03   2.680118e-26   1320
  5.957309e-01   9.466403e-25   1.748946e-03   2.131234e-26   1656
  6.008045e-01   9.004240e-25   1.374965e-03   2.470187e-26   1254
  6.066730e-01   8.687052e-25   1.569270e-03   1.896448e-26   1932
  6.122044e-01   8.835814e-25   1.409199e-03   2.265420e-26   1640
  6.176544e-01   8.048392e-25   1.462843e-03   1.952270e-26   1488
  6.227944e-01   7.460482e-25   1.414095e-03   1.772355e-26   1560
  6.286404e-01   7.596410e-25   1.698486e-03   1.541462e-26   2046
  6.340669e-01   7.169938e-25   1.523538e-03   1.788531e-26   1512
  6.393232e-01   6.610609e-25   1.516165e-03   1.509072e-26   1764
  6.445652e-01   6.431540e-25   1.511671e-03   1.488297e-26   1776
  6.499746e-01   6.127781e-25   1.817211e-03   1.511264e-26   1704
  6.557781e-01   5.557897e-25   1.779589e-03   1.162334e-26   2126
  6.610046e-01   5.239097e-25   1.236245e-03   1.219347e-26   1632
  6.662499e-01   5.682202e-25   1.646884e-03   1.205202e-26   2064
  6.715382e-01   5.136017e-25   1.357901e-03   1.220672e-26   1680
  6.772924e-01   4.746766e-25   1.523137e-03   1.029694e-26   2154
  6.826481e-01   4.787436e-25   1.541852e-03   1.019121e-26   2016
  6.884154e-01   4.358796e-25   1.692697e-03   8.374585e-27   2304
  6.937001e-01   4.393891e-25   1.347609e-03   1.051724e-26   1680
  6.991903e-01   4.301024e-25   1.561166e-03   7.967319e-27   2432
