# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.513274e-02   1.264663e-02   2.247832e-10   5.173601e-03   6
  3.554306e-02   1.852406e-02   0.000000e+00   3.804045e-03   12
  4.353118e-02   2.280648e-02   4.768372e-10   5.498016e-03   8
  5.026548e-02   1.097157e-01   4.495664e-10   1.315818e-02   6
  5.619852e-02   1.069964e-01   8.991328e-10   3.374238e-02   24
  6.156239e-02   1.948883e-01   6.357829e-10   3.716907e-02   24
  7.416620e-02   1.517615e-01   1.948007e-03   2.155349e-02   42
  7.947671e-02   2.517529e-01   0.000000e+00   4.713999e-02   24
  8.335587e-02   2.783963e-01   1.557344e-09   6.642375e-02   24
  8.972863e-02   2.825702e-01   1.539368e-03   3.531981e-02   32
  9.403811e-02   2.978669e-01   0.000000e+00   4.725902e-02   48
  1.005310e-01   2.711283e-01   8.991328e-10   1.130392e-01   6
  1.049125e-01   3.342644e-01   1.486715e-03   3.613345e-02   84
  1.109741e-01   4.958957e-01   1.422978e-03   7.774387e-02   48
  1.160761e-01   4.520752e-01   1.277655e-03   4.826995e-02   72
  1.231248e-01   6.092383e-01   1.271566e-09   7.810856e-02   24
  1.274204e-01   4.932322e-01   1.133933e-03   4.772988e-02   102
  1.338823e-01   6.582977e-01   2.192492e-03   6.841089e-02   104
  1.376577e-01   3.560912e-01   0.000000e+00   6.321913e-02   48
  1.450967e-01   6.234356e-01   1.454852e-03   5.219945e-02   108
  1.494985e-01   7.147492e-01   1.026108e-03   8.436656e-02   78
  1.544156e-01   9.827853e-01   8.885963e-04   8.485345e-02   96
  1.612033e-01   6.687122e-01   1.252396e-03   5.887086e-02   168
  1.674610e-01   8.145797e-01   1.514588e-03   6.861097e-02   120
  1.704585e-01   7.534525e-01   0.000000e+00   1.279300e-01   48
  1.775076e-01   1.069067e+00   1.466362e-03   7.508672e-02   194
  1.836114e-01   9.212328e-01   1.199745e-03   7.084414e-02   192
  1.889121e-01   1.110356e+00   8.359107e-04   1.001040e-01   96
  1.926375e-01   1.134440e+00   7.114371e-04   9.359127e-02   96
  1.973415e-01   1.034076e+00   1.049518e-03   7.202704e-02   174
  2.036605e-01   1.170921e+00   1.032544e-03   7.869272e-02   216
  2.087655e-01   1.117732e+00   1.069752e-03   9.181671e-02   192
  2.153360e-01   1.079887e+00   1.134051e-03   7.995503e-02   204
  2.199701e-01   1.304841e+00   1.553116e-03   8.924927e-02   224
  2.263855e-01   1.479731e+00   8.767448e-04   1.079786e-01   174
  2.313653e-01   1.657125e+00   1.685384e-03   9.824804e-02   288
  2.375440e-01   1.368960e+00   8.296829e-04   7.779279e-02   288
  2.423661e-01   1.523310e+00   1.600294e-03   1.070979e-01   192
  2.486778e-01   1.694630e+00   1.171093e-03   9.715964e-02   252
  2.526714e-01   1.708681e+00   6.978544e-04   9.948808e-02   246
  2.580960e-01   1.618517e+00   1.324197e-03   9.678368e-02   312
  2.629351e-01   1.807737e+00   8.554600e-04   1.176958e-01   248
  2.695776e-01   1.905457e+00   1.809641e-03   8.994123e-02   432
  2.749286e-01   2.109592e+00   1.515534e-03   1.572795e-01   198
  2.802165e-01   2.264032e+00   1.832967e-03   1.350037e-01   456
  2.863920e-01   1.817406e+00   1.069655e-03   9.406611e-02   324
  2.907627e-01   2.046943e+00   1.266356e-03   1.200342e-01   312
  2.961810e-01   2.284365e+00   1.588477e-03   1.067262e-01   408
  3.029220e-01   2.127563e+00   1.466968e-03   1.006423e-01   414
  3.075580e-01   2.349448e+00   1.269406e-03   1.217938e-01   392
  3.123025e-01   2.377912e+00   1.430245e-03   1.201660e-01   408
  3.185470e-01   2.633032e+00   1.518117e-03   1.179164e-01   444
  3.232898e-01   2.501364e+00   1.227263e-03   1.328827e-01   360
  3.293455e-01   2.742755e+00   1.684453e-03   1.133726e-01   678
  3.357501e-01   2.737853e+00   1.079705e-03   1.404005e-01   360
  3.406722e-01   3.003799e+00   1.778081e-03   1.115837e-01   648
  3.453647e-01   2.767012e+00   8.217968e-04   1.695506e-01   288
  3.513418e-01   3.231256e+00   1.531028e-03   1.335515e-01   686
  3.569625e-01   3.298677e+00   1.138289e-03   1.761182e-01   444
  3.620452e-01   3.595485e+00   1.580989e-03   1.365647e-01   696
  3.671010e-01   3.677989e+00   1.502020e-03   1.837139e-01   408
  3.725872e-01   3.561014e+00   1.554025e-03   1.475527e-01   648
  3.782992e-01   3.231446e+00   1.360625e-03   1.426263e-01   582
  3.833918e-01   3.603591e+00   1.703041e-03   1.263340e-01   744
  3.890113e-01   3.544766e+00   1.700144e-03   1.635514e-01   516
  3.941882e-01   3.847643e+00   1.645265e-03   1.416263e-01   728
  3.989676e-01   3.593024e+00   1.363195e-03   1.461522e-01   558
  4.047392e-01   3.742280e+00   1.374231e-03   1.225295e-01   768
  4.109960e-01   4.085624e+00   1.593026e-03   1.300198e-01   960
  4.164620e-01   4.310250e+00   1.114439e-03   1.793173e-01   576
  4.217163e-01   4.222625e+00   1.808947e-03   1.455713e-01   816
  4.273742e-01   4.576692e+00   1.395616e-03   1.695178e-01   666
  4.323421e-01   4.595011e+00   1.636664e-03   1.408322e-01   960
  4.382783e-01   4.485764e+00   1.614107e-03   1.622460e-01   824
  4.440386e-01   4.659336e+00   1.777416e-03   1.602424e-01   936
  4.493430e-01   5.191885e+00   1.321819e-03   2.172105e-01   624
  4.542288e-01   4.717981e+00   1.556102e-03   1.444650e-01   1062
  4.599003e-01   5.334716e+00   1.695132e-03   1.932634e-01   732
  4.648741e-01   5.364902e+00   1.470856e-03   1.590454e-01   1080
  4.708074e-01   5.423648e+00   1.603534e-03   1.672258e-01   936
  4.761732e-01   5.300158e+00   1.731990e-03   1.759987e-01   878
  4.818260e-01   5.678545e+00   1.755225e-03   1.671491e-01   1152
  4.870749e-01   5.494519e+00   1.356663e-03   1.603589e-01   1056
  4.926568e-01   6.419682e+00   1.602363e-03   2.139674e-01   864
  4.976423e-01   5.843752e+00   1.565217e-03   1.935473e-01   1092
  5.036015e-01   6.452952e+00   1.653531e-03   1.902788e-01   1206
  5.092782e-01   6.170701e+00   1.678014e-03   1.882114e-01   1248
  5.145213e-01   6.263267e+00   1.137149e-03   2.261245e-01   864
  5.191890e-01   6.883578e+00   1.180642e-03   1.964277e-01   1152
  5.252742e-01   6.606838e+00   1.757644e-03   1.729519e-01   1382
  5.312134e-01   7.147187e+00   1.566451e-03   2.012775e-01   1188
  5.364142e-01   7.106360e+00   1.659855e-03   2.095496e-01   1248
  5.413249e-01   6.914995e+00   1.574532e-03   1.998034e-01   1152
  5.467138e-01   7.102190e+00   1.729118e-03   2.030273e-01   1320
  5.526917e-01   7.317874e+00   1.146028e-03   2.186939e-01   1206
  5.576517e-01   7.467039e+00   1.665023e-03   1.961503e-01   1560
  5.635439e-01   7.279442e+00   1.549958e-03   1.962549e-01   1280
  5.685850e-01   7.351180e+00   1.560520e-03   2.136962e-01   1308
  5.741001e-01   7.745322e+00   1.566129e-03   2.132362e-01   1512
  5.795940e-01   7.951592e+00   1.277777e-03   2.121647e-01   1350
  5.852552e-01   7.429611e+00   1.688249e-03   1.726804e-01   1608
  5.900948e-01   9.060247e+00   1.451867e-03   2.474943e-01   1320
  5.957309e-01   8.939413e+00   1.748946e-03   2.188762e-01   1656
  6.008045e-01   8.780438e+00   1.374965e-03   2.672942e-01   1254
  6.066730e-01   8.987440e+00   1.569270e-03   1.938415e-01   1932
  6.122044e-01   8.471203e+00   1.409199e-03   2.097784e-01   1640
  6.176544e-01   9.160260e+00   1.462843e-03   2.457554e-01   1488
  6.227944e-01   9.398953e+00   1.414095e-03   2.335944e-01   1560
  6.286404e-01   9.742002e+00   1.698486e-03   2.132516e-01   2046
  6.340669e-01   9.190113e+00   1.523538e-03   2.408052e-01   1512
  6.393232e-01   9.465964e+00   1.516165e-03   2.346073e-01   1764
  6.445652e-01   1.018120e+01   1.511671e-03   2.441666e-01   1776
  6.499746e-01   9.991181e+00   1.817211e-03   2.429569e-01   1704
  6.557781e-01   1.025717e+01   1.779589e-03   2.235625e-01   2126
  6.610046e-01   1.035075e+01   1.236245e-03   2.509772e-01   1632
  6.662499e-01   1.058332e+01   1.646884e-03   2.387443e-01   2064
  6.715382e-01   1.040993e+01   1.357901e-03   2.586532e-01   1680
  6.772924e-01   1.105341e+01   1.523137e-03   2.543783e-01   2154
  6.826481e-01   1.095343e+01   1.541852e-03   2.457836e-01   2016
  6.884154e-01   1.103893e+01   1.692697e-03   2.337727e-01   2304
  6.937001e-01   1.219696e+01   1.347609e-03   3.080344e-01   1680
  6.991903e-01   1.165450e+01   1.561166e-03   2.230018e-01   2432
  7.046941e-01   1.085521e+01   1.538311e-03   2.346650e-01   1902
  7.101567e-01   1.200089e+01   1.581895e-03   2.503697e-01   2292
  7.150285e-01   1.190302e+01   1.252979e-03   2.609967e-01   1992
  7.208092e-01   1.205398e+01   1.606146e-03   2.409796e-01   2568
  7.263678e-01   1.239582e+01   1.402295e-03   2.854426e-01   1806
  7.319849e-01   1.287204e+01   1.724889e-03   2.296351e-01   3000
  7.376724e-01   1.233639e+01   1.569594e-03   2.631416e-01   2016
  7.424201e-01   1.331678e+01   1.465108e-03   2.893085e-01   2168
  7.478330e-01   1.275629e+01   1.496073e-03   2.534585e-01   2412
  7.534914e-01   1.313329e+01   1.636470e-03   2.532145e-01   2550
  7.589365e-01   1.326274e+01   1.624710e-03   2.693002e-01   2592
  7.646194e-01   1.335337e+01   1.496749e-03   2.799380e-01   2496
  7.700227e-01   1.344691e+01   1.655767e-03   2.773009e-01   2688
  7.754124e-01   1.362285e+01   1.430386e-03   2.753715e-01   2424
  7.810929e-01   1.413899e+01   1.312547e-03   2.808635e-01   2634
  7.862125e-01   1.422832e+01   1.574459e-03   2.625552e-01   2552
  7.913127e-01   1.456998e+01   1.651778e-03   2.770788e-01   2832
  7.969736e-01   1.488821e+01   1.568612e-03   2.980329e-01   2424
  8.025554e-01   1.482413e+01   1.740010e-03   2.594916e-01   3198
  8.077809e-01   1.472915e+01   1.388970e-03   3.089776e-01   2400
  8.133203e-01   1.533778e+01   1.597724e-03   2.778176e-01   3336
  8.190443e-01   1.478923e+01   1.344782e-03   3.137034e-01   2508
  8.240739e-01   1.515768e+01   1.620807e-03   2.699450e-01   3104
  8.299549e-01   1.542790e+01   1.630675e-03   2.897375e-01   2934
  8.352548e-01   1.544909e+01   1.499159e-03   2.807588e-01   3120
  8.410021e-01   1.627774e+01   1.672615e-03   2.804346e-01   3288
  8.462971e-01   1.586306e+01   1.408091e-03   2.996037e-01   2808
  8.517341e-01   1.570731e+01   1.767149e-03   2.790686e-01   2988
  8.572072e-01   1.695819e+01   1.617824e-03   2.863165e-01   3486
  8.625080e-01   1.716677e+01   1.531395e-03   3.262685e-01   3000
  8.676262e-01   1.658163e+01   1.332104e-03   3.056588e-01   3024
  8.733607e-01   1.686187e+01   1.466916e-03   2.760226e-01   3584
  8.791129e-01   1.722748e+01   1.571450e-03   3.076317e-01   3486
  8.844786e-01   1.684417e+01   1.415254e-03   2.906206e-01   3120
  8.897252e-01   1.727016e+01   1.397521e-03   3.010930e-01   3396
  8.950216e-01   1.759679e+01   1.596634e-03   3.049018e-01   3552
  9.006758e-01   1.827212e+01   1.536565e-03   3.140836e-01   3384
  9.062646e-01   1.722476e+01   1.564378e-03   2.749796e-01   3726
  9.115861e-01   1.822552e+01   1.516080e-03   3.169051e-01   3344
  9.166417e-01   1.891320e+01   1.557833e-03   3.117804e-01   3744
  9.224231e-01   1.812414e+01   1.516451e-03   3.095329e-01   3540
  9.278433e-01   1.871977e+01   1.609838e-03   3.163552e-01   3822
  9.335305e-01   1.885307e+01   1.580500e-03   3.041258e-01   4056
  9.387066e-01   1.885602e+01   1.452506e-03   3.258139e-01   3288
  9.441340e-01   1.957684e+01   1.677753e-03   3.245990e-01   4056
  9.494626e-01   1.955984e+01   1.536843e-03   3.154961e-01   3984
  9.552959e-01   1.936431e+01   1.413015e-03   3.218219e-01   3662
  9.602370e-01   1.960783e+01   1.541776e-03   3.289955e-01   3828
  9.658108e-01   1.976558e+01   1.742991e-03   2.967061e-01   4632
  9.713679e-01   2.070553e+01   1.345609e-03   3.466621e-01   3600
  9.769230e-01   2.012962e+01   1.597718e-03   3.248184e-01   4320
  9.821794e-01   2.054975e+01   1.253511e-03   3.209702e-01   3918
  9.874859e-01   2.026412e+01   1.442268e-03   3.233662e-01   4200
  9.928210e-01   2.034398e+01   1.636673e-03   3.023379e-01   4188
  9.983519e-01   2.117630e+01   1.662286e-03   3.202820e-01   4360
  1.003968e+00   2.163328e+01   1.662160e-03   3.413722e-01   4582
  1.009399e+00   2.080985e+01   1.477494e-03   3.345572e-01   4128
  1.014920e+00   2.088480e+01   1.587216e-03   3.051353e-01   4752
  1.020120e+00   2.118383e+01   1.461112e-03   3.401481e-01   4176
  1.025775e+00   2.128102e+01   1.680085e-03   3.110371e-01   4848
