# power spectrum of phi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.513274e-02   9.628069e-11   2.247832e-10   3.887413e-11   6
  3.554306e-02   3.522741e-11   0.000000e+00   7.067583e-12   12
  4.353118e-02   1.951472e-11   4.768372e-10   4.185951e-12   8
  5.026548e-02   5.359882e-11   4.495664e-10   5.963488e-12   6
  5.619852e-02   3.316926e-11   8.991328e-10   1.050710e-11   24
  6.156239e-02   4.294264e-11   6.357829e-10   7.498856e-12   24
  7.416620e-02   1.667514e-11   1.948007e-03   2.883059e-12   42
  7.947671e-02   2.033423e-11   0.000000e+00   4.292546e-12   24
  8.335587e-02   1.741673e-11   1.557344e-09   4.297283e-12   24
  8.972863e-02   1.503972e-11   1.539368e-03   1.638212e-12   32
  9.403811e-02   1.245809e-11   0.000000e+00   1.807472e-12   48
  1.005310e-01   1.195744e-11   8.991328e-10   5.253738e-12   6
  1.049125e-01   9.417145e-12   1.486715e-03   9.432227e-13   84
  1.109741e-01   1.033119e-11   1.422978e-03   1.571088e-12   48
  1.160761e-01   7.423882e-12   1.277655e-03   7.310601e-13   72
  1.231248e-01   8.077822e-12   1.271566e-09   1.148147e-12   24
  1.274204e-01   5.403623e-12   1.133933e-03   5.058550e-13   102
  1.338823e-01   6.293438e-12   2.192492e-03   6.622494e-13   104
  1.376577e-01   3.555796e-12   0.000000e+00   5.470182e-13   48
  1.450967e-01   3.592654e-12   1.454852e-03   2.956837e-13   108
  1.494985e-01   4.316701e-12   1.026108e-03   4.873196e-13   78
  1.544156e-01   4.778856e-12   8.885963e-04   4.426442e-13   96
  1.612033e-01   3.113118e-12   1.252396e-03   2.545510e-13   168
  1.674610e-01   2.921281e-12   1.514588e-03   2.835348e-13   120
  1.704585e-01   2.782114e-12   0.000000e+00   3.885550e-13   48
  1.775076e-01   2.822139e-12   1.466362e-03   2.317552e-13   194
  1.836114e-01   2.326054e-12   1.199745e-03   1.847671e-13   192
  1.889121e-01   2.778486e-12   8.359107e-04   2.243537e-13   96
  1.926375e-01   1.981249e-12   7.114371e-04   1.749150e-13   96
