# power spectrum of phi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   1.247218e-10   1.873193e-10   5.028918e-11   6
  4.041873e-02   4.747989e-11   7.123136e-03   7.724273e-12   50
  6.490740e-02   3.139302e-11   7.704015e-03   2.824353e-12   146
  8.919218e-02   1.584828e-11   6.515352e-03   9.789967e-13   258
  1.152383e-01   7.264781e-12   7.588046e-03   3.309024e-13   488
  1.414449e-01   5.085228e-12   7.538441e-03   2.099318e-13   698
  1.659742e-01   3.124133e-12   7.050465e-03   1.093570e-13   906
  1.914641e-01   2.035000e-12   7.471609e-03   5.623803e-14   1334
  2.173330e-01   1.412389e-12   6.995022e-03   3.485450e-14   1610
  2.424567e-01   1.084389e-12   7.345390e-03   2.503000e-14   2024
  2.678993e-01   8.028152e-13   7.580509e-03   1.594478e-14   2538
  2.938190e-01   5.950202e-13   7.447628e-03   1.132416e-14   3074
  3.195712e-01   4.855057e-13   7.220239e-03   8.481244e-15   3530
  3.446864e-01   3.753914e-13   7.270973e-03   5.852434e-15   4056
  3.699787e-01   3.103743e-13   7.428541e-03   4.528356e-15   4814
  3.958636e-01   2.444401e-13   7.424289e-03   3.348015e-15   5570
  4.214096e-01   2.081565e-13   7.192216e-03   2.715597e-15   6090
  4.461528e-01   1.775866e-13   7.017327e-03   2.230781e-15   6674
  4.716496e-01   1.460721e-13   7.522617e-03   1.604700e-15   8000
  4.976255e-01   1.271767e-13   7.432317e-03   1.353305e-15   8690
  5.234355e-01   1.062312e-13   7.563486e-03   1.106829e-15   9762
  5.488848e-01   9.119965e-14   7.139761e-03   8.716957e-16   10262
  5.740202e-01   8.030066e-14   7.208672e-03   7.618144e-16   11384
  5.998726e-01   6.832927e-14   7.605282e-03   6.012035e-16   12978
  6.254488e-01   6.186331e-14   7.225996e-03   5.384536e-16   13322
  6.507142e-01   5.251196e-14   7.369919e-03   4.322626e-16   14858
  6.762540e-01   4.720606e-14   7.250774e-03   3.743463e-16   15858
  7.016736e-01   4.109618e-14   7.353014e-03   3.133058e-16   17120
  7.269255e-01   3.754854e-14   7.307103e-03   2.819535e-16   18206
  7.526206e-01   3.346569e-14   7.525550e-03   2.345966e-16   20282
  7.783742e-01   2.957373e-14   7.276293e-03   2.011937e-16   20946
  8.037396e-01   2.692469e-14   7.373172e-03   1.796163e-16   22514
  8.292023e-01   2.429713e-14   7.345694e-03   1.565837e-16   23936
  8.546745e-01   2.230883e-14   7.347089e-03   1.425897e-16   25458
  8.800992e-01   2.002685e-14   7.329232e-03   1.225869e-16   26882
  9.054925e-01   1.867193e-14   7.338127e-03   1.103335e-16   28514
  9.311790e-01   1.697734e-14   7.460228e-03   9.629584e-17   30740
  9.568777e-01   1.513490e-14   7.357333e-03   8.589577e-17   31866
  9.821952e-01   1.417533e-14   7.331624e-03   7.830111e-17   33314
  1.007650e+00   1.281555e-14   7.414657e-03   6.820852e-17   35666
  1.033253e+00   1.200650e-14   7.318024e-03   6.329333e-17   37242
  1.058762e+00   1.101560e-14   7.338439e-03   5.609402e-17   39008
  1.084162e+00   1.009831e-14   7.377341e-03   5.004456e-17   40874
  1.109663e+00   9.213486e-15   7.384274e-03   4.441391e-17   43134
  1.135231e+00   8.738564e-15   7.323407e-03   4.146384e-17   44906
  1.160648e+00   8.068660e-15   7.324475e-03   3.739400e-17   46688
  1.186063e+00   7.581993e-15   7.393303e-03   3.440925e-17   49106
  1.211638e+00   7.013840e-15   7.403029e-03   3.073258e-17   51498
  1.237270e+00   6.579583e-15   7.385683e-03   2.837393e-17   53570
  1.262712e+00   6.112912e-15   7.321723e-03   2.611587e-17   55226
  1.288093e+00   5.743323e-15   7.341969e-03   2.392796e-17   57708
  1.313634e+00   5.332785e-15   7.407574e-03   2.182850e-17   60530
  1.339301e+00   5.029485e-15   7.432212e-03   2.001326e-17   63050
  1.364534e+00   4.681305e-15   7.161349e-03   1.864055e-17   63138
  1.389920e+00   4.450529e-15   7.475118e-03   1.703173e-17   68594
  1.415805e+00   4.155668e-15   7.439430e-03   1.566688e-17   70664
  1.441273e+00   3.906813e-15   7.308630e-03   1.463614e-17   71594
  1.466675e+00   3.671894e-15   7.411357e-03   1.345243e-17   75438
  1.492191e+00   3.486233e-15   7.301996e-03   1.262075e-17   77258
  1.517767e+00   3.281373e-15   7.436078e-03   1.154435e-17   81128
  1.543221e+00   3.107007e-15   7.296345e-03   1.087615e-17   82098
  1.568696e+00   2.940250e-15   7.424693e-03   1.002542e-17   86690
  1.594426e+00   2.803240e-15   7.389266e-03   9.430917e-18   89306
  1.619960e+00   2.654334e-15   7.318410e-03   8.757587e-18   91074
  1.645323e+00   2.512692e-15   7.332853e-03   8.215494e-18   93908
  1.670710e+00   2.353922e-15   7.343977e-03   7.562383e-18   97106
  1.696187e+00   2.269589e-15   7.356873e-03   7.183616e-18   100370
  1.721752e+00   2.138988e-15   7.394531e-03   6.696166e-18   103914
  1.747332e+00   2.035829e-15   7.360597e-03   6.234987e-18   106616
  1.772874e+00   1.940740e-15   7.362187e-03   5.831900e-18   109850
  1.798406e+00   1.835503e-15   7.360683e-03   5.508357e-18   112842
  1.823780e+00   1.754192e-15   7.293039e-03   5.189533e-18   114914
  1.849190e+00   1.679824e-15   7.358923e-03   4.864270e-18   119582
  1.874776e+00   1.589663e-15   7.367534e-03   4.542331e-18   122888
  1.900308e+00   1.525657e-15   7.385270e-03   4.285414e-18   126090
  1.925820e+00   1.467661e-15   7.366580e-03   4.074648e-18   129482
  1.951341e+00   1.392810e-15   7.334265e-03   3.830271e-18   132818
  1.976809e+00   1.331447e-15   7.322888e-03   3.638626e-18   135810
  2.002209e+00   1.278296e-15   7.346060e-03   3.449864e-18   139304
  2.027792e+00   1.226118e-15   7.442133e-03   3.242529e-18   145022
  2.053380e+00   1.165519e-15   7.308775e-03   3.072615e-18   146370
  2.078794e+00   1.120383e-15   7.334480e-03   2.890290e-18   150338
  2.104269e+00   1.085610e-15   7.371946e-03   2.775159e-18   154544
  2.129794e+00   1.034327e-15   7.373878e-03   2.613111e-18   158546
  2.155453e+00   9.958660e-16   7.427055e-03   2.472101e-18   163602
  2.180972e+00   9.519727e-16   7.309285e-03   2.339328e-18   164642
  2.206370e+00   9.131121e-16   7.351997e-03   2.230123e-18   169790
  2.231837e+00   8.712007e-16   7.324438e-03   2.100310e-18   173136
  2.257387e+00   8.469299e-16   7.423329e-03   2.008884e-18   179090
  2.282912e+00   8.132133e-16   7.329232e-03   1.917277e-18   180890
  2.308457e+00   7.789157e-16   7.404053e-03   1.801883e-18   187434
  2.333949e+00   7.534914e-16   7.276406e-03   1.734449e-18   188000
  2.359383e+00   7.265198e-16   7.426870e-03   1.647348e-18   195338
  2.384874e+00   6.978473e-16   7.330167e-03   1.574001e-18   197246
  2.410353e+00   6.711372e-16   7.377053e-03   1.495939e-18   203394
  2.435901e+00   6.487284e-16   7.347720e-03   1.426953e-18   206834
  2.461361e+00   6.215330e-16   7.352103e-03   1.353645e-18   210728
  2.486883e+00   6.016173e-16   7.408456e-03   1.300850e-18   216930
  2.512465e+00   5.790740e-16   7.356142e-03   1.236696e-18   220226
  2.537932e+00   5.580242e-16   7.338615e-03   1.184816e-18   224018
  2.563367e+00   5.396175e-16   7.347478e-03   1.137085e-18   228644
  2.588906e+00   5.248144e-16   7.404034e-03   1.083973e-18   235098
  2.614571e+00   5.074923e-16   7.419460e-03   1.039478e-18   240098
  2.640032e+00   4.883038e-16   7.303768e-03   9.983481e-19   240794
  2.665399e+00   4.723824e-16   7.353580e-03   9.468082e-19   247626
  2.690948e+00   4.553288e-16   7.383215e-03   9.023515e-19   253472
  2.716502e+00   4.430814e-16   7.379669e-03   8.761836e-19   257594
  2.741989e+00   4.278091e-16   7.366069e-03   8.351012e-19   261954
  2.767506e+00   4.138441e-16   7.373825e-03   8.027868e-19   267830
  2.793068e+00   4.024475e-16   7.364123e-03   7.703299e-19   272474
  2.818538e+00   3.883051e-16   7.347491e-03   7.396304e-19   276008
  2.843958e+00   3.746796e-16   7.368971e-03   7.034817e-19   281754
  2.869505e+00   3.633719e-16   7.394802e-03   6.762076e-19   288578
  2.895121e+00   3.518437e-16   7.386730e-03   6.475378e-19   293450
  2.920590e+00   3.428729e-16   7.325223e-03   6.278482e-19   295680
  2.946058e+00   3.312734e-16   7.393210e-03   6.013865e-19   304022
  2.971618e+00   3.203204e-16   7.353750e-03   5.761319e-19   307994
