# power spectrum of delta
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   7.482822e-04   1.873193e-10   3.030328e-04   6
  4.041873e-02   4.711402e-03   7.123136e-03   1.129765e-03   50
  6.490740e-02   1.655550e-02   7.704015e-03   1.382231e-03   146
  8.919218e-02   3.035321e-02   6.515352e-03   1.809249e-03   258
  1.152383e-01   4.066237e-02   7.588046e-03   1.905895e-03   488
  1.414449e-01   6.270804e-02   7.538441e-03   2.537049e-03   698
  1.659742e-01   7.299508e-02   7.050465e-03   2.526792e-03   906
  1.914641e-01   8.840927e-02   7.471609e-03   2.480441e-03   1334
  2.173330e-01   1.022694e-01   6.995022e-03   2.457651e-03   1610
  2.424567e-01   1.206186e-01   7.345390e-03   2.769896e-03   2024
  2.678993e-01   1.389598e-01   7.580509e-03   2.701524e-03   2538
  2.938190e-01   1.487659e-01   7.447628e-03   2.752183e-03   3074
  3.195712e-01   1.702502e-01   7.220239e-03   2.915300e-03   3530
  3.446864e-01   1.833752e-01   7.270973e-03   2.852986e-03   4056
  3.699787e-01   1.983962e-01   7.428541e-03   2.966628e-03   4814
  3.958636e-01   2.103127e-01   7.424289e-03   2.941316e-03   5570
  4.214096e-01   2.344972e-01   7.192216e-03   3.076460e-03   6090
  4.461528e-01   2.553185e-01   7.017327e-03   3.223464e-03   6674
  4.716496e-01   2.712654e-01   7.522617e-03   3.017192e-03   8000
  4.976255e-01   2.889587e-01   7.432317e-03   3.041721e-03   8690
  5.234355e-01   3.042676e-01   7.563486e-03   3.125385e-03   9762
  5.488848e-01   3.280360e-01   7.139761e-03   3.232516e-03   10262
  5.740202e-01   3.494472e-01   7.208672e-03   3.233428e-03   11384
  5.998726e-01   3.582019e-01   7.605282e-03   3.092092e-03   12978
  6.254488e-01   3.797437e-01   7.225996e-03   3.369792e-03   13322
  6.507142e-01   3.940092e-01   7.369919e-03   3.266184e-03   14858
  6.762540e-01   4.206178e-01   7.250774e-03   3.412952e-03   15858
  7.016736e-01   4.315233e-01   7.353014e-03   3.308973e-03   17120
  7.269255e-01   4.483959e-01   7.307103e-03   3.290712e-03   18206
  7.526206e-01   4.721905e-01   7.525550e-03   3.297287e-03   20282
  7.783742e-01   4.991144e-01   7.276293e-03   3.472033e-03   20946
  8.037396e-01   5.077605e-01   7.373172e-03   3.437549e-03   22514
  8.292023e-01   5.337464e-01   7.345694e-03   3.478054e-03   23936
  8.546745e-01   5.629238e-01   7.347089e-03   3.514227e-03   25458
  8.800992e-01   5.803936e-01   7.329232e-03   3.548724e-03   26882
  9.054925e-01   6.034463e-01   7.338127e-03   3.566608e-03   28514
  9.311790e-01   6.203221e-01   7.460228e-03   3.546137e-03   30740
  9.568777e-01   6.484782e-01   7.357333e-03   3.648874e-03   31866
  9.821952e-01   6.724305e-01   7.331624e-03   3.690377e-03   33314
  1.007650e+00   6.791231e-01   7.414657e-03   3.606376e-03   35666
  1.033253e+00   7.109733e-01   7.318024e-03   3.690726e-03   37242
  1.058762e+00   7.428266e-01   7.338439e-03   3.749005e-03   39008
  1.084162e+00   7.619082e-01   7.377341e-03   3.794316e-03   40874
  1.109663e+00   7.841700e-01   7.384274e-03   3.763614e-03   43134
  1.135231e+00   8.129001e-01   7.323407e-03   3.820491e-03   44906
  1.160648e+00   8.409046e-01   7.324475e-03   3.933148e-03   46688
  1.186063e+00   8.587061e-01   7.393303e-03   3.880720e-03   49106
  1.211638e+00   8.840614e-01   7.403029e-03   3.897047e-03   51498
  1.237270e+00   9.133039e-01   7.385683e-03   3.947433e-03   53570
  1.262712e+00   9.345222e-01   7.321723e-03   3.978741e-03   55226
  1.288093e+00   9.718210e-01   7.341969e-03   4.042268e-03   57708
  1.313634e+00   9.982881e-01   7.407574e-03   4.121798e-03   60530
  1.339301e+00   1.022426e+00   7.432212e-03   4.102410e-03   63050
  1.364534e+00   1.044592e+00   7.161349e-03   4.217799e-03   63138
  1.389920e+00   1.071401e+00   7.475118e-03   4.098353e-03   68594
  1.415805e+00   1.108342e+00   7.439430e-03   4.187237e-03   70664
  1.441273e+00   1.129996e+00   7.308630e-03   4.236566e-03   71594
  1.466675e+00   1.167234e+00   7.411357e-03   4.250087e-03   75438
  1.492191e+00   1.187360e+00   7.301996e-03   4.314539e-03   77258
  1.517767e+00   1.224350e+00   7.436078e-03   4.325258e-03   81128
  1.543221e+00   1.254911e+00   7.296345e-03   4.379330e-03   82098
  1.568696e+00   1.284734e+00   7.424693e-03   4.374776e-03   86690
  1.594426e+00   1.311217e+00   7.389266e-03   4.442731e-03   89306
  1.619960e+00   1.339787e+00   7.318410e-03   4.458848e-03   91074
  1.645323e+00   1.376483e+00   7.332853e-03   4.519175e-03   93908
  1.670710e+00   1.398589e+00   7.343977e-03   4.505229e-03   97106
  1.696187e+00   1.425084e+00   7.356873e-03   4.507150e-03   100370
  1.721752e+00   1.472785e+00   7.394531e-03   4.569840e-03   103914
  1.747332e+00   1.499586e+00   7.360597e-03   4.611802e-03   106616
  1.772874e+00   1.537277e+00   7.362187e-03   4.633127e-03   109850
  1.798406e+00   1.563040e+00   7.360683e-03   4.653575e-03   112842
  1.823780e+00   1.606712e+00   7.293039e-03   4.761606e-03   114914
  1.849190e+00   1.632544e+00   7.358923e-03   4.761223e-03   119582
  1.874776e+00   1.651043e+00   7.367534e-03   4.704763e-03   122888
  1.900308e+00   1.695036e+00   7.385270e-03   4.792872e-03   126090
  1.925820e+00   1.728010e+00   7.366580e-03   4.810544e-03   129482
  1.951341e+00   1.756046e+00   7.334265e-03   4.844082e-03   132818
  1.976809e+00   1.794930e+00   7.322888e-03   4.904160e-03   135810
  2.002209e+00   1.845212e+00   7.346060e-03   4.985881e-03   139304
  2.027792e+00   1.869659e+00   7.442133e-03   4.907219e-03   145022
  2.053380e+00   1.903773e+00   7.308775e-03   4.997093e-03   146370
  2.078794e+00   1.943321e+00   7.334480e-03   5.035141e-03   150338
  2.104269e+00   1.980048e+00   7.371946e-03   5.060244e-03   154544
  2.129794e+00   2.012526e+00   7.373878e-03   5.062767e-03   158546
  2.155453e+00   2.058196e+00   7.427055e-03   5.144859e-03   163602
  2.180972e+00   2.083764e+00   7.309285e-03   5.119041e-03   164642
  2.206370e+00   2.128714e+00   7.351997e-03   5.210227e-03   169790
  2.231837e+00   2.172943e+00   7.324438e-03   5.236471e-03   173136
  2.257387e+00   2.207930e+00   7.423329e-03   5.236147e-03   179090
  2.282912e+00   2.244512e+00   7.329232e-03   5.281988e-03   180890
  2.308457e+00   2.281634e+00   7.404053e-03   5.294588e-03   187434
  2.333949e+00   2.314471e+00   7.276406e-03   5.361255e-03   188000
  2.359383e+00   2.371590e+00   7.426870e-03   5.397493e-03   195338
  2.384874e+00   2.408228e+00   7.330167e-03   5.456807e-03   197246
  2.410353e+00   2.450209e+00   7.377053e-03   5.459267e-03   203394
  2.435901e+00   2.494082e+00   7.347720e-03   5.520267e-03   206834
  2.461361e+00   2.529411e+00   7.352103e-03   5.529525e-03   210728
  2.486883e+00   2.560283e+00   7.408456e-03   5.514714e-03   216930
  2.512465e+00   2.595165e+00   7.356142e-03   5.542744e-03   220226
  2.537932e+00   2.654822e+00   7.338615e-03   5.655666e-03   224018
  2.563367e+00   2.691567e+00   7.347478e-03   5.631622e-03   228644
  2.588906e+00   2.731519e+00   7.404034e-03   5.657700e-03   235098
  2.614571e+00   2.773397e+00   7.419460e-03   5.703077e-03   240098
  2.640032e+00   2.813875e+00   7.303768e-03   5.753279e-03   240794
  2.665399e+00   2.865273e+00   7.353580e-03   5.805051e-03   247626
  2.690948e+00   2.889420e+00   7.383215e-03   5.788103e-03   253472
  2.716502e+00   2.939228e+00   7.379669e-03   5.812327e-03   257594
