# power spectrum of phi
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   1.235041e-10   1.873193e-10   4.978946e-11   6
  4.041873e-02   4.699526e-11   7.123136e-03   7.644980e-12   50
  6.490740e-02   3.108647e-11   7.704015e-03   2.796228e-12   146
  8.919218e-02   1.569071e-11   6.515352e-03   9.683443e-13   258
  1.152383e-01   7.183383e-12   7.588046e-03   3.268756e-13   488
  1.414449e-01   5.032119e-12   7.538441e-03   2.077760e-13   698
  1.659742e-01   3.093282e-12   7.050465e-03   1.080189e-13   906
  1.914641e-01   2.012329e-12   7.471609e-03   5.552026e-14   1334
  2.173330e-01   1.397419e-12   6.995022e-03   3.453578e-14   1610
  2.424567e-01   1.073749e-12   7.345390e-03   2.477549e-14   2024
  2.678993e-01   7.935671e-13   7.580509e-03   1.578832e-14   2538
  2.938190e-01   5.895055e-13   7.447628e-03   1.122981e-14   3074
  3.195712e-01   4.799325e-13   7.220239e-03   8.394194e-15   3530
  3.446864e-01   3.713348e-13   7.270973e-03   5.780323e-15   4056
  3.699787e-01   3.074373e-13   7.428541e-03   4.474214e-15   4814
  3.958636e-01   2.419833e-13   7.424289e-03   3.307560e-15   5570
  4.214096e-01   2.057574e-13   7.192216e-03   2.681193e-15   6090
  4.461528e-01   1.755560e-13   7.017327e-03   2.205041e-15   6674
  4.716496e-01   1.444203e-13   7.522617e-03   1.585431e-15   8000
  4.976255e-01   1.258003e-13   7.432317e-03   1.338695e-15   8690
  5.234355e-01   1.050121e-13   7.563486e-03   1.093784e-15   9762
  5.488848e-01   9.007802e-14   7.139761e-03   8.611136e-16   10262
  5.740202e-01   7.934257e-14   7.208672e-03   7.522542e-16   11384
  5.998726e-01   6.749684e-14   7.605282e-03   5.931718e-16   12978
  6.254488e-01   6.113515e-14   7.225996e-03   5.323884e-16   13322
  6.507142e-01   5.186372e-14   7.369919e-03   4.268136e-16   14858
  6.762540e-01   4.666232e-14   7.250774e-03   3.699027e-16   15858
  7.016736e-01   4.060604e-14   7.353014e-03   3.091406e-16   17120
  7.269255e-01   3.714483e-14   7.307103e-03   2.795835e-16   18206
  7.526206e-01   3.305660e-14   7.525550e-03   2.321485e-16   20282
  7.783742e-01   2.920135e-14   7.276293e-03   1.985621e-16   20946
  8.037396e-01   2.660134e-14   7.373172e-03   1.776790e-16   22514
  8.292023e-01   2.397617e-14   7.345694e-03   1.544965e-16   23936
  8.546745e-01   2.200176e-14   7.347089e-03   1.406169e-16   25458
  8.800992e-01   1.976383e-14   7.329232e-03   1.207986e-16   26882
  9.054925e-01   1.844115e-14   7.338127e-03   1.092394e-16   28514
  9.311790e-01   1.675935e-14   7.460228e-03   9.499851e-17   30740
  9.568777e-01   1.492785e-14   7.357333e-03   8.467219e-17   31866
  9.821952e-01   1.399456e-14   7.331624e-03   7.728158e-17   33314
  1.007650e+00   1.264100e-14   7.414657e-03   6.723696e-17   35666
