# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   7.662325e-03   1.873193e-10   3.106308e-03   6
  4.041873e-02   4.777284e-02   7.123136e-03   1.132234e-02   50
  6.490740e-02   1.604220e-01   7.704015e-03   1.315676e-02   146
  8.919218e-02   2.954883e-01   6.515352e-03   1.862824e-02   258
  1.152383e-01   4.264206e-01   7.588046e-03   1.949236e-02   488
  1.414449e-01   6.674069e-01   7.538441e-03   2.579079e-02   698
  1.659742e-01   7.847283e-01   7.050465e-03   2.620310e-02   906
  1.914641e-01   1.052084e+00   7.471609e-03   2.910681e-02   1334
  2.173330e-01   1.299946e+00   6.995022e-03   3.107073e-02   1610
  2.424567e-01   1.552473e+00   7.345390e-03   3.594296e-02   2024
  2.678993e-01   1.932990e+00   7.580509e-03   3.888721e-02   2538
  2.938190e-01   2.354478e+00   7.447628e-03   4.355432e-02   3074
  3.195712e-01   2.604752e+00   7.220239e-03   4.430277e-02   3530
  3.446864e-01   2.969607e+00   7.270973e-03   4.583738e-02   4056
  3.699787e-01   3.432640e+00   7.428541e-03   5.051996e-02   4814
  3.958636e-01   3.956653e+00   7.424289e-03   5.211326e-02   5570
  4.214096e-01   4.548156e+00   7.192216e-03   6.000700e-02   6090
  4.461528e-01   5.128822e+00   7.017327e-03   6.198251e-02   6674
  4.716496e-01   5.529921e+00   7.522617e-03   6.270056e-02   8000
  4.976255e-01   6.265597e+00   7.432317e-03   6.724449e-02   8690
  5.234355e-01   7.084059e+00   7.563486e-03   7.091152e-02   9762
  5.488848e-01   7.643017e+00   7.139761e-03   7.558232e-02   10262
  5.740202e-01   8.312619e+00   7.208672e-03   7.605885e-02   11384
  5.998726e-01   9.258807e+00   7.605282e-03   8.208741e-02   12978
  6.254488e-01   9.838366e+00   7.225996e-03   8.581281e-02   13322
  6.507142e-01   1.067326e+01   7.369919e-03   8.683032e-02   14858
  6.762540e-01   1.164708e+01   7.250774e-03   9.268782e-02   15858
  7.016736e-01   1.267231e+01   7.353014e-03   9.565037e-02   17120
  7.269255e-01   1.375293e+01   7.307103e-03   1.007235e-01   18206
  7.526206e-01   1.461730e+01   7.525550e-03   1.015818e-01   20282
  7.783742e-01   1.556560e+01   7.276293e-03   1.094197e-01   20946
  8.037396e-01   1.674803e+01   7.373172e-03   1.128228e-01   22514
  8.292023e-01   1.793661e+01   7.345694e-03   1.164828e-01   23936
  8.546745e-01   1.894047e+01   7.347089e-03   1.205008e-01   25458
  8.800992e-01   2.028398e+01   7.329232e-03   1.234438e-01   26882
  9.054925e-01   2.131412e+01   7.338127e-03   1.274595e-01   28514
  9.311790e-01   2.220701e+01   7.460228e-03   1.246193e-01   30740
  9.568777e-01   2.388094e+01   7.357333e-03   1.340680e-01   31866
  9.821952e-01   2.543074e+01   7.331624e-03   1.398737e-01   33314
  1.007650e+00   2.604158e+01   7.414657e-03   1.380103e-01   35666
  1.033253e+00   2.733098e+01   7.318024e-03   1.419097e-01   37242
  1.058762e+00   2.839514e+01   7.338439e-03   1.442710e-01   39008
  1.084162e+00   3.010343e+01   7.377341e-03   1.484551e-01   40874
  1.109663e+00   3.137056e+01   7.384274e-03   1.525702e-01   43134
  1.135231e+00   3.278427e+01   7.323407e-03   1.550541e-01   44906
  1.160648e+00   3.419265e+01   7.324475e-03   1.607962e-01   46688
  1.186063e+00   3.557801e+01   7.393303e-03   1.606084e-01   49106
  1.211638e+00   3.697921e+01   7.403029e-03   1.622219e-01   51498
  1.237270e+00   3.792348e+01   7.385683e-03   1.637026e-01   53570
  1.262712e+00   3.959134e+01   7.321723e-03   1.709891e-01   55226
  1.288093e+00   4.100622e+01   7.341969e-03   1.689108e-01   57708
  1.313634e+00   4.264867e+01   7.407574e-03   1.728894e-01   60530
  1.339301e+00   4.429530e+01   7.432212e-03   1.746079e-01   63050
  1.364534e+00   4.594038e+01   7.161349e-03   1.824826e-01   63138
  1.389920e+00   4.745868e+01   7.475118e-03   1.810000e-01   68594
  1.415805e+00   4.838280e+01   7.439430e-03   1.820165e-01   70664
  1.441273e+00   4.984335e+01   7.308630e-03   1.876173e-01   71594
  1.466675e+00   5.161272e+01   7.411357e-03   1.850324e-01   75438
  1.492191e+00   5.288980e+01   7.301996e-03   1.890654e-01   77258
  1.517767e+00   5.415350e+01   7.436078e-03   1.895567e-01   81128
  1.543221e+00   5.549426e+01   7.296345e-03   1.930684e-01   82098
  1.568696e+00   5.737677e+01   7.424693e-03   1.940393e-01   86690
  1.594426e+00   5.837423e+01   7.389266e-03   1.948481e-01   89306
  1.619960e+00   6.006181e+01   7.318410e-03   1.986802e-01   91074
  1.645323e+00   6.196412e+01   7.332853e-03   2.019493e-01   93908
  1.670710e+00   6.349826e+01   7.343977e-03   2.038454e-01   97106
  1.696187e+00   6.444105e+01   7.356873e-03   2.022883e-01   100370
  1.721752e+00   6.609516e+01   7.394531e-03   2.037920e-01   103914
  1.747332e+00   6.784681e+01   7.360597e-03   2.074881e-01   106616
  1.772874e+00   6.947835e+01   7.362187e-03   2.105097e-01   109850
  1.798406e+00   7.063818e+01   7.360683e-03   2.101269e-01   112842
  1.823780e+00   7.249081e+01   7.293039e-03   2.135703e-01   114914
  1.849190e+00   7.394931e+01   7.358923e-03   2.139269e-01   119582
  1.874776e+00   7.534445e+01   7.367534e-03   2.143886e-01   122888
  1.900308e+00   7.731607e+01   7.385270e-03   2.172875e-01   126090
  1.925820e+00   7.845145e+01   7.366580e-03   2.178969e-01   129482
  1.951341e+00   7.999596e+01   7.334265e-03   2.196471e-01   132818
  1.976809e+00   8.111208e+01   7.322888e-03   2.202754e-01   135810
  2.002209e+00   8.322348e+01   7.346060e-03   2.229016e-01   139304
  2.027792e+00   8.429827e+01   7.442133e-03   2.207204e-01   145022
  2.053380e+00   8.636683e+01   7.308775e-03   2.256749e-01   146370
  2.078794e+00   8.730501e+01   7.334480e-03   2.253125e-01   150338
  2.104269e+00   8.876826e+01   7.371946e-03   2.255982e-01   154544
  2.129794e+00   8.965030e+01   7.373878e-03   2.259425e-01   158546
  2.155453e+00   9.190985e+01   7.427055e-03   2.265109e-01   163602
  2.180972e+00   9.365296e+01   7.309285e-03   2.328745e-01   164642
  2.206370e+00   9.463339e+01   7.351997e-03   2.297681e-01   169790
