# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   3.820181e+00   9.900990e-03   5.231737e+00   0.000000e+00   0.000000e+00
      1   3.853515e+00   1.007453e-02   5.186482e+00   0.000000e+00   0.000000e+00
      2   3.886848e+00   1.024957e-02   5.142004e+00   0.000000e+00   0.000000e+00
      3   3.920181e+00   1.042613e-02   5.098281e+00   0.000000e+00   0.000000e+00
      4   3.953515e+00   1.060419e-02   5.055297e+00   0.000000e+00   0.000000e+00
      5   3.986848e+00   1.078376e-02   5.013030e+00   0.000000e+00   0.000000e+00
      6   4.020181e+00   1.096483e-02   4.971465e+00   0.000000e+00   0.000000e+00
      7   4.053515e+00   1.114742e-02   4.930584e+00   0.000000e+00   0.000000e+00
      8   4.086848e+00   1.133151e-02   4.890369e+00   0.000000e+00   0.000000e+00
      9   4.120181e+00   1.151711e-02   4.850805e+00   0.000000e+00   0.000000e+00
     10   4.153515e+00   1.170421e-02   4.811876e+00   0.000000e+00   0.000000e+00
     11   4.186848e+00   1.189283e-02   4.773567e+00   0.000000e+00   0.000000e+00
     12   4.220181e+00   1.208295e-02   4.735863e+00   0.000000e+00   0.000000e+00
     13   4.253515e+00   1.227458e-02   4.698751e+00   0.000000e+00   0.000000e+00
     14   4.286848e+00   1.246772e-02   4.662215e+00   0.000000e+00   0.000000e+00
     15   4.320181e+00   1.266236e-02   4.626243e+00   0.000000e+00   0.000000e+00
     16   4.353515e+00   1.285852e-02   4.590822e+00   0.000000e+00   0.000000e+00
     17   4.386848e+00   1.305618e-02   4.555939e+00   0.000000e+00   0.000000e+00
     18   4.420181e+00   1.325535e-02   4.521583e+00   0.000000e+00   0.000000e+00
     19   4.453515e+00   1.345602e-02   4.487740e+00   0.000000e+00   0.000000e+00
     20   4.486848e+00   1.365821e-02   4.454401e+00   0.000000e+00   0.000000e+00
     21   4.520181e+00   1.386190e-02   4.421553e+00   0.000000e+00   0.000000e+00
     22   4.553515e+00   1.406710e-02   4.389187e+00   0.000000e+00   0.000000e+00
     23   4.586848e+00   1.427380e-02   4.357290e+00   0.000000e+00   0.000000e+00
     24   4.620181e+00   1.448202e-02   4.325854e+00   0.000000e+00   0.000000e+00
     25   4.653515e+00   1.469174e-02   4.294869e+00   0.000000e+00   0.000000e+00
     26   4.686848e+00   1.490297e-02   4.264324e+00   0.000000e+00   0.000000e+00
     27   4.720181e+00   1.511571e-02   4.234211e+00   0.000000e+00   0.000000e+00
     28   4.753515e+00   1.532995e-02   4.204519e+00   0.000000e+00   0.000000e+00
     29   4.786848e+00   1.554570e-02   4.175242e+00   0.000000e+00   0.000000e+00
     30   4.820181e+00   1.576296e-02   4.146369e+00   0.000000e+00   0.000000e+00
     31   4.853515e+00   1.598173e-02   4.117893e+00   0.000000e+00   0.000000e+00
     32   4.886848e+00   1.620201e-02   4.089806e+00   0.000000e+00   0.000000e+00
     33   4.920181e+00   1.642379e-02   4.062099e+00   0.000000e+00   0.000000e+00
     34   4.953515e+00   1.664708e-02   4.034765e+00   0.000000e+00   0.000000e+00
     35   4.986848e+00   1.687188e-02   4.007797e+00   0.000000e+00   0.000000e+00
     36   5.020181e+00   1.709819e-02   3.981186e+00   0.000000e+00   0.000000e+00
     37   5.053515e+00   1.732600e-02   3.954927e+00   0.000000e+00   0.000000e+00
     38   5.086848e+00   1.755533e-02   3.929012e+00   0.000000e+00   0.000000e+00
     39   5.120181e+00   1.778616e-02   3.903434e+00   0.000000e+00   0.000000e+00
     40   5.153515e+00   1.801849e-02   3.878188e+00   0.000000e+00   0.000000e+00
     41   5.186848e+00   1.825234e-02   3.853265e+00   0.000000e+00   0.000000e+00
     42   5.220181e+00   1.848769e-02   3.828662e+00   0.000000e+00   0.000000e+00
     43   5.253515e+00   1.872455e-02   3.804370e+00   0.000000e+00   0.000000e+00
     44   5.286848e+00   1.896292e-02   3.780385e+00   0.000000e+00   0.000000e+00
     45   5.320181e+00   1.920280e-02   3.756700e+00   0.000000e+00   0.000000e+00
     46   5.353515e+00   1.944418e-02   3.733310e+00   0.000000e+00   0.000000e+00
     47   5.386848e+00   1.968707e-02   3.710210e+00   0.000000e+00   0.000000e+00
     48   5.420181e+00   1.993147e-02   3.687394e+00   0.000000e+00   0.000000e+00
     49   5.453515e+00   2.017738e-02   3.664857e+00   0.000000e+00   0.000000e+00
     50   5.486848e+00   2.042480e-02   3.642594e+00   0.000000e+00   0.000000e+00
     51   5.520181e+00   2.067372e-02   3.620600e+00   0.000000e+00   0.000000e+00
     52   5.553515e+00   2.092415e-02   3.598869e+00   0.000000e+00   0.000000e+00
     53   5.586848e+00   2.117609e-02   3.577398e+00   0.000000e+00   0.000000e+00
     54   5.620181e+00   2.142954e-02   3.556182e+00   0.000000e+00   0.000000e+00
     55   5.653515e+00   2.168449e-02   3.535216e+00   0.000000e+00   0.000000e+00
     56   5.686848e+00   2.194095e-02   3.514496e+00   0.000000e+00   0.000000e+00
     57   5.720181e+00   2.219892e-02   3.494018e+00   0.000000e+00   0.000000e+00
     58   5.753515e+00   2.245840e-02   3.473776e+00   0.000000e+00   0.000000e+00
     59   5.786848e+00   2.271939e-02   3.453768e+00   0.000000e+00   0.000000e+00
     60   5.820181e+00   2.298188e-02   3.433990e+00   0.000000e+00   0.000000e+00
     61   5.853515e+00   2.324588e-02   3.414436e+00   0.000000e+00   0.000000e+00
     62   5.886848e+00   2.351139e-02   3.395104e+00   0.000000e+00   0.000000e+00
     63   5.920181e+00   2.377841e-02   3.375990e+00   0.000000e+00   0.000000e+00
     64   5.953515e+00   2.404693e-02   3.357090e+00   0.000000e+00   0.000000e+00
     65   5.986848e+00   2.431696e-02   3.338400e+00   0.000000e+00   0.000000e+00
     66   6.020181e+00   2.458850e-02   3.319917e+00   0.000000e+00   0.000000e+00
     67   6.053515e+00   2.486155e-02   3.301638e+00   0.000000e+00   0.000000e+00
     68   6.086848e+00   2.513611e-02   3.283560e+00   0.000000e+00   0.000000e+00
     69   6.120181e+00   2.541217e-02   3.265678e+00   0.000000e+00   0.000000e+00
