# power spectrum of phi
# redshift z=30.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   3.439872e-10   0.000000e+00   1.386547e-10   6
  6.346976e-03   2.004187e-10   0.000000e+00   4.000359e-11   12
  7.773426e-03   1.508411e-10   8.514949e-11   3.070772e-11   8
  8.975979e-03   5.092398e-10   0.000000e+00   5.478812e-11   6
  1.003545e-02   3.529436e-10   1.605594e-10   1.125070e-10   24
  1.099328e-02   5.024586e-10   1.605594e-10   8.466874e-11   24
  1.269395e-02   2.236429e-10   0.000000e+00   1.006273e-10   12
  1.346397e-02   2.588415e-10   1.816523e-10   4.745254e-11   30
  1.419227e-02   3.292946e-10   0.000000e+00   7.256270e-11   24
  1.488498e-02   2.978544e-10   2.780971e-10   7.385891e-11   24
  1.554685e-02   3.398230e-10   1.702990e-10   6.885994e-11   8
  1.618168e-02   2.915051e-10   2.270653e-10   3.624205e-11   24
  1.679252e-02   2.720836e-10   0.000000e+00   3.823992e-11   48
  1.795196e-02   3.337792e-10   0.000000e+00   1.467845e-10   6
  1.850445e-02   2.586197e-10   2.270653e-10   3.614908e-11   48
  1.904093e-02   2.408109e-10   2.140792e-10   2.520952e-11   36
  1.956269e-02   3.362227e-10   2.270653e-10   7.032987e-11   24
  2.007090e-02   2.013853e-10   3.211188e-10   3.461691e-11   24
  2.056655e-02   1.785855e-10   0.000000e+00   2.426355e-11   48
  2.105054e-02   2.677395e-10   3.211188e-10   3.810066e-11   24
  2.198657e-02   2.151565e-10   3.211188e-10   3.382129e-11   24
  2.243995e-02   1.470465e-10   0.000000e+00   2.403057e-11   30
  2.288435e-02   1.577379e-10   0.000000e+00   1.724080e-11   72
  2.332028e-02   1.582866e-10   3.405980e-10   3.246716e-11   32
  2.416856e-02   1.994985e-10   0.000000e+00   2.289704e-11   72
  2.458173e-02   1.255156e-10   0.000000e+00   1.835644e-11   48
  2.538790e-02   6.383164e-11   0.000000e+00   1.896799e-11   12
  2.578154e-02   1.263977e-10   0.000000e+00   1.893350e-11   48
  2.616925e-02   1.102464e-10   0.000000e+00   1.089097e-11   48
  2.655130e-02   1.481299e-10   3.211188e-10   1.869498e-11   48
  2.692794e-02   1.756000e-10   3.633045e-10   3.071652e-11   30
  2.729937e-02   1.687719e-10   0.000000e+00   3.794791e-11   24
  2.766583e-02   1.642473e-10   6.769780e-10   1.703529e-11   72
  2.838454e-02   9.916556e-11   0.000000e+00   1.882669e-11   24
  2.873715e-02   1.425896e-10   0.000000e+00   1.383904e-11   96
  2.908550e-02   1.080148e-10   0.000000e+00   1.436554e-11   48
  2.942972e-02   8.829630e-11   5.561942e-10   2.166030e-11   24
  2.976995e-02   6.763424e-11   5.561942e-10   1.389263e-11   24
  3.010635e-02   1.550461e-10   0.000000e+00   1.892601e-11   72
  3.043903e-02   1.190306e-10   0.000000e+00   1.831788e-11   48
  3.109370e-02   9.449627e-11   3.405980e-10   2.811045e-11   8
  3.141593e-02   1.497643e-10   4.036717e-10   1.835741e-11   54
  3.173488e-02   9.638879e-11   0.000000e+00   1.639034e-11   84
  3.205066e-02   1.108625e-10   0.000000e+00   1.604748e-11   48
  3.236335e-02   6.634311e-11   4.541306e-10   1.181506e-11   24
  3.267306e-02   8.981526e-11   6.055075e-10   1.056709e-11   72
  3.297985e-02   1.161113e-10   0.000000e+00   1.306524e-11   96
  3.358504e-02   1.501929e-10   0.000000e+00   1.637874e-11   48
  3.388358e-02   8.320205e-11   0.000000e+00   7.815953e-12   48
  3.417951e-02   7.580589e-11   0.000000e+00   1.474934e-11   24
  3.447290e-02   8.216918e-11   0.000000e+00   8.953392e-12   72
  3.505232e-02   8.004906e-11   0.000000e+00   9.408147e-12   72
  3.533846e-02   8.046988e-11   0.000000e+00   9.177188e-12   96
  3.590392e-02   1.269488e-10   0.000000e+00   5.572550e-11   6
  3.618333e-02   9.067816e-11   0.000000e+00   9.071462e-12   96
  3.646060e-02   9.241442e-11   4.541306e-10   9.834212e-12   96
  3.673578e-02   6.019412e-11   0.000000e+00   1.431204e-11   24
  3.700891e-02   6.794418e-11   4.541306e-10   7.895381e-12   48
  3.728004e-02   6.986913e-11   0.000000e+00   6.997775e-12   96
  3.754921e-02   7.227400e-11   0.000000e+00   9.747335e-12   48
  3.808185e-02   6.848120e-11   4.281585e-10   1.235929e-11   36
  3.834540e-02   6.851668e-11   7.865773e-10   8.452636e-12   48
  3.860715e-02   7.440521e-11   8.899106e-10   6.633397e-12   120
  3.886713e-02   6.359318e-11   0.000000e+00   8.313514e-12   56
  3.912539e-02   3.468870e-11   4.541306e-10   6.069525e-12   24
  3.938195e-02   5.177534e-11   0.000000e+00   4.624080e-12   96
  3.963685e-02   5.338143e-11   0.000000e+00   6.874255e-12   48
  4.014180e-02   6.926243e-11   6.422377e-10   1.284988e-11   24
  4.039191e-02   7.103892e-11   0.000000e+00   7.072491e-12   102
  4.064047e-02   8.096045e-11   4.541306e-10   1.228737e-11   48
  4.088753e-02   6.845099e-11   0.000000e+00   7.008367e-12   72
  4.113310e-02   6.155956e-11   0.000000e+00   6.207127e-12   48
  4.137722e-02   7.098081e-11   0.000000e+00   1.294026e-11   48
  4.161990e-02   5.688113e-11   1.027580e-09   5.283691e-12   120
  4.210107e-02   7.704278e-11   6.422377e-10   1.284614e-11   24
  4.233961e-02   4.920665e-11   6.055075e-10   4.144506e-12   144
  4.257681e-02   4.944418e-11   7.266090e-10   4.843581e-12   120
  4.281269e-02   4.359415e-11   6.422377e-10   6.111042e-12   48
  4.328060e-02   5.676707e-11   6.422377e-10   7.567009e-12   48
  4.351267e-02   4.688628e-11   6.422377e-10   4.707466e-12   96
  4.412543e-02   5.782013e-11   1.076845e-04   6.760169e-12   72
  4.442883e-02   4.491124e-11   5.708779e-10   3.366774e-12   108
  4.465493e-02   5.080045e-11   0.000000e+00   5.451876e-12   72
  4.487990e-02   3.411337e-11   0.000000e+00   7.108324e-12   30
  4.510374e-02   5.274658e-11   0.000000e+00   4.041882e-12   168
  4.532647e-02   5.846961e-11   0.000000e+00   7.000234e-12   48
  4.576869e-02   3.683383e-11   0.000000e+00   4.411665e-12   72
  4.598821e-02   5.023489e-11   0.000000e+00   4.804392e-12   96
