# power spectrum of delta
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   1.558463e-05   0.000000e+00   6.301992e-06   6
  6.346976e-03   3.575446e-05   0.000000e+00   7.142698e-06   12
  7.773426e-03   5.968915e-05   8.514949e-11   1.224651e-05   8
  8.975979e-03   3.638626e-04   0.000000e+00   3.912629e-05   6
  1.003545e-02   3.899972e-04   1.605594e-10   1.245480e-04   24
  1.099328e-02   7.913405e-04   1.605594e-10   1.342548e-04   24
  1.269395e-02   6.220594e-04   0.000000e+00   2.794738e-04   12
  1.346397e-02   9.014571e-04   1.816523e-10   1.632497e-04   30
  1.419227e-02   1.447658e-03   0.000000e+00   3.193784e-04   24
  1.488498e-02   1.552397e-03   2.780971e-10   3.882806e-04   24
  1.554685e-02   2.073853e-03   1.702990e-10   4.205719e-04   8
  1.618168e-02   2.107471e-03   2.270653e-10   2.664240e-04   24
  1.679252e-02   2.263494e-03   0.000000e+00   3.202335e-04   48
  1.795196e-02   3.735566e-03   0.000000e+00   1.651925e-03   6
  1.850445e-02   3.174828e-03   2.270653e-10   4.460942e-04   48
  1.904093e-02   3.343997e-03   2.140792e-10   3.548158e-04   36
  1.956269e-02   5.042336e-03   2.270653e-10   1.066727e-03   24
  2.007090e-02   3.409062e-03   3.211188e-10   5.754474e-04   24
  2.056655e-02   3.310844e-03   0.000000e+00   4.456241e-04   48
  2.105054e-02   5.179352e-03   3.211188e-10   7.386896e-04   24
  2.198657e-02   5.138400e-03   3.211188e-10   8.043689e-04   24
  2.243995e-02   3.726709e-03   0.000000e+00   6.156498e-04   30
  2.288435e-02   4.420277e-03   0.000000e+00   4.781604e-04   72
  2.332028e-02   4.906250e-03   3.405980e-10   1.020352e-03   32
  2.416856e-02   6.747924e-03   0.000000e+00   7.731951e-04   72
  2.458173e-02   4.702139e-03   0.000000e+00   6.939908e-04   48
  2.538790e-02   2.582289e-03   0.000000e+00   7.630804e-04   12
  2.578154e-02   5.490522e-03   0.000000e+00   8.195412e-04   48
  2.616925e-02   5.032558e-03   0.000000e+00   4.859163e-04   48
  2.655130e-02   7.145152e-03   3.211188e-10   9.154843e-04   48
