# power spectrum of delta
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   4.183145e-05   0.000000e+00   1.688624e-05   6
  2.221441e-02   7.488778e-05   0.000000e+00   1.497076e-05   12
  2.720699e-02   1.021960e-04   2.980232e-10   2.095515e-05   8
  3.141593e-02   5.181859e-04   0.000000e+00   5.584662e-05   6
  3.512407e-02   4.830110e-04   5.619580e-10   1.541657e-04   24
  3.847649e-02   8.754903e-04   5.619580e-10   1.486870e-04   24
  4.442883e-02   5.740807e-04   0.000000e+00   2.578879e-04   12
  4.712389e-02   7.875554e-04   6.357829e-10   1.429638e-04   30
  4.967294e-02   1.184247e-03   0.000000e+00   2.604687e-04   24
  5.209742e-02   1.232009e-03   9.733398e-10   3.069181e-04   24
  5.441398e-02   1.606834e-03   5.960464e-10   3.235408e-04   8
  5.663587e-02   1.573263e-03   7.947286e-10   1.984543e-04   24
  5.877382e-02   1.661246e-03   0.000000e+00   2.351828e-04   48
  6.283185e-02   2.558786e-03   0.000000e+00   1.127350e-03   6
  6.476559e-02   2.188110e-03   7.947286e-10   3.079421e-04   48
  6.664324e-02   2.251261e-03   7.492773e-10   2.377648e-04   36
  6.846942e-02   3.425941e-03   7.947286e-10   7.228293e-04   24
  7.024815e-02   2.235654e-03   1.123916e-09   3.777647e-04   24
  7.198293e-02   2.136949e-03   0.000000e+00   2.877760e-04   48
  7.367688e-02   3.375473e-03   1.123916e-09   4.803940e-04   24
  7.695299e-02   3.187096e-03   1.123916e-09   4.964944e-04   24
  7.853982e-02   2.257947e-03   0.000000e+00   3.730812e-04   30
  8.009521e-02   2.604772e-03   0.000000e+00   2.836491e-04   72
  8.162097e-02   2.762444e-03   1.192093e-09   5.713179e-04   32
  8.458997e-02   3.808074e-03   0.000000e+00   4.390563e-04   72
  8.603606e-02   2.515746e-03   0.000000e+00   3.692311e-04   48
  8.885766e-02   1.372518e-03   0.000000e+00   4.054573e-04   12
  9.023538e-02   2.853315e-03   0.000000e+00   4.247052e-04   48
  9.159238e-02   2.582068e-03   0.000000e+00   2.495812e-04   48
  9.292956e-02   3.551985e-03   1.123916e-09   4.540664e-04   48
  9.424778e-02   4.438375e-03   1.271566e-09   7.783307e-04   30
  9.554781e-02   4.504297e-03   0.000000e+00   1.007940e-03   24
  9.683039e-02   4.540631e-03   2.369423e-09   4.725534e-04   72
  9.934588e-02   2.868451e-03   0.000000e+00   5.517769e-04   24
  1.005800e-01   4.285346e-03   0.000000e+00   4.151811e-04   96
  1.017992e-01   3.371528e-03   0.000000e+00   4.617966e-04   48
  1.030040e-01   2.859770e-03   1.946680e-09   6.923434e-04   24
  1.041948e-01   2.241823e-03   1.946680e-09   4.678833e-04   24
  1.053722e-01   5.373411e-03   0.000000e+00   6.485431e-04   72
  1.065366e-01   4.344017e-03   0.000000e+00   6.664932e-04   48
  1.088280e-01   3.624207e-03   1.192093e-09   1.045933e-03   8
  1.099557e-01   6.075072e-03   1.412851e-09   7.545855e-04   54
  1.110721e-01   3.983895e-03   0.000000e+00   6.655880e-04   84
  1.121773e-01   4.942721e-03   0.000000e+00   7.179390e-04   48
  1.132717e-01   3.022857e-03   1.589457e-09   5.288140e-04   24
  1.143557e-01   4.203450e-03   2.119276e-09   4.870331e-04   72
  1.154295e-01   5.645851e-03   0.000000e+00   6.472500e-04   96
  1.175476e-01   7.689682e-03   0.000000e+00   8.425575e-04   48
  1.185925e-01   4.493970e-03   0.000000e+00   4.365446e-04   48
  1.196283e-01   4.233973e-03   0.000000e+00   8.307081e-04   24
  1.206552e-01   4.718850e-03   0.000000e+00   5.197560e-04   72
  1.226831e-01   4.904530e-03   0.000000e+00   5.813588e-04   72
  1.236846e-01   5.072898e-03   0.000000e+00   5.776579e-04   96
  1.256637e-01   8.855853e-03   0.000000e+00   3.857766e-03   6
  1.266416e-01   6.282731e-03   0.000000e+00   6.433953e-04   96
  1.276121e-01   6.651399e-03   1.589457e-09   7.138880e-04   96
  1.285752e-01   4.159599e-03   0.000000e+00   1.000434e-03   24
  1.295312e-01   5.098085e-03   1.589457e-09   5.863768e-04   48
  1.304801e-01   5.394124e-03   0.000000e+00   5.440044e-04   96
  1.314222e-01   5.585122e-03   0.000000e+00   7.788783e-04   48
  1.332865e-01   5.647692e-03   1.498555e-09   9.716383e-04   36
  1.342089e-01   5.788868e-03   2.753021e-09   7.248433e-04   48
  1.351250e-01   6.437017e-03   3.114687e-09   5.728845e-04   120
  1.360350e-01   5.694123e-03   0.000000e+00   7.576088e-04   56
  1.369388e-01   3.125034e-03   1.589457e-09   5.604623e-04   24
  1.378368e-01   4.739470e-03   0.000000e+00   4.251002e-04   96
  1.387290e-01   5.028709e-03   0.000000e+00   6.383992e-04   48
  1.404963e-01   6.989642e-03   2.247832e-09   1.292789e-03   24
  1.413717e-01   7.104636e-03   0.000000e+00   7.243311e-04   102
  1.422417e-01   8.378900e-03   1.589457e-09   1.289363e-03   48
  1.431064e-01   7.111221e-03   0.000000e+00   7.255994e-04   72
  1.439659e-01   6.482511e-03   0.000000e+00   6.471502e-04   48
  1.448203e-01   7.681917e-03   0.000000e+00   1.403975e-03   48
  1.456697e-01   6.278513e-03   3.596531e-09   5.922186e-04   120
  1.473538e-01   8.298661e-03   2.247832e-09   1.335433e-03   24
  1.481886e-01   5.534957e-03   2.119276e-09   4.683711e-04   144
  1.490188e-01   5.615247e-03   2.543132e-09   5.688663e-04   120
  1.498444e-01   5.198691e-03   2.247832e-09   7.398229e-04   48
  1.514821e-01   6.793262e-03   2.247832e-09   9.201769e-04   48
  1.522944e-01   5.579149e-03   2.247832e-09   5.485917e-04   96
  1.544390e-01   7.002192e-03   3.768959e-04   8.169902e-04   72
  1.555009e-01   5.755132e-03   1.998073e-09   4.383637e-04   108
  1.562923e-01   6.454586e-03   0.000000e+00   6.784978e-04   72
  1.570796e-01   4.386849e-03   0.000000e+00   9.425785e-04   30
  1.578631e-01   6.959130e-03   0.000000e+00   5.297392e-04   168
  1.586427e-01   8.056256e-03   0.000000e+00   9.615799e-04   48
  1.601904e-01   5.063604e-03   0.000000e+00   6.171016e-04   72
  1.609587e-01   7.028655e-03   0.000000e+00   6.939975e-04   96
  1.617234e-01   6.472593e-03   4.238553e-09   1.002560e-03   72
  1.624844e-01   7.354241e-03   0.000000e+00   7.919289e-04   72
  1.637639e-01   7.261745e-03   3.480039e-04   5.728888e-04   104
  1.647465e-01   6.636352e-03   2.997109e-09   4.971308e-04   144
  1.669779e-01   4.872467e-03   5.026305e-09   4.731360e-04   96
  1.677152e-01   4.702126e-03   0.000000e+00   4.950076e-04   96
  1.688876e-01   6.929029e-03   3.580185e-04   6.374066e-04   120
  1.699076e-01   5.995281e-03   0.000000e+00   5.264271e-04   120
  1.706322e-01   7.518439e-03   0.000000e+00   8.287265e-04   72
  1.720721e-01   8.207962e-03   0.000000e+00   1.091598e-03   48
  1.727876e-01   7.880316e-03   3.912510e-09   9.723962e-04   78
  1.737029e-01   8.423446e-03   3.205713e-04   6.717332e-04   168
  1.756204e-01   7.912162e-03   3.670694e-09   6.736907e-04   144
  1.763215e-01   9.247903e-03   2.997109e-09   6.719724e-04   144
  1.783549e-01   7.770629e-03   1.846233e-04   7.115779e-04   156
  1.790983e-01   6.519994e-03   3.893359e-09   1.325123e-03   48
  1.797859e-01   7.285028e-03   2.543132e-09   6.701079e-04   120
  1.804708e-01   4.990509e-03   0.000000e+00   5.312897e-04   48
  1.816818e-01   7.897942e-03   2.825996e-04   5.724586e-04   216
  1.831848e-01   5.829392e-03   0.000000e+00   6.900294e-04   48
  1.838570e-01   6.323753e-03   2.247832e-09   5.337761e-04   96
  1.848128e-01   7.363246e-03   3.302618e-04   6.632898e-04   168
  1.858591e-01   5.870531e-03   2.247832e-09   8.505989e-04   48
  1.865217e-01   8.628669e-03   0.000000e+00   8.738083e-04   96
  1.871820e-01   7.058708e-03   0.000000e+00   1.279038e-03   48
  1.884956e-01   9.277268e-03   2.543132e-09   1.031728e-03   30
  1.891489e-01   6.451802e-03   0.000000e+00   5.357757e-04   96
  1.899298e-01   7.826887e-03   2.595564e-04   5.635353e-04   240
  1.909339e-01   1.326050e-02   2.800239e-04   1.970895e-03   32
  1.917401e-01   5.965190e-03   0.000000e+00   4.371431e-04   168
  1.923825e-01   6.873797e-03   0.000000e+00   6.698326e-04   120
  1.936608e-01   6.317839e-03   4.738846e-09   7.829077e-04   72
  1.942968e-01   9.105846e-03   2.119276e-09   8.546847e-04   144
  1.949307e-01   6.995060e-03   0.000000e+00   6.729396e-04   96
  1.955626e-01   8.564658e-03   0.000000e+00   6.894649e-04   96
  1.968202e-01   1.125769e-02   0.000000e+00   1.407530e-03   72
  1.974460e-01   7.326345e-03   3.178914e-09   7.404475e-04   96
  1.986918e-01   9.659743e-03   0.000000e+00   1.754137e-03   24
  1.993117e-01   8.571980e-03   0.000000e+00   5.971482e-04   192
  2.000418e-01   8.057274e-03   2.376333e-04   6.276822e-04   132
  2.011601e-01   9.010581e-03   0.000000e+00   7.528689e-04   96
  2.017724e-01   5.736310e-03   0.000000e+00   5.814664e-04   96
  2.023829e-01   7.612528e-03   2.543132e-09   6.023593e-04   120
  2.035985e-01   8.249028e-03   0.000000e+00   1.083406e-03   48
  2.045948e-01   6.611138e-03   2.879924e-04   4.023492e-04   222
  2.054083e-01   8.317523e-03   0.000000e+00   7.528928e-04   120
  2.060080e-01   6.916546e-03   3.893359e-09   1.446818e-03   24
  2.068812e-01   9.952622e-03   2.972500e-04   5.872619e-04   312
  2.087838e-01   1.091018e-02   2.786838e-04   1.157816e-03   72
  2.095704e-01   7.513892e-03   3.893359e-09   8.586508e-04   96
  2.103781e-01   9.427293e-03   2.838009e-04   7.809401e-04   192
  2.113290e-01   8.088815e-03   3.596531e-09   8.848915e-04   120
  2.119120e-01   8.248600e-03   0.000000e+00   7.830010e-04   144
  2.130732e-01   8.034367e-03   0.000000e+00   1.125594e-03   48
  2.138985e-01   7.471536e-03   2.853717e-04   4.732780e-04   336
  2.148032e-01   8.264582e-03   0.000000e+00   9.808796e-04   48
  2.159488e-01   8.011519e-03   0.000000e+00   7.704618e-04   192
  2.165193e-01   6.875008e-03   0.000000e+00   8.136605e-04   48
  2.181411e-01   7.354085e-03   1.980854e-04   8.902404e-04   56
  2.189475e-01   8.042217e-03   2.544090e-04   4.518310e-04   336
  2.199115e-01   8.152567e-03   2.825702e-09   1.302098e-03   54
  2.207512e-01   7.830238e-03   2.794324e-04   5.091416e-04   240
  2.224945e-01   8.203052e-03   2.675587e-04   6.839306e-04   228
  2.232521e-01   8.547147e-03   2.997109e-09   1.102303e-03   72
  2.239875e-01   9.179554e-03   2.595385e-04   6.879363e-04   144
  2.249038e-01   8.283372e-03   0.000000e+00   7.872358e-04   96
  2.254517e-01   7.926267e-03   3.596531e-09   5.547930e-04   240
  2.265435e-01   6.185326e-03   3.178914e-09   1.048692e-03   24
  2.272424e-01   8.362082e-03   2.451321e-04   4.748549e-04   336
  2.281713e-01   6.170386e-03   0.000000e+00   7.080841e-04   72
  2.290193e-01   9.822230e-03   2.666265e-04   7.483799e-04   168
  2.297877e-01   7.454482e-03   0.000000e+00   7.637717e-04   72
  2.308590e-01   1.126203e-02   0.000000e+00   1.148102e-03   96
  2.316886e-01   7.211861e-03   2.646263e-04   5.149244e-04   216
  2.324566e-01   6.205073e-03   0.000000e+00   4.801308e-04   96
  2.335157e-01   7.852712e-03   3.178914e-09   5.134012e-04   192
  2.340434e-01   8.006093e-03   2.997109e-09   6.170016e-04   144
  2.350953e-01   6.678208e-03   0.000000e+00   8.320775e-04   48
  2.358236e-01   8.642473e-03   2.551309e-04   6.355505e-04   246
  2.368131e-01   1.052096e-02   2.352347e-04   8.344607e-04   168
  2.377046e-01   8.705405e-03   6.229375e-09   1.111718e-03   120
  2.382231e-01   7.258128e-03   0.000000e+00   5.390256e-04   240
  2.392566e-01   6.349315e-03   0.000000e+00   1.317259e-03   24
  2.400800e-01   8.077493e-03   2.517980e-04   4.789899e-04   360
  2.411056e-01   9.851146e-03   2.507265e-04   8.215476e-04   120
  2.418210e-01   8.724657e-03   0.000000e+00   7.389612e-04   144
  2.423307e-01   1.061151e-02   0.000000e+00   9.380876e-04   96
  2.438532e-01   8.902343e-03   0.000000e+00   6.720068e-04   144
  2.443586e-01   1.041521e-02   0.000000e+00   9.442361e-04   132
  2.450688e-01   7.949664e-03   2.474633e-04   6.082629e-04   176
  2.460999e-01   8.477770e-03   2.498881e-04   4.830970e-04   312
  2.473693e-01   1.069722e-02   0.000000e+00   1.504848e-03   96
  2.478675e-01   7.216366e-03   0.000000e+00   6.643148e-04   144
  2.486319e-01   8.948955e-03   2.473817e-04   5.661387e-04   312
