# power spectrum of phi
# redshift z=1.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   1.512633e-10   0.000000e+00   6.104555e-11   6
  2.221441e-02   6.796227e-11   0.000000e+00   1.361963e-11   12
  2.720699e-02   4.087171e-11   2.980232e-10   8.785889e-12   8
  3.141593e-02   1.172856e-10   0.000000e+00   1.295800e-11   6
  3.512407e-02   7.005476e-11   5.619580e-10   2.217261e-11   24
  3.847649e-02   8.672462e-11   5.619580e-10   1.514263e-11   24
  4.442883e-02   3.044445e-11   0.000000e+00   1.343520e-11   12
  4.712389e-02   3.354006e-11   6.357829e-10   5.620566e-12   30
  4.967294e-02   4.262055e-11   0.000000e+00   8.951481e-12   24
  5.209742e-02   3.691001e-11   9.733398e-10   9.091254e-12   24
  5.441398e-02   3.775136e-11   5.960464e-10   7.245452e-12   8
  5.663587e-02   3.261359e-11   7.947286e-10   4.217349e-12   24
  5.877382e-02   2.940995e-11   0.000000e+00   4.262351e-12   48
  6.283185e-02   3.256455e-11   0.000000e+00   1.428474e-11   6
  6.476559e-02   2.589783e-11   7.947286e-10   3.772140e-12   48
  6.664324e-02   2.389584e-11   7.492773e-10   2.805076e-12   36
  6.846942e-02   3.364058e-11   7.947286e-10   7.233961e-12   24
  7.024815e-02   2.082610e-11   1.123916e-09   3.253565e-12   24
  7.198293e-02   1.763368e-11   0.000000e+00   2.231805e-12   48
  7.367688e-02   2.229135e-11   1.123916e-09   3.336366e-12   24
  7.695299e-02   2.040891e-11   1.123916e-09   2.867981e-12   24
  7.853982e-02   1.172102e-11   0.000000e+00   2.075293e-12   30
  8.009521e-02   1.431823e-11   0.000000e+00   1.538982e-12   72
  8.162097e-02   1.356793e-11   1.192093e-09   2.982810e-12   32
  8.458997e-02   1.599018e-11   0.000000e+00   1.863285e-12   72
  8.603606e-02   8.908171e-12   0.000000e+00   1.366232e-12   48
  8.885766e-02   5.091621e-12   0.000000e+00   1.679657e-12   12
  9.023538e-02   9.381056e-12   0.000000e+00   1.255528e-12   48
  9.159238e-02   8.354276e-12   0.000000e+00   7.728042e-13   48
  9.292956e-02   9.317284e-12   1.123916e-09   1.291688e-12   48
  9.424778e-02   1.149479e-11   1.271566e-09   2.080689e-12   30
  9.554781e-02   1.261847e-11   0.000000e+00   2.493732e-12   24
  9.683039e-02   1.228381e-11   2.369423e-09   1.364531e-12   72
  9.934588e-02   4.779094e-12   0.000000e+00   1.270085e-12   24
  1.005800e-01   8.441951e-12   0.000000e+00   8.072026e-13   96
  1.017992e-01   6.606609e-12   0.000000e+00   1.107268e-12   48
  1.030040e-01   4.825432e-12   1.946680e-09   9.490757e-13   24
  1.041948e-01   3.297905e-12   1.946680e-09   7.247896e-13   24
  1.053722e-01   8.716386e-12   0.000000e+00   9.786899e-13   72
  1.065366e-01   6.848578e-12   0.000000e+00   9.509754e-13   48
  1.088280e-01   4.641664e-12   1.192093e-09   1.115269e-12   8
  1.099557e-01   8.875265e-12   1.412851e-09   1.284730e-12   54
  1.110721e-01   5.320567e-12   0.000000e+00   7.532964e-13   84
  1.121773e-01   7.456405e-12   0.000000e+00   9.838840e-13   48
  1.132717e-01   4.309804e-12   1.589457e-09   6.428299e-13   24
  1.143557e-01   5.173928e-12   2.119276e-09   5.524245e-13   72
  1.154295e-01   6.353268e-12   0.000000e+00   7.428038e-13   96
  1.175476e-01   7.470784e-12   0.000000e+00   7.928075e-13   48
  1.185925e-01   5.227665e-12   0.000000e+00   6.519201e-13   48
  1.196283e-01   4.734637e-12   0.000000e+00   9.145139e-13   24
  1.206552e-01   4.952634e-12   0.000000e+00   4.982059e-13   72
  1.226831e-01   4.482023e-12   0.000000e+00   5.249584e-13   72
  1.236846e-01   4.310681e-12   0.000000e+00   4.510189e-13   96
  1.256637e-01   7.316199e-12   0.000000e+00   2.987239e-12   6
  1.266416e-01   5.016208e-12   0.000000e+00   5.600714e-13   96
  1.276121e-01   5.116978e-12   1.589457e-09   5.490317e-13   96
  1.285752e-01   2.376476e-12   0.000000e+00   5.721106e-13   24
  1.295312e-01   3.792787e-12   1.589457e-09   4.742692e-13   48
  1.304801e-01   3.674200e-12   0.000000e+00   3.702096e-13   96
  1.314222e-01   3.507703e-12   0.000000e+00   6.523566e-13   48
  1.332865e-01   3.327004e-12   1.498555e-09   5.946865e-13   36
  1.342089e-01   3.215836e-12   2.753021e-09   4.446501e-13   48
  1.351250e-01   3.716706e-12   3.114687e-09   3.474965e-13   120
  1.360350e-01   3.699523e-12   0.000000e+00   5.463983e-13   56
  1.369388e-01   1.862080e-12   1.589457e-09   3.510411e-13   24
  1.378368e-01   2.680028e-12   0.000000e+00   2.888068e-13   96
  1.387290e-01   3.012044e-12   0.000000e+00   3.561659e-13   48
  1.404963e-01   3.665345e-12   2.247832e-09   6.644707e-13   24
  1.413717e-01   3.920150e-12   0.000000e+00   4.498792e-13   102
  1.422417e-01   4.327520e-12   1.589457e-09   7.037640e-13   48
  1.431064e-01   3.486845e-12   0.000000e+00   3.176150e-13   72
  1.439659e-01   2.962426e-12   0.000000e+00   2.947009e-13   48
  1.448203e-01   3.636218e-12   0.000000e+00   6.641092e-13   48
  1.456697e-01   3.343217e-12   3.596531e-09   2.903328e-13   120
  1.473538e-01   3.146037e-12   2.247832e-09   3.486872e-13   24
  1.481886e-01   2.458312e-12   2.119276e-09   2.097756e-13   144
  1.490188e-01   2.216589e-12   2.543132e-09   2.837902e-13   120
  1.498444e-01   2.373279e-12   2.247832e-09   3.798508e-13   48
  1.514821e-01   2.769507e-12   2.247832e-09   4.210983e-13   48
  1.522944e-01   2.267562e-12   2.247832e-09   1.968268e-13   96
  1.544390e-01   2.212063e-12   3.768959e-04   2.463369e-13   72
  1.555009e-01   2.238463e-12   1.998073e-09   1.913224e-13   108
  1.562923e-01   2.136479e-12   0.000000e+00   2.192473e-13   72
  1.570796e-01   1.363020e-12   0.000000e+00   2.384562e-13   30
  1.578631e-01   2.243374e-12   0.000000e+00   1.567143e-13   168
  1.586427e-01   2.982458e-12   0.000000e+00   3.057274e-13   48
  1.601904e-01   1.705819e-12   0.000000e+00   2.049889e-13   72
  1.609587e-01   2.231554e-12   0.000000e+00   2.431117e-13   96
  1.617234e-01   1.786053e-12   4.238553e-09   2.118588e-13   72
  1.624844e-01   2.003979e-12   0.000000e+00   1.728944e-13   72
  1.637639e-01   2.202349e-12   3.480039e-04   1.998648e-13   104
  1.647465e-01   1.828358e-12   2.997109e-09   1.257880e-13   144
  1.669779e-01   1.251481e-12   5.026305e-09   1.286860e-13   96
  1.677152e-01   1.202961e-12   0.000000e+00   1.275932e-13   96
  1.688876e-01   1.747675e-12   3.580185e-04   1.716563e-13   120
  1.699076e-01   1.490292e-12   0.000000e+00   1.348561e-13   120
  1.706322e-01   2.098780e-12   0.000000e+00   2.227668e-13   72
  1.720721e-01   2.001244e-12   0.000000e+00   2.384296e-13   48
  1.727876e-01   1.816689e-12   3.912510e-09   2.309952e-13   78
  1.737029e-01   1.579435e-12   3.205713e-04   1.302088e-13   168
  1.756204e-01   1.584423e-12   3.670694e-09   1.200352e-13   144
  1.763215e-01   2.177740e-12   2.997109e-09   1.615117e-13   144
  1.783549e-01   1.535838e-12   1.846233e-04   1.398068e-13   156
  1.790983e-01   1.362207e-12   3.893359e-09   2.590160e-13   48
  1.797859e-01   1.426792e-12   2.543132e-09   1.423842e-13   120
  1.804708e-01   1.375916e-12   0.000000e+00   2.862036e-13   48
  1.816818e-01   1.536827e-12   2.825996e-04   1.197805e-13   216
  1.831848e-01   6.349532e-13   0.000000e+00   7.357503e-14   48
  1.838570e-01   1.207588e-12   2.247832e-09   9.999326e-14   96
  1.848128e-01   1.282860e-12   3.302618e-04   9.893856e-14   168
  1.858591e-01   1.022467e-12   2.247832e-09   1.171712e-13   48
  1.865217e-01   1.176612e-12   0.000000e+00   1.047645e-13   96
  1.871820e-01   1.172639e-12   0.000000e+00   1.725476e-13   48
  1.884956e-01   1.453294e-12   2.543132e-09   1.926010e-13   30
  1.891489e-01   1.339678e-12   0.000000e+00   1.154037e-13   96
  1.899298e-01   1.184466e-12   2.595564e-04   8.601075e-14   240
  1.909339e-01   1.500659e-12   2.800239e-04   2.004894e-13   32
  1.917401e-01   9.232800e-13   0.000000e+00   6.510332e-14   168
  1.923825e-01   9.901517e-13   0.000000e+00   1.020463e-13   120
  1.936608e-01   1.089710e-12   4.738846e-09   1.291855e-13   72
  1.942968e-01   1.415277e-12   2.119276e-09   1.336150e-13   144
  1.949307e-01   1.037494e-12   0.000000e+00   1.020878e-13   96
  1.955626e-01   1.168372e-12   0.000000e+00   8.843103e-14   96
  1.968202e-01   1.626382e-12   0.000000e+00   1.730120e-13   72
  1.974460e-01   8.284998e-13   3.178914e-09   9.085621e-14   96
  1.986918e-01   1.589939e-12   0.000000e+00   3.112460e-13   24
  1.993117e-01   1.122594e-12   0.000000e+00   8.033552e-14   192
  2.000418e-01   9.909424e-13   2.376333e-04   8.605704e-14   132
  2.011601e-01   9.238100e-13   0.000000e+00   9.416120e-14   96
  2.017724e-01   6.874747e-13   0.000000e+00   5.795317e-14   96
  2.023829e-01   1.049730e-12   2.543132e-09   8.758495e-14   120
  2.035985e-01   9.881563e-13   0.000000e+00   9.073719e-14   48
  2.045948e-01   9.212142e-13   2.879924e-04   5.753325e-14   222
  2.054083e-01   1.136467e-12   0.000000e+00   1.066572e-13   120
  2.060080e-01   5.967478e-13   3.893359e-09   1.489757e-13   24
  2.068812e-01   1.023128e-12   2.972500e-04   6.245721e-14   312
  2.087838e-01   1.035299e-12   2.786838e-04   1.020677e-13   72
  2.095704e-01   8.800810e-13   3.893359e-09   8.293211e-14   96
  2.103781e-01   8.470563e-13   2.838009e-04   7.005000e-14   192
  2.113290e-01   9.389206e-13   3.596531e-09   1.019094e-13   120
  2.119120e-01   6.874799e-13   0.000000e+00   5.144685e-14   144
  2.130732e-01   1.032865e-12   0.000000e+00   1.330080e-13   48
  2.138985e-01   7.587257e-13   2.853717e-04   4.796711e-14   336
