# power spectrum of phi
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.570796e-02   1.705371e-10   0.000000e+00   6.878558e-11   6
  2.221441e-02   7.676113e-11   0.000000e+00   1.533197e-11   12
  2.720699e-02   4.679553e-11   2.980232e-10   9.538911e-12   8
  3.141593e-02   1.324562e-10   0.000000e+00   1.426319e-11   6
  3.512407e-02   7.945643e-11   5.619580e-10   2.534347e-11   24
  3.847649e-02   1.004334e-10   5.619580e-10   1.694842e-11   24
  4.442883e-02   3.736483e-11   0.000000e+00   1.681398e-11   12
  4.712389e-02   4.057706e-11   6.357829e-10   7.437722e-12   30
  4.967294e-02   4.883887e-11   0.000000e+00   1.076285e-11   24
  5.209742e-02   4.240644e-11   9.733398e-10   1.052331e-11   24
  5.441398e-02   4.698425e-11   5.960464e-10   9.509832e-12   8
  5.663587e-02   3.903461e-11   7.947286e-10   4.862659e-12   24
  5.877382e-02   3.562947e-11   0.000000e+00   5.013023e-12   48
  6.283185e-02   4.154000e-11   0.000000e+00   1.827941e-11   6
  6.476559e-02   3.185755e-11   7.947286e-10   4.462734e-12   48
  6.664324e-02   2.910998e-11   7.492773e-10   3.046411e-12   36
  6.846942e-02   4.023141e-11   7.947286e-10   8.422653e-12   24
  7.024815e-02   2.352344e-11   1.123916e-09   4.035107e-12   24
  7.198293e-02   2.050878e-11   0.000000e+00   2.783290e-12   48
  7.367688e-02   3.035421e-11   1.123916e-09   4.316905e-12   24
  7.695299e-02   2.343921e-11   1.123916e-09   3.678538e-12   24
  7.853982e-02   1.562186e-11   0.000000e+00   2.557019e-12   30
  8.009521e-02   1.640820e-11   0.000000e+00   1.797060e-12   72
  8.162097e-02   1.597395e-11   1.192093e-09   3.275171e-12   32
  8.458997e-02   1.954850e-11   0.000000e+00   2.250271e-12   72
  8.603606e-02   1.191865e-11   0.000000e+00   1.743492e-12   48
  8.885766e-02   5.865098e-12   0.000000e+00   1.740534e-12   12
  9.023538e-02   1.138359e-11   0.000000e+00   1.702931e-12   48
  9.159238e-02   9.761753e-12   0.000000e+00   9.620153e-13   48
  9.292956e-02   1.279003e-11   1.123916e-09   1.616025e-12   48
  9.424778e-02   1.497628e-11   1.271566e-09   2.619404e-12   30
  9.554781e-02   1.384403e-11   0.000000e+00   3.112566e-12   24
  9.683039e-02   1.347827e-11   2.369423e-09   1.386012e-12   72
  9.934588e-02   7.821951e-12   0.000000e+00   1.487751e-12   24
  1.005800e-01   1.131249e-11   0.000000e+00   1.102423e-12   96
  1.017992e-01   8.514913e-12   0.000000e+00   1.136005e-12   48
  1.030040e-01   6.930653e-12   1.946680e-09   1.695364e-12   24
  1.041948e-01   5.162732e-12   1.946680e-09   1.062532e-12   24
  1.053722e-01   1.190676e-11   0.000000e+00   1.449144e-12   72
  1.065366e-01   9.024129e-12   0.000000e+00   1.387187e-12   48
  1.088280e-01   7.246659e-12   1.192093e-09   2.145163e-12   8
  1.099557e-01   1.121323e-11   1.412851e-09   1.365273e-12   54
  1.110721e-01   7.268609e-12   0.000000e+00   1.241225e-12   84
  1.121773e-01   8.269876e-12   0.000000e+00   1.193241e-12   48
  1.132717e-01   4.981885e-12   1.589457e-09   8.841964e-13   24
  1.143557e-01   6.683220e-12   2.119276e-09   7.852385e-13   72
  1.154295e-01   8.672663e-12   0.000000e+00   9.805176e-13   96
  1.175476e-01   1.132656e-11   0.000000e+00   1.233815e-12   48
  1.185925e-01   6.259859e-12   0.000000e+00   5.889845e-13   48
  1.196283e-01   5.619993e-12   0.000000e+00   1.093951e-12   24
  1.206552e-01   6.162440e-12   0.000000e+00   6.692351e-13   72
  1.226831e-01   6.104864e-12   0.000000e+00   7.187726e-13   72
  1.236846e-01   6.069327e-12   0.000000e+00   6.911262e-13   96
  1.256637e-01   9.216390e-12   0.000000e+00   4.046468e-12   6
  1.266416e-01   6.810125e-12   0.000000e+00   6.755409e-13   96
  1.276121e-01   6.949852e-12   1.589457e-09   7.405948e-13   96
  1.285752e-01   4.512362e-12   0.000000e+00   1.072535e-12   24
  1.295312e-01   5.089611e-12   1.589457e-09   6.000350e-13   48
  1.304801e-01   5.190361e-12   0.000000e+00   5.209137e-13   96
  1.314222e-01   5.522957e-12   0.000000e+00   7.459565e-13   48
  1.332865e-01   5.095116e-12   1.498555e-09   9.209267e-13   36
  1.342089e-01   5.080969e-12   2.753021e-09   6.307633e-13   48
  1.351250e-01   5.520275e-12   3.114687e-09   4.918125e-13   120
  1.360350e-01   4.766478e-12   0.000000e+00   6.252038e-13   56
  1.369388e-01   2.599049e-12   1.589457e-09   4.556457e-13   24
  1.378368e-01   3.816871e-12   0.000000e+00   3.395272e-13   96
  1.387290e-01   3.950505e-12   0.000000e+00   5.068979e-13   48
  1.404963e-01   4.975866e-12   2.247832e-09   9.212559e-13   24
  1.413717e-01   5.135454e-12   0.000000e+00   5.124032e-13   102
  1.422417e-01   5.655003e-12   1.589457e-09   8.567455e-13   48
  1.431064e-01   4.845760e-12   0.000000e+00   4.893564e-13   72
  1.439659e-01   4.346022e-12   0.000000e+00   4.370285e-13   48
  1.448203e-01   4.868543e-12   0.000000e+00   8.903144e-13   48
  1.456697e-01   3.941974e-12   3.596531e-09   3.602402e-13   120
  1.473538e-01   5.466143e-12   2.247832e-09   9.044324e-13   24
  1.481886e-01   3.374544e-12   2.119276e-09   2.833574e-13   144
  1.490188e-01   3.381373e-12   2.543132e-09   3.298579e-13   120
  1.498444e-01   2.865320e-12   2.247832e-09   4.024054e-13   48
  1.514821e-01   3.813522e-12   2.247832e-09   5.083637e-13   48
  1.522944e-01   3.099535e-12   2.247832e-09   3.123863e-13   96
  1.544390e-01   3.810745e-12   3.768959e-04   4.497612e-13   72
  1.555009e-01   2.901811e-12   1.998073e-09   2.184576e-13   108
  1.562923e-01   3.292053e-12   0.000000e+00   3.503051e-13   72
  1.570796e-01   2.127783e-12   0.000000e+00   4.300796e-13   30
  1.578631e-01   3.354186e-12   0.000000e+00   2.580697e-13   168
  1.586427e-01   3.580970e-12   0.000000e+00   4.166202e-13   48
  1.601904e-01   2.276160e-12   0.000000e+00   2.701221e-13   72
  1.609587e-01   3.049845e-12   0.000000e+00   2.921368e-13   96
  1.617234e-01   2.849065e-12   4.238553e-09   4.369047e-13   72
  1.624844e-01   3.240734e-12   0.000000e+00   3.460905e-13   72
  1.637639e-01   2.970370e-12   3.480039e-04   2.287195e-13   104
  1.647465e-01   2.726411e-12   2.997109e-09   2.015827e-13   144
  1.669779e-01   1.894743e-12   5.026305e-09   1.802563e-13   96
