# power spectrum of delta
# redshift z=10.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  3.141593e-02   2.621343e-04   0.000000e+00   1.058319e-04   6
  4.442883e-02   3.568335e-04   0.000000e+00   7.139686e-05   12
  5.441398e-02   4.572541e-04   5.960464e-10   9.461818e-05   8
  6.283185e-02   2.349814e-03   0.000000e+00   2.541337e-04   6
  7.024815e-02   2.209193e-03   1.123916e-09   7.058859e-04   24
  7.695299e-02   3.942777e-03   1.123916e-09   6.756425e-04   24
  8.885766e-02   2.317989e-03   0.000000e+00   1.037334e-03   12
  9.424778e-02   3.021393e-03   1.271566e-09   5.424688e-04   30
  9.934588e-02   4.335661e-03   0.000000e+00   9.480696e-04   24
  1.041948e-01   4.337421e-03   1.946680e-09   1.083150e-03   24
  1.088280e-01   5.461096e-03   1.192093e-09   1.081126e-03   8
  1.132717e-01   5.271799e-03   1.589457e-09   6.751968e-04   24
  1.175476e-01   5.531766e-03   0.000000e+00   7.896437e-04   48
  1.256637e-01   8.340011e-03   0.000000e+00   3.671829e-03   6
  1.295312e-01   7.097253e-03   1.589457e-09   1.006565e-03   48
  1.332865e-01   7.210909e-03   1.498555e-09   7.689861e-04   36
  1.369388e-01   1.085535e-02   1.589457e-09   2.307512e-03   24
  1.404963e-01   6.901004e-03   2.247832e-09   1.143370e-03   24
  1.439659e-01   6.422621e-03   0.000000e+00   8.548604e-04   48
  1.473538e-01   9.765440e-03   2.247832e-09   1.388364e-03   24
  1.539060e-01   9.103668e-03   2.247832e-09   1.395359e-03   24
  1.570796e-01   6.147520e-03   0.000000e+00   1.027441e-03   30
  1.601904e-01   7.138880e-03   0.000000e+00   7.752103e-04   72
  1.632419e-01   7.438308e-03   2.384186e-09   1.551305e-03   32
  1.691799e-01   1.034412e-02   0.000000e+00   1.200219e-03   72
  1.720721e-01   6.791544e-03   0.000000e+00   9.972788e-04   48
  1.777153e-01   3.802432e-03   0.000000e+00   1.122233e-03   12
  1.804708e-01   8.042273e-03   0.000000e+00   1.183440e-03   48
  1.831848e-01   7.350707e-03   0.000000e+00   6.958665e-04   48
  1.858591e-01   9.979525e-03   2.247832e-09   1.294290e-03   48
  1.884956e-01   1.290583e-02   2.543132e-09   2.275157e-03   30
  1.910956e-01   1.309663e-02   0.000000e+00   2.905846e-03   24
  1.936608e-01   1.349827e-02   4.738846e-09   1.398771e-03   72
  1.986918e-01   8.200837e-03   0.000000e+00   1.612015e-03   24
  2.011601e-01   1.255317e-02   0.000000e+00   1.219193e-03   96
  2.035985e-01   9.869102e-03   0.000000e+00   1.392219e-03   48
  2.060080e-01   8.335718e-03   3.893359e-09   1.974160e-03   24
  2.083897e-01   6.247841e-03   3.893359e-09   1.327522e-03   24
  2.107444e-01   1.525657e-02   0.000000e+00   1.810384e-03   72
  2.130732e-01   1.227721e-02   0.000000e+00   1.860152e-03   48
  2.176559e-01   9.836125e-03   2.384186e-09   2.781828e-03   8
  2.199115e-01   1.654872e-02   2.825702e-09   2.072553e-03   54
  2.221441e-01   1.071567e-02   0.000000e+00   1.768318e-03   84
  2.243546e-01   1.345953e-02   0.000000e+00   1.942953e-03   48
  2.265435e-01   8.079688e-03   3.178914e-09   1.378137e-03   24
  2.287114e-01   1.093935e-02   4.238553e-09   1.250205e-03   72
  2.308590e-01   1.462696e-02   0.000000e+00   1.708000e-03   96
  2.350953e-01   1.945352e-02   0.000000e+00   2.121767e-03   48
  2.371850e-01   1.152472e-02   0.000000e+00   1.156851e-03   48
  2.392566e-01   1.062534e-02   0.000000e+00   2.095771e-03   24
  2.413103e-01   1.189067e-02   0.000000e+00   1.307885e-03   72
  2.453662e-01   1.240544e-02   0.000000e+00   1.483874e-03   72
  2.473693e-01   1.250599e-02   0.000000e+00   1.417905e-03   96
  2.513274e-01   2.145380e-02   0.000000e+00   9.268863e-03   6
  2.532833e-01   1.536270e-02   0.000000e+00   1.598464e-03   96
  2.552242e-01   1.637068e-02   3.178914e-09   1.776045e-03   96
  2.571504e-01   9.542098e-03   0.000000e+00   2.329419e-03   24
  2.590624e-01   1.234691e-02   3.178914e-09   1.436705e-03   48
  2.609603e-01   1.288308e-02   0.000000e+00   1.314458e-03   96
  2.628445e-01   1.352064e-02   0.000000e+00   1.968083e-03   48
  2.665730e-01   1.332486e-02   2.997109e-09   2.207308e-03   36
  2.684178e-01   1.362242e-02   5.506041e-09   1.723101e-03   48
  2.702500e-01   1.509357e-02   6.229375e-09   1.345325e-03   120
  2.720699e-01   1.369389e-02   0.000000e+00   1.854577e-03   56
  2.738777e-01   7.325789e-03   3.178914e-09   1.351212e-03   24
  2.756736e-01   1.102754e-02   0.000000e+00   9.972346e-04   96
  2.774580e-01   1.189286e-02   0.000000e+00   1.485311e-03   48
  2.809926e-01   1.624586e-02   4.495664e-09   2.940561e-03   24
  2.827433e-01   1.666076e-02   0.000000e+00   1.733614e-03   102
  2.844833e-01   1.933408e-02   3.178914e-09   3.000577e-03   48
  2.862127e-01   1.641923e-02   0.000000e+00   1.621829e-03   72
  2.879317e-01   1.510839e-02   0.000000e+00   1.478545e-03   48
  2.896405e-01   1.746679e-02   0.000000e+00   3.200281e-03   48
  2.913393e-01   1.463338e-02   7.193062e-09   1.361549e-03   120
  2.947075e-01   1.935852e-02   4.495664e-09   2.959522e-03   24
  2.963773e-01   1.278629e-02   4.238553e-09   1.085911e-03   144
  2.980376e-01   1.310756e-02   5.086263e-09   1.369532e-03   120
  2.996888e-01   1.206446e-02   4.495664e-09   1.732169e-03   48
  3.029642e-01   1.617680e-02   4.495664e-09   2.222075e-03   48
  3.045887e-01   1.300901e-02   4.495664e-09   1.253269e-03   96
  3.088780e-01   1.635324e-02   7.537918e-04   1.931113e-03   72
  3.110018e-01   1.382786e-02   3.996146e-09   1.084280e-03   108
  3.125845e-01   1.551797e-02   0.000000e+00   1.585694e-03   72
  3.141593e-01   1.028416e-02   0.000000e+00   2.175759e-03   30
  3.157262e-01   1.682031e-02   0.000000e+00   1.271356e-03   168
  3.172853e-01   1.954382e-02   0.000000e+00   2.260499e-03   48
  3.203808e-01   1.228724e-02   0.000000e+00   1.515610e-03   72
  3.219175e-01   1.695328e-02   0.000000e+00   1.723633e-03   96
  3.234468e-01   1.554163e-02   8.477105e-09   2.385321e-03   72
  3.249689e-01   1.770614e-02   0.000000e+00   1.873471e-03   72
  3.275279e-01   1.776257e-02   6.960077e-04   1.374446e-03   104
  3.294930e-01   1.606781e-02   5.994218e-09   1.200260e-03   144
  3.339559e-01   1.153136e-02   1.005261e-08   1.129074e-03   96
  3.354303e-01   1.159516e-02   0.000000e+00   1.244717e-03   96
  3.377752e-01   1.669815e-02   7.160371e-04   1.527015e-03   120
  3.398152e-01   1.431578e-02   0.000000e+00   1.229578e-03   120
  3.412643e-01   1.802736e-02   0.000000e+00   2.023532e-03   72
  3.441442e-01   1.942694e-02   0.000000e+00   2.561382e-03   48
  3.455752e-01   1.896310e-02   7.825020e-09   2.359747e-03   78
  3.474057e-01   1.948918e-02   6.411427e-04   1.553473e-03   168
  3.512407e-01   1.823203e-02   7.341388e-09   1.550765e-03   144
  3.526429e-01   2.132559e-02   5.994218e-09   1.545371e-03   144
  3.567097e-01   1.783530e-02   3.692465e-04   1.629471e-03   156
  3.581967e-01   1.458270e-02   7.786718e-09   3.005184e-03   48
  3.595717e-01   1.653281e-02   5.086263e-09   1.536114e-03   120
  3.609415e-01   1.181835e-02   0.000000e+00   1.339101e-03   48
  3.633635e-01   1.796425e-02   5.651992e-04   1.285019e-03   216
  3.663695e-01   1.257606e-02   0.000000e+00   1.537817e-03   48
  3.677140e-01   1.390365e-02   4.495664e-09   1.141445e-03   96
  3.696256e-01   1.628396e-02   6.605235e-04   1.485147e-03   168
  3.717183e-01   1.280625e-02   4.495664e-09   1.830231e-03   48
  3.730435e-01   1.863517e-02   0.000000e+00   1.876054e-03   96
  3.743640e-01   1.617841e-02   0.000000e+00   2.911557e-03   48
  3.769911e-01   2.046507e-02   5.086263e-09   2.267268e-03   30
  3.782979e-01   1.441640e-02   0.000000e+00   1.190373e-03   96
  3.798596e-01   1.699717e-02   5.191127e-04   1.231250e-03   240
  3.818679e-01   2.896992e-02   5.600478e-04   4.245970e-03   32
  3.834803e-01   1.296498e-02   0.000000e+00   9.268295e-04   168
  3.847649e-01   1.456502e-02   0.000000e+00   1.450475e-03   120
  3.873216e-01   1.378532e-02   9.477692e-09   1.656972e-03   72
  3.885936e-01   1.994023e-02   4.238553e-09   1.857378e-03   144
  3.898614e-01   1.511852e-02   0.000000e+00   1.435664e-03   96
  3.911251e-01   1.892703e-02   0.000000e+00   1.508507e-03   96
  3.936404e-01   2.390599e-02   0.000000e+00   2.981812e-03   72
  3.948921e-01   1.569744e-02   6.357829e-09   1.622813e-03   96
  3.973835e-01   2.065689e-02   0.000000e+00   3.693226e-03   24
  3.986234e-01   1.856504e-02   0.000000e+00   1.308525e-03   192
  4.000835e-01   1.719799e-02   4.752666e-04   1.333096e-03   132
  4.023202e-01   1.875307e-02   0.000000e+00   1.542652e-03   96
  4.035449e-01   1.232867e-02   0.000000e+00   1.231850e-03   96
  4.047659e-01   1.677870e-02   5.086263e-09   1.302859e-03   120
  4.071969e-01   1.800985e-02   0.000000e+00   2.249799e-03   48
  4.091897e-01   1.407056e-02   5.759849e-04   8.378944e-04   222
  4.108165e-01   1.801590e-02   0.000000e+00   1.566956e-03   120
  4.120160e-01   1.444694e-02   7.786718e-09   3.181554e-03   24
  4.137624e-01   2.116816e-02   5.945000e-04   1.241648e-03   312
  4.175676e-01   2.319288e-02   5.573676e-04   2.384400e-03   72
  4.191407e-01   1.645605e-02   7.786718e-09   1.781989e-03   96
  4.207561e-01   1.995835e-02   5.676017e-04   1.627379e-03   192
  4.226581e-01   1.771331e-02   7.193062e-09   1.895874e-03   120
  4.238240e-01   1.752999e-02   0.000000e+00   1.621586e-03   144
  4.261464e-01   1.772738e-02   0.000000e+00   2.404440e-03   48
  4.277971e-01   1.604122e-02   5.707434e-04   1.021374e-03   336
  4.296063e-01   1.729506e-02   0.000000e+00   1.866967e-03   48
  4.318976e-01   1.741750e-02   0.000000e+00   1.640135e-03   192
  4.330387e-01   1.484247e-02   0.000000e+00   1.732595e-03   48
  4.362823e-01   1.550182e-02   3.961708e-04   1.837180e-03   56
  4.378950e-01   1.735703e-02   5.088179e-04   9.817740e-04   336
  4.398230e-01   1.709812e-02   5.651403e-09   2.787075e-03   54
  4.415024e-01   1.688601e-02   5.588647e-04   1.073518e-03   240
  4.449889e-01   1.759627e-02   5.351174e-04   1.435028e-03   228
  4.465042e-01   1.854848e-02   5.994218e-09   2.365355e-03   72
  4.479751e-01   1.923280e-02   5.190769e-04   1.431727e-03   144
  4.498076e-01   1.798353e-02   0.000000e+00   1.693561e-03   96
  4.509034e-01   1.726736e-02   7.193062e-09   1.179450e-03   240
  4.530869e-01   1.287243e-02   6.357829e-09   2.054600e-03   24
  4.544849e-01   1.842505e-02   4.902641e-04   1.038378e-03   336
  4.563427e-01   1.344090e-02   0.000000e+00   1.511242e-03   72
  4.580385e-01   2.104127e-02   5.332530e-04   1.561581e-03   168
  4.595754e-01   1.596765e-02   0.000000e+00   1.674990e-03   72
  4.617179e-01   2.444712e-02   0.000000e+00   2.432627e-03   96
  4.633772e-01   1.616600e-02   5.292526e-04   1.144034e-03   216
  4.649133e-01   1.375646e-02   0.000000e+00   1.066495e-03   96
  4.670313e-01   1.719876e-02   6.357829e-09   1.147114e-03   192
  4.680868e-01   1.724188e-02   5.994218e-09   1.279903e-03   144
  4.701905e-01   1.414683e-02   0.000000e+00   1.671508e-03   48
  4.716471e-01   1.848451e-02   5.102617e-04   1.353334e-03   246
  4.736262e-01   2.271568e-02   4.704694e-04   1.797881e-03   168
  4.754092e-01   1.856215e-02   1.245875e-08   2.323146e-03   120
  4.764461e-01   1.559504e-02   0.000000e+00   1.150652e-03   240
  4.785131e-01   1.343848e-02   0.000000e+00   2.906591e-03   24
  4.801601e-01   1.732495e-02   5.035960e-04   1.023077e-03   360
  4.822112e-01   2.091227e-02   5.014531e-04   1.737109e-03   120
  4.836420e-01   1.892008e-02   0.000000e+00   1.582302e-03   144
  4.846613e-01   2.248375e-02   0.000000e+00   1.905235e-03   96
  4.877063e-01   1.861353e-02   0.000000e+00   1.378848e-03   144
  4.887171e-01   2.233721e-02   0.000000e+00   1.995123e-03   132
  4.901376e-01   1.669580e-02   4.949267e-04   1.231233e-03   176
  4.921997e-01   1.801745e-02   4.997763e-04   1.026664e-03   312
  4.947385e-01   2.158229e-02   0.000000e+00   3.027773e-03   96
  4.957350e-01   1.500920e-02   0.000000e+00   1.366016e-03   144
  4.972638e-01   1.818411e-02   4.947633e-04   1.148911e-03   312
  4.997009e-01   1.883235e-02   0.000000e+00   2.130796e-03   48
  5.006875e-01   1.643197e-02   6.357829e-09   1.194514e-03   192
  5.026548e-01   9.405311e-03   0.000000e+00   2.824849e-03   6
  5.039619e-01   1.594784e-02   4.614506e-04   8.910376e-04   288
  5.060790e-01   1.699966e-02   4.875525e-04   1.322788e-03   192
  5.075398e-01   1.587358e-02   1.495221e-08   1.082682e-03   216
  5.085112e-01   1.887012e-02   0.000000e+00   2.678142e-03   72
  5.109313e-01   1.819847e-02   4.829223e-04   1.677970e-03   192
  5.125386e-01   2.064462e-02   3.585958e-04   1.386388e-03   288
  5.143009e-01   1.615710e-02   0.000000e+00   3.381753e-03   24
  5.156624e-01   1.840289e-02   4.724202e-04   9.913884e-04   456
  5.181247e-01   1.485487e-02   0.000000e+00   2.516547e-03   48
  5.196462e-01   1.854340e-02   4.653150e-04   1.321869e-03   240
  5.213948e-01   2.166480e-02   4.702532e-04   1.499482e-03   216
  5.228652e-01   1.659281e-02   0.000000e+00   2.027630e-03   72
  5.238082e-01   1.495817e-02   1.624747e-08   1.292292e-03   168
  5.264706e-01   1.833797e-02   3.495323e-04   1.206263e-03   288
  5.279636e-01   1.940384e-02   4.624911e-04   1.448436e-03   168
  5.303619e-01   2.041565e-02   0.000000e+00   1.697299e-03   192
  5.312915e-01   1.536701e-02   5.994218e-09   1.100349e-03   144
  5.331460e-01   2.543013e-02   5.994218e-09   3.149748e-03   36
  5.347186e-01   1.477004e-02   4.223528e-04   8.097151e-04   342
  5.362222e-01   1.717017e-02   4.337051e-04   1.701122e-03   144
  5.381552e-01   1.813462e-02   4.548480e-04   1.117020e-03   384
  5.405000e-01   2.167379e-02   1.245875e-08   2.159363e-03   120
  5.416606e-01   2.101611e-02   4.055921e-04   1.247846e-03   264
  5.432322e-01   1.753137e-02   2.010522e-08   1.337339e-03   192
  5.447121e-01   1.730418e-02   4.371030e-04   1.460026e-03   152
  5.459506e-01   1.751876e-02   1.198844e-08   1.713577e-03   144
  5.485556e-01   1.321616e-02   2.828973e-04   9.815568e-04   216
  5.497613e-01   2.019232e-02   3.780263e-04   1.189259e-03   312
  5.518839e-01   1.689696e-02   4.381250e-04   1.052367e-03   240
  5.531345e-01   1.846357e-02   6.357829e-09   1.733584e-03   96
  5.555083e-01   1.436492e-02   4.188792e-04   1.200630e-03   144
  5.569713e-01   1.778601e-02   4.117214e-04   9.221498e-04   456
  5.593447e-01   1.232053e-02   0.000000e+00   8.866531e-04   120
  5.602262e-01   1.584714e-02   0.000000e+00   1.564206e-03   144
  5.619852e-01   1.346758e-02   8.991328e-09   1.898808e-03   24
  5.631129e-01   1.658412e-02   3.957596e-04   8.863475e-04   336
  5.650632e-01   1.678106e-02   4.364690e-04   1.313415e-03   198
  5.668907e-01   1.893937e-02   4.244410e-04   1.229416e-03   432
  5.689666e-01   2.528198e-02   1.271566e-08   2.979279e-03   48
  5.700496e-01   2.189154e-02   3.747080e-04   1.244792e-03   384
  5.719941e-01   1.791825e-02   4.313683e-04   1.674227e-03   144
  5.737560e-01   2.446297e-02   4.282921e-04   1.977118e-03   264
  5.758634e-01   1.635798e-02   0.000000e+00   1.633284e-03   48
  5.772774e-01   1.717861e-02   4.072357e-04   1.152224e-03   276
  5.786417e-01   1.775883e-02   3.691482e-04   1.591548e-03   192
  5.804649e-01   1.704494e-02   4.148414e-04   7.686711e-04   552
  5.826786e-01   1.212937e-02   1.017253e-08   1.354954e-03   120
  5.839944e-01   1.521943e-02   4.199218e-04   1.120867e-03   216
  5.852139e-01   1.548832e-02   1.017253e-08   1.256263e-03   120
  5.873922e-01   1.999795e-02   4.135200e-04   1.044082e-03   408
  5.894150e-01   8.517654e-03   8.991328e-09   1.090989e-03   24
  5.906694e-01   1.686516e-02   4.177296e-04   1.157365e-03   384
  5.924213e-01   1.411430e-02   4.081368e-04   8.718915e-04   240
  5.939425e-01   1.680786e-02   4.111256e-04   1.179018e-03   168
  5.960753e-01   1.201765e-02   0.000000e+00   1.239268e-03   120
  5.974502e-01   1.868105e-02   4.285769e-04   1.167053e-03   350
  5.996859e-01   1.951849e-02   7.055203e-04   1.243329e-03   384
  6.010221e-01   2.228801e-02   0.000000e+00   2.526796e-03   144
  6.034802e-01   1.593120e-02   8.477105e-09   1.143658e-03   288
  6.047637e-01   1.695091e-02   4.038485e-04   1.107147e-03   336
  6.065098e-01   1.602933e-02   3.676705e-04   1.359364e-03   168
  6.075551e-01   1.978774e-02   2.409889e-08   1.474174e-03   336
  6.097171e-01   1.457818e-02   3.816201e-04   8.706212e-04   288
  6.110156e-01   1.672043e-02   3.595837e-04   1.052255e-03   264
  6.132144e-01   1.624498e-02   0.000000e+00   1.137148e-03   240
  6.140186e-01   1.602109e-02   0.000000e+00   1.442207e-03   96
  6.169049e-01   1.868801e-02   4.890096e-04   1.198639e-03   360
  6.182520e-01   1.687374e-02   3.604841e-04   1.903707e-03   168
  6.199540e-01   1.697037e-02   3.929651e-04   8.719992e-04   456
  6.220036e-01   1.534735e-02   1.130281e-08   1.421928e-03   108
  6.231564e-01   1.282158e-02   3.942898e-04   8.107031e-04   264
