# power spectrum of delta
# redshift z=100.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   6.992366e-09   0.000000e+00   3.042237e-09   6
  6.346976e-03   1.592535e-08   0.000000e+00   3.439904e-09   12
  7.773426e-03   2.673941e-08   8.514949e-11   5.893729e-09   8
  8.975979e-03   1.576222e-07   0.000000e+00   1.838413e-08   6
  1.003545e-02   1.712116e-07   1.605594e-10   5.915608e-08   24
  1.099328e-02   3.523849e-07   1.605594e-10   6.434009e-08   24
  1.269395e-02   2.790934e-07   0.000000e+00   1.361331e-07   12
  1.346397e-02   4.099223e-07   1.816523e-10   8.179879e-08   30
  1.419227e-02   6.322482e-07   0.000000e+00   1.510787e-07   24
  1.488498e-02   6.973706e-07   2.780971e-10   1.874085e-07   24
  1.554685e-02   9.683811e-07   1.702990e-10   2.126036e-07   8
  1.618168e-02   9.606176e-07   2.270653e-10   1.293543e-07   24
  1.679252e-02   1.046501e-06   0.000000e+00   1.593457e-07   48
  1.795196e-02   1.609682e-06   0.000000e+00   7.679240e-07   6
  1.850445e-02   1.452565e-06   2.270653e-10   2.210516e-07   48
  1.904093e-02   1.506825e-06   2.140792e-10   1.699174e-07   36
  1.956269e-02   2.410881e-06   2.270653e-10   5.460437e-07   24
  2.007090e-02   1.563143e-06   3.211188e-10   2.916141e-07   24
  2.056655e-02   1.539725e-06   0.000000e+00   2.268445e-07   48
  2.105054e-02   2.616733e-06   3.211188e-10   4.031929e-07   24
  2.198657e-02   2.466702e-06   3.211188e-10   4.201375e-07   24
  2.243995e-02   1.823337e-06   0.000000e+00   3.232419e-07   30
  2.288435e-02   2.100167e-06   0.000000e+00   2.511865e-07   72
  2.332028e-02   2.201004e-06   3.405980e-10   4.861325e-07   32
  2.416856e-02   3.374464e-06   0.000000e+00   4.235828e-07   72
  2.458173e-02   2.191623e-06   0.000000e+00   3.473098e-07   48
  2.538790e-02   1.319416e-06   0.000000e+00   4.248117e-07   12
  2.578154e-02   2.766888e-06   0.000000e+00   4.491527e-07   48
  2.616925e-02   2.588266e-06   0.000000e+00   2.786220e-07   48
  2.655130e-02   3.626862e-06   3.211188e-10   4.955139e-07   48
  2.692794e-02   4.600542e-06   3.633045e-10   8.725875e-07   30
  2.729937e-02   4.280900e-06   0.000000e+00   1.045218e-06   24
  2.766583e-02   4.651064e-06   6.769780e-10   5.071126e-07   72
  2.838454e-02   3.021642e-06   0.000000e+00   6.220559e-07   24
  2.873715e-02   4.850653e-06   0.000000e+00   5.197366e-07   96
  2.908550e-02   3.909223e-06   0.000000e+00   5.618589e-07   48
  2.942972e-02   3.412867e-06   5.561942e-10   9.060453e-07   24
  2.976995e-02   2.575443e-06   5.561942e-10   5.730362e-07   24
  3.010635e-02   6.430079e-06   0.000000e+00   8.490535e-07   72
  3.043903e-02   5.000569e-06   0.000000e+00   8.335976e-07   48
  3.109370e-02   4.713104e-06   3.405980e-10   1.518073e-06   8
  3.141593e-02   7.153848e-06   4.036717e-10   9.252172e-07   54
  3.173488e-02   5.005911e-06   0.000000e+00   9.455778e-07   84
  3.205066e-02   5.691746e-06   0.000000e+00   8.845804e-07   48
  3.236335e-02   3.660717e-06   4.541306e-10   7.062392e-07   24
  3.267306e-02   5.028817e-06   6.055075e-10   6.456827e-07   72
  3.297985e-02   6.834598e-06   0.000000e+00   8.419866e-07   96
  3.358504e-02   9.897780e-06   0.000000e+00   1.166935e-06   48
  3.388358e-02   5.575854e-06   0.000000e+00   5.652656e-07   48
  3.417951e-02   4.977681e-06   0.000000e+00   1.049312e-06   24
  3.447290e-02   5.826683e-06   0.000000e+00   6.790823e-07   72
  3.505232e-02   6.398385e-06   0.000000e+00   8.177685e-07   72
  3.533846e-02   6.396148e-06   0.000000e+00   7.883737e-07   96
  3.590392e-02   9.227810e-06   0.000000e+00   4.407919e-06   6
  3.618333e-02   7.804677e-06   0.000000e+00   8.182557e-07   96
  3.646060e-02   8.207570e-06   4.541306e-10   9.488815e-07   96
  3.673578e-02   5.646904e-06   0.000000e+00   1.451755e-06   24
  3.700891e-02   6.419052e-06   4.541306e-10   8.628254e-07   48
  3.728004e-02   6.615607e-06   0.000000e+00   7.238240e-07   96
  3.754921e-02   7.900086e-06   0.000000e+00   1.148536e-06   48
  3.808185e-02   7.298074e-06   4.281585e-10   1.478026e-06   36
  3.834540e-02   7.494760e-06   7.865773e-10   1.022804e-06   48
  3.860715e-02   8.466477e-06   8.899106e-10   8.212919e-07   120
  3.886713e-02   7.750642e-06   0.000000e+00   1.104847e-06   56
  3.912539e-02   4.439197e-06   4.541306e-10   8.385162e-07   24
  3.938195e-02   6.553934e-06   0.000000e+00   6.297828e-07   96
  3.963685e-02   7.081731e-06   0.000000e+00   9.859296e-07   48
  4.014180e-02   8.927548e-06   6.422377e-10   1.792049e-06   24
  4.039191e-02   9.918322e-06   0.000000e+00   1.072074e-06   102
  4.064047e-02   1.041659e-05   4.541306e-10   1.702419e-06   48
  4.088753e-02   9.744249e-06   0.000000e+00   1.049650e-06   72
