# power spectrum of phi
# redshift z=3.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  4.487990e-03   4.350119e-10   0.000000e+00   1.761864e-10   6
  6.346976e-03   2.521575e-10   0.000000e+00   5.044072e-11   12
  7.773426e-03   1.880558e-10   8.514949e-11   3.855747e-11   8
  8.975979e-03   6.427709e-10   0.000000e+00   6.932611e-11   6
  1.003545e-02   4.400588e-10   1.605594e-10   1.407475e-10   24
  1.099328e-02   6.200220e-10   1.605594e-10   1.050979e-10   24
  1.269395e-02   2.742198e-10   0.000000e+00   1.236718e-10   12
  1.346397e-02   3.151826e-10   1.816523e-10   5.738867e-11   30
  1.419227e-02   4.094226e-10   0.000000e+00   9.048020e-11   24
  1.488498e-02   3.646726e-10   2.780971e-10   9.100684e-11   24
  1.554685e-02   4.068370e-10   1.702990e-10   8.266352e-11   8
  1.618168e-02   3.534825e-10   2.270653e-10   4.441744e-11   24
  1.679252e-02   3.272063e-10   0.000000e+00   4.623315e-11   48
  1.795196e-02   4.170901e-10   0.000000e+00   1.843184e-10   6
  1.850445e-02   3.124535e-10   2.270653e-10   4.379250e-11   48
  1.904093e-02   2.932073e-10   2.140792e-10   3.109253e-11   36
  1.956269e-02   3.964169e-10   2.270653e-10   8.357245e-11   24
  2.007090e-02   2.426921e-10   3.211188e-10   4.143658e-11   24
  2.056655e-02   2.135901e-10   0.000000e+00   2.893884e-11   48
  2.105054e-02   3.066331e-10   3.211188e-10   4.377081e-11   24
  2.198657e-02   2.526241e-10   3.211188e-10   3.970674e-11   24
  2.243995e-02   1.712043e-10   0.000000e+00   2.815260e-11   30
  2.288435e-02   1.863492e-10   0.000000e+00   2.019956e-11   72
  2.332028e-02   1.926934e-10   3.405980e-10   4.004693e-11   32
  2.416856e-02   2.292823e-10   0.000000e+00   2.619264e-11   72
  2.458173e-02   1.495930e-10   0.000000e+00   2.202525e-11   48
  2.538790e-02   7.243179e-11   0.000000e+00   2.150797e-11   12
  2.578154e-02   1.445601e-10   0.000000e+00   2.165192e-11   48
  2.616925e-02   1.247311e-10   0.000000e+00   1.217198e-11   48
  2.655130e-02   1.687904e-10   3.211188e-10   2.150611e-11   48
  2.692794e-02   1.992149e-10   3.633045e-10   3.504304e-11   30
  2.729937e-02   2.092651e-10   0.000000e+00   4.710666e-11   24
  2.766583e-02   1.927584e-10   6.769780e-10   2.075967e-11   72
  2.838454e-02   1.178176e-10   0.000000e+00   2.252727e-11   24
  2.873715e-02   1.599223e-10   0.000000e+00   1.529552e-11   96
  2.908550e-02   1.194122e-10   0.000000e+00   1.614991e-11   48
  2.942972e-02   9.603209e-11   5.561942e-10   2.347347e-11   24
  2.976995e-02   7.735021e-11   5.561942e-10   1.601785e-11   24
  3.010635e-02   1.709494e-10   0.000000e+00   2.085675e-11   72
  3.043903e-02   1.357951e-10   0.000000e+00   2.097428e-11   48
  3.109370e-02   9.885737e-11   3.405980e-10   2.881963e-11   8
  3.141593e-02   1.696642e-10   4.036717e-10   2.164190e-11   54
  3.173488e-02   1.039821e-10   0.000000e+00   1.710013e-11   84
  3.205066e-02   1.278462e-10   0.000000e+00   1.889413e-11   48
  3.236335e-02   7.335486e-11   4.541306e-10   1.298782e-11   24
  3.267306e-02   1.010988e-10   6.055075e-10   1.179482e-11   72
  3.297985e-02   1.292254e-10   0.000000e+00   1.462259e-11   96
  3.358504e-02   1.588166e-10   0.000000e+00   1.743545e-11   48
  3.388358e-02   9.036786e-11   0.000000e+00   8.785255e-12   48
  3.417951e-02   8.609009e-11   0.000000e+00   1.686677e-11   24
  3.447290e-02   8.967940e-11   0.000000e+00   1.001888e-11   72
  3.505232e-02   8.274606e-11   0.000000e+00   9.707686e-12   72
  3.533846e-02   8.618042e-11   0.000000e+00   9.840667e-12   96
  3.590392e-02   1.593007e-10   0.000000e+00   6.971109e-11   6
  3.618333e-02   9.882845e-11   0.000000e+00   1.048354e-11   96
  3.646060e-02   1.007753e-10   4.541306e-10   1.075246e-11   96
  3.673578e-02   6.171921e-11   0.000000e+00   1.478013e-11   24
  3.700891e-02   7.356583e-11   4.541306e-10   8.132420e-12   48
  3.728004e-02   7.718588e-11   0.000000e+00   7.753585e-12   96
  3.754921e-02   7.036714e-11   0.000000e+00   9.678985e-12   48
  3.808185e-02   7.282836e-11   4.281585e-10   1.244110e-11   36
  3.834540e-02   7.293076e-11   7.865773e-10   8.983048e-12   48
  3.860715e-02   7.818259e-11   8.899106e-10   6.972703e-12   120
  3.886713e-02   6.456692e-11   0.000000e+00   8.480939e-12   56
  3.912539e-02   3.436318e-11   4.541306e-10   6.063696e-12   24
  3.938195e-02   5.298354e-11   0.000000e+00   4.814644e-12   96
  3.963685e-02   5.319785e-11   0.000000e+00   6.793847e-12   48
  4.014180e-02   7.589598e-11   6.422377e-10   1.414884e-11   24
  4.039191e-02   7.277821e-11   0.000000e+00   7.368215e-12   102
  4.064047e-02   9.219344e-11   4.541306e-10   1.440259e-11   48
  4.088753e-02   7.253584e-11   0.000000e+00   7.902512e-12   72
  4.113310e-02   6.361305e-11   0.000000e+00   6.379009e-12   48
  4.137722e-02   8.006319e-11   0.000000e+00   1.461455e-11   48
  4.161990e-02   6.118061e-11   1.027580e-09   6.131570e-12   120
  4.210107e-02   6.885422e-11   6.422377e-10   1.125480e-11   24
  4.233961e-02   4.957804e-11   6.055075e-10   4.250371e-12   144
  4.257681e-02   4.888131e-11   7.266090e-10   5.033445e-12   120
  4.281269e-02   4.925878e-11   6.422377e-10   6.967405e-12   48
  4.328060e-02   5.576748e-11   6.422377e-10   7.490470e-12   48
  4.351267e-02   4.674047e-11   6.422377e-10   4.560786e-12   96
  4.412543e-02   5.369168e-11   1.076845e-04   6.044066e-12   72
  4.442883e-02   4.486433e-11   5.708779e-10   3.357321e-12   108
  4.465493e-02   4.822228e-11   0.000000e+00   5.218471e-12   72
  4.487990e-02   3.595872e-11   0.000000e+00   8.572788e-12   30
  4.510374e-02   5.182577e-11   0.000000e+00   3.947148e-12   168
  4.532647e-02   6.551399e-11   0.000000e+00   8.607427e-12   48
  4.576869e-02   3.755577e-11   0.000000e+00   4.778360e-12   72
  4.598821e-02   5.343695e-11   0.000000e+00   5.324110e-12   96
  4.620668e-02   4.581298e-11   1.211015e-09   7.091648e-12   72
  4.642412e-02   5.014000e-11   0.000000e+00   5.528075e-12   72
  4.678970e-02   5.046004e-11   9.942967e-05   4.335844e-12   104
  4.707043e-02   4.431500e-11   8.563169e-10   3.462552e-12   144
  4.770798e-02   3.178700e-11   1.436087e-09   3.165199e-12   96
  4.791862e-02   2.686054e-11   0.000000e+00   2.802276e-12   96
  4.825361e-02   4.090980e-11   1.022910e-04   3.788045e-12   120
  4.854503e-02   3.560447e-11   0.000000e+00   3.160509e-12   120
  4.875204e-02   4.388333e-11   0.000000e+00   4.819718e-12   72
  4.916346e-02   4.938769e-11   0.000000e+00   6.616815e-12   48
  4.936788e-02   4.331992e-11   1.117860e-09   5.692177e-12   78
  4.962939e-02   4.769941e-11   9.159181e-05   4.049264e-12   168
  5.017725e-02   4.215695e-11   1.048770e-09   3.629769e-12   144
  5.037756e-02   5.158653e-11   8.563169e-10   3.914564e-12   144
  5.095853e-02   3.923793e-11   5.274950e-05   3.839123e-12   156
  5.117095e-02   3.538041e-11   1.112388e-09   7.537655e-12   48
  5.136739e-02   3.594726e-11   7.266090e-10   3.266731e-12   120
  5.156307e-02   2.238528e-11   0.000000e+00   2.300893e-12   48
  5.190908e-02   3.670770e-11   8.074274e-05   2.856911e-12   216
  5.233850e-02   2.401289e-11   0.000000e+00   2.691268e-12   48
  5.253057e-02   2.773351e-11   6.422377e-10   2.368131e-12   96
  5.280366e-02   3.172525e-11   9.436050e-05   2.939131e-12   168
  5.310261e-02   2.447268e-11   6.422377e-10   3.549467e-12   48
  5.329192e-02   3.752032e-11   0.000000e+00   3.871070e-12   96
  5.348057e-02   2.550524e-11   0.000000e+00   4.620945e-12   48
  5.385587e-02   3.767328e-11   7.266090e-10   5.102097e-12   30
  5.404255e-02   2.645221e-11   0.000000e+00   2.410834e-12   96
  5.426566e-02   3.195907e-11   7.415896e-05   2.386191e-12   240
  5.455256e-02   6.027119e-11   8.000683e-05   9.694234e-12   32
  5.478289e-02   2.288082e-11   0.000000e+00   1.835306e-12   168
  5.496642e-02   2.543270e-11   0.000000e+00   2.425018e-12   120
  5.533165e-02   2.491425e-11   1.353956e-09   3.471950e-12   72
  5.551336e-02   3.200881e-11   6.055075e-10   3.226611e-12   144
  5.569449e-02   2.563360e-11   0.000000e+00   2.489307e-12   96
