# power spectrum of phi
# redshift z=2.925221
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   1.659864e-10   0.000000e+00   6.699610e-11   6
  2.776802e-02   6.750440e-11   0.000000e+00   1.350636e-11   12
  3.400874e-02   3.833519e-11   3.725290e-10   8.067798e-12   8
  3.926991e-02   1.072980e-10   0.000000e+00   1.168246e-11   6
  4.390509e-02   6.325894e-11   7.024475e-10   2.010459e-11   24
  4.809562e-02   7.945007e-11   7.024475e-10   1.373849e-11   24
  5.553604e-02   2.918818e-11   0.000000e+00   1.299561e-11   12
  5.890486e-02   3.249984e-11   7.947286e-10   5.668312e-12   30
  6.209118e-02   4.105709e-11   0.000000e+00   8.808966e-12   24
  6.512178e-02   3.538526e-11   1.216675e-09   8.786712e-12   24
  6.801748e-02   3.697472e-11   7.450581e-10   7.216146e-12   8
  7.079483e-02   3.120539e-11   9.934107e-10   3.974789e-12   24
  7.346727e-02   2.789088e-11   0.000000e+00   3.979227e-12   48
  7.853982e-02   3.102818e-11   0.000000e+00   1.366666e-11   6
  8.095699e-02   2.323046e-11   9.934107e-10   3.337547e-12   48
  8.330406e-02   2.091902e-11   9.365966e-10   2.321459e-12   36
  8.558678e-02   2.838036e-11   9.934107e-10   6.052208e-12   24
  8.781018e-02   1.665151e-11   1.404895e-09   2.641892e-12   24
  8.997866e-02   1.395742e-11   0.000000e+00   1.809934e-12   48
  9.209610e-02   1.829864e-11   1.404895e-09   2.644598e-12   24
  9.619124e-02   1.566477e-11   1.404895e-09   2.282950e-12   24
  9.817477e-02   9.236844e-12   0.000000e+00   1.578836e-12   30
  1.001190e-01   1.064738e-11   0.000000e+00   1.146326e-12   72
  1.020262e-01   1.031864e-11   1.490116e-09   2.203833e-12   32
  1.057375e-01   1.218330e-11   0.000000e+00   1.416764e-12   72
  1.075451e-01   7.254322e-12   0.000000e+00   1.094735e-12   48
  1.110721e-01   3.827321e-12   0.000000e+00   1.199838e-12   12
  1.127942e-01   7.433548e-12   0.000000e+00   1.061233e-12   48
  1.144905e-01   6.439318e-12   0.000000e+00   5.974489e-13   48
  1.161620e-01   7.906027e-12   1.404895e-09   1.061273e-12   48
  1.178097e-01   9.798072e-12   1.589457e-09   1.757458e-12   30
  1.194348e-01   1.028642e-11   0.000000e+00   2.185455e-12   24
  1.210380e-01   1.003798e-11   2.961779e-09   1.093061e-12   72
  1.241824e-01   4.844103e-12   0.000000e+00   1.088536e-12   24
  1.257251e-01   7.540963e-12   0.000000e+00   7.246938e-13   96
  1.272490e-01   5.775908e-12   0.000000e+00   8.819578e-13   48
  1.287550e-01   4.496103e-12   2.433349e-09   9.865943e-13   24
  1.302436e-01   3.101875e-12   2.433349e-09   6.482226e-13   24
  1.317153e-01   7.982448e-12   0.000000e+00   9.285473e-13   72
  1.331707e-01   6.197223e-12   0.000000e+00   8.973973e-13   48
  1.360350e-01   4.317234e-12   1.490116e-09   1.134676e-12   8
  1.374447e-01   7.854617e-12   1.766064e-09   1.060012e-12   54
  1.388401e-01   4.691880e-12   0.000000e+00   7.313839e-13   84
  1.402216e-01   6.313075e-12   0.000000e+00   8.684457e-13   48
  1.415897e-01   3.487852e-12   1.986821e-09   5.669273e-13   24
  1.429446e-01   4.402061e-12   2.649095e-09   4.801221e-13   72
  1.442869e-01   5.591454e-12   0.000000e+00   6.546814e-13   96
  1.469345e-01   6.656268e-12   0.000000e+00   7.171142e-13   48
  1.482407e-01   4.098467e-12   0.000000e+00   4.577084e-13   48
  1.495354e-01   3.631949e-12   0.000000e+00   6.993166e-13   24
  1.508189e-01   3.840059e-12   0.000000e+00   4.115678e-13   72
  1.533539e-01   3.534780e-12   0.000000e+00   4.299862e-13   72
  1.546058e-01   3.416327e-12   0.000000e+00   3.732693e-13   96
  1.570796e-01   5.734105e-12   0.000000e+00   2.446003e-12   6
  1.583021e-01   3.801741e-12   0.000000e+00   4.382015e-13   96
  1.595151e-01   3.946166e-12   1.986821e-09   4.191681e-13   96
  1.607190e-01   1.944653e-12   0.000000e+00   4.607241e-13   24
  1.619140e-01   2.807145e-12   1.986821e-09   3.383102e-13   48
  1.631002e-01   2.787391e-12   0.000000e+00   2.819943e-13   96
  1.642778e-01   2.673797e-12   0.000000e+00   4.326482e-13   48
  1.666081e-01   2.569290e-12   1.873193e-09   4.260787e-13   36
  1.677611e-01   2.520716e-12   3.441276e-09   3.295858e-13   48
  1.689063e-01   2.830246e-12   3.893359e-09   2.617073e-13   120
  1.700437e-01   2.600660e-12   0.000000e+00   3.625329e-13   56
  1.711736e-01   1.337328e-12   1.986821e-09   2.513453e-13   24
  1.722960e-01   1.984414e-12   0.000000e+00   1.955804e-13   96
  1.734112e-01   2.095579e-12   0.000000e+00   2.487860e-13   48
  1.756204e-01   2.705249e-12   2.809790e-09   4.678962e-13   24
  1.767146e-01   2.815765e-12   0.000000e+00   3.110266e-13   102
  1.778021e-01   3.205591e-12   1.986821e-09   5.258430e-13   48
  1.788829e-01   2.624251e-12   0.000000e+00   2.539038e-13   72
  1.799573e-01   2.360643e-12   0.000000e+00   2.315037e-13   48
  1.810253e-01   2.669874e-12   0.000000e+00   5.112386e-13   48
  1.820871e-01   2.343383e-12   4.495664e-09   2.126008e-13   120
  1.841922e-01   2.553083e-12   2.809790e-09   3.256615e-13   24
  1.852358e-01   1.844616e-12   2.649095e-09   1.592306e-13   144
  1.862735e-01   1.788658e-12   3.178914e-09   2.096063e-13   120
