# power spectrum of delta
# redshift z=0.997956
# k              Pk             sigma(k)       sigma(Pk)      count
  1.963495e-02   2.097026e-03   0.000000e+00   8.469976e-04   6
  2.776802e-02   3.418918e-03   0.000000e+00   6.870285e-04   12
  3.400874e-02   4.349630e-03   3.725290e-10   9.501898e-04   8
  3.926991e-02   2.142705e-02   0.000000e+00   2.407444e-03   6
  4.390509e-02   1.989591e-02   7.024475e-10   6.285030e-03   24
  4.809562e-02   3.568005e-02   7.024475e-10   6.326599e-03   24
  5.553604e-02   2.250595e-02   0.000000e+00   9.805926e-03   12
  5.890486e-02   3.206181e-02   7.947286e-10   5.271321e-03   30
  6.209118e-02   5.071619e-02   0.000000e+00   1.049868e-02   24
  6.512178e-02   5.410694e-02   1.216675e-09   1.327884e-02   24
  6.801748e-02   6.412212e-02   7.450581e-10   1.208685e-02   8
  7.079483e-02   6.460165e-02   9.934107e-10   8.521929e-03   24
  7.346727e-02   6.700555e-02   0.000000e+00   9.806141e-03   48
  7.853982e-02   8.875691e-02   0.000000e+00   3.870746e-02   6
  8.095699e-02   8.111179e-02   9.934107e-10   1.197170e-02   48
  8.330406e-02   8.109335e-02   9.365966e-10   1.000343e-02   36
  8.558678e-02   1.280192e-01   9.934107e-10   2.807831e-02   24
  8.781018e-02   8.676790e-02   1.404895e-09   1.350865e-02   24
  8.997866e-02   7.917066e-02   0.000000e+00   9.871646e-03   48
  9.209610e-02   1.049563e-01   1.404895e-09   1.629414e-02   24
  9.619124e-02   1.155815e-01   1.404895e-09   1.559567e-02   24
  9.817477e-02   6.792570e-02   0.000000e+00   1.249088e-02   30
  1.001190e-01   9.469533e-02   0.000000e+00   1.021342e-02   72
  1.020262e-01   9.244544e-02   1.490116e-09   2.080304e-02   32
  1.057375e-01   1.308030e-01   0.000000e+00   1.536704e-02   72
  1.075451e-01   7.383000e-02   0.000000e+00   1.153037e-02   48
  1.110721e-01   5.489542e-02   0.000000e+00   1.934321e-02   12
  1.127942e-01   1.049478e-01   0.000000e+00   1.355843e-02   48
  1.144905e-01   1.013941e-01   0.000000e+00   9.534036e-03   48
  1.161620e-01   1.152359e-01   1.404895e-09   1.654322e-02   48
  1.178097e-01   1.529459e-01   1.589457e-09   2.837820e-02   30
  1.194348e-01   1.792811e-01   0.000000e+00   3.429267e-02   24
  1.210380e-01   1.907920e-01   2.961779e-09   2.062629e-02   72
  1.241824e-01   7.434484e-02   0.000000e+00   2.119791e-02   24
  1.257251e-01   1.537192e-01   0.000000e+00   1.478267e-02   96
  1.272490e-01   1.294931e-01   0.000000e+00   2.237331e-02   48
  1.287550e-01   1.001007e-01   2.433349e-09   1.806017e-02   24
  1.302436e-01   7.115433e-02   2.433349e-09   1.637170e-02   24
  1.317153e-01   1.933760e-01   0.000000e+00   2.115294e-02   72
  1.331707e-01   1.596819e-01   0.000000e+00   2.212805e-02   48
  1.360350e-01   1.166018e-01   1.490116e-09   2.756398e-02   8
  1.374447e-01   2.313669e-01   1.766064e-09   3.399165e-02   54
  1.388401e-01   1.509397e-01   0.000000e+00   2.039589e-02   84
  1.402216e-01   2.100207e-01   0.000000e+00   2.753403e-02   48
  1.415897e-01   1.286959e-01   1.986821e-09   1.777786e-02   24
  1.429446e-01   1.574052e-01   2.649095e-09   1.701688e-02   72
  1.442869e-01   1.897764e-01   0.000000e+00   2.201172e-02   96
  1.469345e-01   2.366035e-01   0.000000e+00   2.407299e-02   48
  1.482407e-01   1.791883e-01   0.000000e+00   2.303035e-02   48
  1.495354e-01   1.644598e-01   0.000000e+00   3.188570e-02   24
  1.508189e-01   1.769457e-01   0.000000e+00   1.705860e-02   72
  1.533539e-01   1.723097e-01   0.000000e+00   1.955977e-02   72
  1.546058e-01   1.623091e-01   0.000000e+00   1.633417e-02   96
  1.570796e-01   2.635365e-01   0.000000e+00   1.093936e-01   6
  1.583021e-01   1.996607e-01   0.000000e+00   2.134803e-02   96
  1.595151e-01   2.082266e-01   1.986821e-09   2.217833e-02   96
  1.607190e-01   1.043814e-01   0.000000e+00   2.347732e-02   24
  1.619140e-01   1.696625e-01   1.986821e-09   2.109248e-02   48
  1.631002e-01   1.580888e-01   0.000000e+00   1.644255e-02   96
  1.642778e-01   1.670865e-01   0.000000e+00   3.380005e-02   48
  1.666081e-01   1.545770e-01   1.873193e-09   2.879884e-02   36
  1.677611e-01   1.530787e-01   3.441276e-09   2.188954e-02   48
  1.689063e-01   1.843886e-01   3.893359e-09   1.707027e-02   120
  1.700437e-01   2.016577e-01   0.000000e+00   3.079440e-02   56
  1.711736e-01   1.057082e-01   1.986821e-09   1.987727e-02   24
  1.722960e-01   1.528620e-01   0.000000e+00   1.701721e-02   96
  1.734112e-01   1.819721e-01   0.000000e+00   2.225669e-02   48
  1.756204e-01   2.166103e-01   2.809790e-09   4.117735e-02   24
