# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   3.143672e+00   9.900990e-03   5.618976e+00   0.000000e+00   4.940656e-324
      1   3.214810e+00   1.030092e-02   5.506971e+00   0.000000e+00   4.940656e-324
      2   3.287395e+00   1.071701e-02   5.397266e+00   0.000000e+00   4.940656e-324
      3   3.361455e+00   1.114991e-02   5.289811e+00   0.000000e+00   4.940656e-324
      4   3.437020e+00   1.160030e-02   5.184557e+00   0.000000e+00   4.940656e-324
      5   3.514119e+00   1.206888e-02   5.081454e+00   0.000000e+00   4.940656e-324
      6   3.592782e+00   1.255639e-02   4.980456e+00   0.000000e+00   4.940656e-324
      7   3.673040e+00   1.306360e-02   4.881517e+00   0.000000e+00   4.940656e-324
      8   3.754925e+00   1.359130e-02   4.784591e+00   0.000000e+00   4.940656e-324
      9   3.838469e+00   1.414032e-02   4.689635e+00   0.000000e+00   4.940656e-324
     10   3.923705e+00   1.471153e-02   4.596606e+00   0.000000e+00   4.940656e-324
     11   4.010665e+00   1.530580e-02   4.505464e+00   0.000000e+00   4.940656e-324
     12   4.099385e+00   1.592409e-02   4.416166e+00   0.000000e+00   4.940656e-324
     13   4.189898e+00   1.656735e-02   4.328675e+00   0.000000e+00   4.940656e-324
     14   4.282242e+00   1.723660e-02   4.242950e+00   0.000000e+00   4.940656e-324
     15   4.376450e+00   1.793289e-02   4.158956e+00   0.000000e+00   4.940656e-324
     16   4.472562e+00   1.865731e-02   4.076654e+00   0.000000e+00   4.940656e-324
     17   4.570614e+00   1.941100e-02   3.996009e+00   0.000000e+00   4.940656e-324
     18   4.670644e+00   2.019514e-02   3.916987e+00   0.000000e+00   4.940656e-324
     19   4.772693e+00   2.101095e-02   3.839552e+00   0.000000e+00   4.940656e-324
     20   4.876800e+00   2.185972e-02   3.763672e+00   0.000000e+00   4.940656e-324
     21   4.983005e+00   2.274279e-02   3.689314e+00   0.000000e+00   4.940656e-324
     22   5.091352e+00   2.366153e-02   3.616447e+00   0.000000e+00   4.940656e-324
     23   5.201881e+00   2.461738e-02   3.545038e+00   0.000000e+00   4.940656e-324
     24   5.314637e+00   2.561186e-02   3.475058e+00   0.000000e+00   4.940656e-324
     25   5.429663e+00   2.664651e-02   3.406478e+00   0.000000e+00   4.940656e-324
     26   5.547005e+00   2.772296e-02   3.339268e+00   0.000000e+00   4.940656e-324
     27   5.666709e+00   2.884289e-02   3.273399e+00   0.000000e+00   4.940656e-324
     28   5.788821e+00   3.000808e-02   3.208845e+00   0.000000e+00   4.940656e-324
     29   5.913391e+00   3.122033e-02   3.145577e+00   0.000000e+00   4.940656e-324
     30   6.040465e+00   3.248157e-02   3.083570e+00   0.000000e+00   4.940656e-324
     31   6.170095e+00   3.379375e-02   3.022799e+00   0.000000e+00   4.940656e-324
     32   6.302332e+00   3.515895e-02   2.963236e+00   0.000000e+00   4.940656e-324
     33   6.437226e+00   3.657930e-02   2.904858e+00   0.000000e+00   4.940656e-324
     34   6.574831e+00   3.805704e-02   2.847641e+00   0.000000e+00   4.940656e-324
     35   6.715201e+00   3.959447e-02   2.791560e+00   0.000000e+00   4.940656e-324
     36   6.858391e+00   4.119402e-02   2.736594e+00   0.000000e+00   4.940656e-324
     37   7.004457e+00   4.285819e-02   2.682718e+00   0.000000e+00   4.940656e-324
     38   7.153456e+00   4.458959e-02   2.629911e+00   0.000000e+00   4.940656e-324
     39   7.305447e+00   4.639094e-02   2.578151e+00   0.000000e+00   4.940656e-324
     40   7.460490e+00   4.826507e-02   2.527418e+00   0.000000e+00   4.940656e-324
     41   7.618645e+00   5.021491e-02   2.477689e+00   0.000000e+00   4.940656e-324
     42   7.779974e+00   5.224352e-02   2.428946e+00   0.000000e+00   4.940656e-324
     43   7.944540e+00   5.435409e-02   2.381168e+00   0.000000e+00   4.940656e-324
     44   8.112409e+00   5.654992e-02   2.334335e+00   0.000000e+00   4.940656e-324
     45   8.283645e+00   5.883447e-02   2.288429e+00   0.000000e+00   4.940656e-324
     46   8.458317e+00   6.121131e-02   2.243430e+00   0.000000e+00   4.940656e-324
     47   8.636492e+00   6.368418e-02   2.199322e+00   0.000000e+00   4.940656e-324
     48   8.818240e+00   6.625695e-02   2.156085e+00   0.000000e+00   4.940656e-324
     49   9.003633e+00   6.893366e-02   2.113702e+00   0.000000e+00   4.940656e-324
     50   9.192744e+00   7.171852e-02   2.072157e+00   0.000000e+00   4.940656e-324
     51   9.385646e+00   7.461587e-02   2.031432e+00   0.000000e+00   4.940656e-324
     52   9.582415e+00   7.763029e-02   1.991512e+00   0.000000e+00   4.940656e-324
     53   9.783129e+00   8.076648e-02   1.952379e+00   0.000000e+00   4.940656e-324
     54   9.987865e+00   8.402938e-02   1.914018e+00   0.000000e+00   4.940656e-324
     55   1.019670e+01   8.742410e-02   1.876414e+00   0.000000e+00   4.940656e-324
