,CuGal,CuGal,CuGal,CuGal,CuGal,CuGal,LCDM,LCDM,LCDM,LCDM,LCDM,LCDM,QCDM,QCDM,QCDM,QCDM,QCDM,QCDM
,0.0,0.25,0.5,1.0,2.0,49.0,0.0,0.25,0.5,1.0,2.0,49.0,0.0,0.25,0.5,1.0,2.0,49.0
0.02005,28021.176837158204,20835.276837158202,15632.476837158203,9290.986837158203,4196.466837158203,15.143637158203125,23288.0768371582,17898.0768371582,13825.376837158203,8627.406837158203,4084.7368371582033,15.143637158203125,26880.276837158202,20473.676837158204,15516.676837158204,9276.356837158202,4195.756837158203,15.143637158203125
0.03504,19780.476837158203,14781.676837158204,11138.376837158203,6662.376837158203,3030.056837158203,11.074537158203125,16491.5768371582,12727.976837158203,9867.446837158202,6191.426837158203,2949.936837158203,11.074537158203125,18984.476837158203,14527.876837158203,11056.676837158204,6651.966837158203,3029.5468371582033,11.074537158203125
0.04923,14278.176837158204,10675.176837158204,8049.336837158203,4820.5368371582035,2195.396837158203,8.044907158203124,11907.176837158204,9195.536837158203,7133.356837158203,4480.596837158203,2137.446837158203,8.044907158203124,13697.776837158202,10490.376837158203,7989.916837158203,4812.976837158203,2195.0268371582033,8.044907158203124
0.06378,11327.876837158203,8540.346837158204,6482.386837158203,3916.6068371582032,1798.2168371582031,6.657307158203125,9498.276837158202,7384.026837158203,5758.816837158203,3644.0868371582033,1751.096837158203,6.657307158203125,10880.076837158203,8395.886837158203,6435.436837158203,3910.5468371582033,1797.9168371582032,6.657307158203125
0.08007,10317.176837158204,7653.006837158203,5724.916837158203,3378.366837158203,1507.4268371582032,5.258137158203125,8562.606837158202,6565.856837158203,5056.496837158204,3133.906837158203,1466.746837158203,5.258137158203125,9879.356837158202,7514.596837158203,5680.8268371582035,3372.866837158203,1507.1668371582032,5.258137158203125
0.09616,7465.776837158203,5491.816837158203,4087.136837158203,2401.626837158203,1071.8968371582032,3.813707158203125,6161.776837158203,4697.816837158203,3604.786837158203,2227.406837158203,1043.066837158203,3.813707158203125,7135.686837158203,5389.406837158203,4054.9868371582033,2397.696837158203,1071.7068371582031,3.813707158203125
0.11108,5888.666837158203,4315.396837158203,3208.5468371582033,1888.8568371582032,847.4988371582032,3.057127158203125,4847.876837158203,3689.286837158203,2830.616837158203,1752.6868371582032,824.8628371582031,3.057127158203125,5622.836837158203,4234.086837158203,3183.2368371582033,1885.766837158203,847.3548371582032,3.057127158203125
0.12606,4907.926837158203,3631.936837158203,2725.376837158203,1626.7268371582031,739.3958371582031,2.695327158203125,4065.676837158203,3120.876837158203,2413.2568371582033,1511.9268371582032,719.8618371582031,2.695327158203125,4692.626837158203,3565.656837158203,2704.536837158203,1624.1368371582032,739.2718371582031,2.695327158203125
0.14227,4382.616837158203,3234.916837158203,2414.2768371582033,1422.6468371582032,635.3148371582031,2.262187158203125,3627.886837158203,2773.0668371582033,2132.0068371582033,1319.8768371582032,618.2378371582031,2.262187158203125,4189.736837158203,3174.8368371582033,2395.3568371582032,1420.326837158203,635.2078371582031,2.262187158203125
0.15855,3636.886837158203,2623.946837158203,1926.9768371582031,1117.1268371582032,495.6668371582031,1.787537158203125,2966.676837158203,2229.216837158203,1693.1668371582032,1035.1368371582032,482.3408371582031,1.787537158203125,3462.646837158203,2571.8168371582033,1911.1268371582032,1115.276837158203,495.5828371582031,1.787537158203125
0.17375,3331.326837158203,2406.536837158203,1767.016837158203,1019.2268371582031,445.5298371582031,1.522737158203125,2720.966837158203,2045.3868371582032,1551.826837158203,943.4148371582031,433.31483715820315,1.522737158203125,3172.766837158203,2358.966837158203,1752.4868371582031,1017.5168371582031,445.4538371582031,1.522737158203125
