# power spectrum of phi
# redshift z=100.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   1.485256e-10   0.000000e+00   5.978191e-11   6
  2.961922e-02   5.870361e-11   0.000000e+00   1.169935e-11   12
  3.627599e-02   3.319332e-11   3.973643e-10   6.749422e-12   8
  4.188790e-02   9.015989e-11   0.000000e+00   9.687910e-12   6
  4.683210e-02   5.401867e-11   0.000000e+00   1.719235e-11   24
  5.130199e-02   6.937602e-11   7.492773e-10   1.167335e-11   24
  5.923844e-02   2.685907e-11   0.000000e+00   1.206345e-11   12
  6.283185e-02   2.959526e-11   8.477105e-10   5.426314e-12   30
  6.623059e-02   3.546239e-11   0.000000e+00   7.800205e-12   24
  6.946323e-02   3.078492e-11   1.297786e-09   7.618607e-12   24
  7.255197e-02   3.400922e-11   7.947286e-10   6.868598e-12   8
  7.551449e-02   2.750594e-11   1.059638e-09   3.413400e-12   24
  7.836509e-02   2.452945e-11   0.000000e+00   3.440849e-12   48
  8.377580e-02   2.640654e-11   0.000000e+00   1.159669e-11   6
  8.635412e-02   1.988302e-11   1.498555e-09   2.783609e-12   48
  8.885766e-02   1.756246e-11   0.000000e+00   1.827606e-12   36
  9.129257e-02   2.389912e-11   1.059638e-09   4.986536e-12   24
  9.366420e-02   1.348839e-11   0.000000e+00   2.313467e-12   24
  9.597724e-02   1.155811e-11   0.000000e+00   1.566125e-12   48
  9.823584e-02   1.710151e-11   1.498555e-09   2.425900e-12   24
  1.026040e-01   1.287174e-11   1.498555e-09   2.015864e-12   24
  1.047198e-01   8.564985e-12   0.000000e+00   1.398110e-12   30
  1.067936e-01   8.986372e-12   0.000000e+00   9.865592e-13   72
  1.088280e-01   8.672067e-12   1.589457e-09   1.768638e-12   32
  1.127866e-01   1.111877e-11   0.000000e+00   1.281832e-12   72
  1.147147e-01   6.760922e-12   0.000000e+00   9.864841e-13   48
  1.184769e-01   3.496420e-12   0.000000e+00   1.036660e-12   12
  1.203138e-01   6.882112e-12   0.000000e+00   1.027119e-12   48
  1.221232e-01   6.020199e-12   0.000000e+00   5.939399e-13   48
  1.239061e-01   7.949877e-12   1.498555e-09   1.001454e-12   48
  1.256637e-01   9.470445e-12   1.695421e-09   1.653243e-12   30
  1.273971e-01   8.501145e-12   1.498555e-09   1.910434e-12   24
  1.291072e-01   8.572816e-12   3.159231e-09   8.674122e-13   72
  1.324612e-01   4.983256e-12   0.000000e+00   9.450011e-13   24
  1.341067e-01   7.424882e-12   0.000000e+00   7.280158e-13   96
  1.357323e-01   5.627107e-12   0.000000e+00   7.467993e-13   48
  1.373387e-01   4.613003e-12   2.595573e-09   1.125401e-12   24
  1.389265e-01   3.331983e-12   2.595573e-09   6.839294e-13   24
  1.404963e-01   7.789020e-12   0.000000e+00   9.456063e-13   72
  1.420488e-01   5.778245e-12   0.000000e+00   8.858148e-13   48
  1.451039e-01   4.737100e-12   1.589457e-09   1.402789e-12   8
  1.466077e-01   6.989209e-12   1.883801e-09   8.386569e-13   54
  1.480961e-01   4.570645e-12   0.000000e+00   7.883808e-13   84
  1.495697e-01   5.011871e-12   0.000000e+00   7.185583e-13   48
  1.510290e-01   3.028967e-12   2.119276e-09   5.367545e-13   24
  1.524743e-01   3.972578e-12   1.998073e-09   4.675499e-13   72
  1.539060e-01   5.117673e-12   0.000000e+00   5.793367e-13   96
  1.567302e-01   6.647983e-12   0.000000e+00   7.212857e-13   48
  1.581234e-01   3.601548e-12   0.000000e+00   3.369767e-13   48
  1.595044e-01   3.122186e-12   2.119276e-09   6.059114e-13   24
  1.608735e-01   3.452850e-12   0.000000e+00   3.717745e-13   72
  1.635775e-01   3.442489e-12   1.998073e-09   4.049238e-13   72
  1.649128e-01   3.341381e-12   0.000000e+00   3.793700e-13   96
  1.675516e-01   4.674565e-12   0.000000e+00   2.054974e-12   6
  1.688555e-01   3.666225e-12   0.000000e+00   3.569745e-13   96
  1.701495e-01   3.730825e-12   2.119276e-09   3.970659e-13   96
  1.714336e-01   2.450798e-12   0.000000e+00   5.805456e-13   24
  1.727082e-01   2.727123e-12   2.997109e-09   3.305077e-13   48
  1.739735e-01   2.747739e-12   0.000000e+00   2.762461e-13   96
  1.752297e-01   3.082605e-12   0.000000e+00   4.138158e-13   48
  1.777153e-01   2.747641e-12   0.000000e+00   5.046159e-13   36
  1.789452e-01   2.745225e-12   3.670694e-09   3.427292e-13   48
  1.801667e-01   3.007919e-12   4.152916e-09   2.678922e-13   120
  1.813799e-01   2.653853e-12   0.000000e+00   3.481266e-13   56
  1.825851e-01   1.467513e-12   2.119276e-09   2.562714e-13   24
  1.837824e-01   2.129815e-12   0.000000e+00   1.884643e-13   96
  1.849720e-01   2.236171e-12   0.000000e+00   2.861702e-13   48
  1.873284e-01   2.737309e-12   0.000000e+00   5.051087e-13   24
  1.884956e-01   2.913738e-12   0.000000e+00   2.899328e-13   102
  1.896555e-01   3.072286e-12   0.000000e+00   4.627913e-13   48
  1.908085e-01   2.738511e-12   0.000000e+00   2.722666e-13   72
  1.919545e-01   2.476952e-12   0.000000e+00   2.486649e-13   48
  1.930937e-01   2.688322e-12   0.000000e+00   4.940533e-13   48
  1.942262e-01   2.242653e-12   4.795375e-09   1.993502e-13   120
