# power spectrum of delta
# redshift z=6.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   2.153651e-04   0.000000e+00   9.097400e-05   6
  2.961922e-02   3.374666e-04   0.000000e+00   7.060204e-05   12
  3.627599e-02   4.252484e-04   3.973643e-10   9.197188e-05   8
  4.188790e-02   2.095391e-03   0.000000e+00   2.364378e-04   6
  4.683210e-02   1.938356e-03   0.000000e+00   6.474559e-04   24
  5.130199e-02   3.554961e-03   7.492773e-10   6.373307e-04   24
  5.923844e-02   2.397290e-03   0.000000e+00   1.121291e-03   12
  6.283185e-02   3.343363e-03   8.477105e-10   6.273995e-04   30
  6.623059e-02   5.094033e-03   0.000000e+00   1.164887e-03   24
  6.946323e-02   5.250503e-03   1.297786e-09   1.371422e-03   24
  7.255197e-02   6.699058e-03   7.947286e-10   1.392199e-03   8
  7.551449e-02   6.441656e-03   1.059638e-09   8.604219e-04   24
  7.836509e-02   6.636041e-03   0.000000e+00   9.882860e-04   48
  8.377580e-02   9.610625e-03   0.000000e+00   4.428369e-03   6
  8.635412e-02   7.946754e-03   1.498555e-09   1.178152e-03   48
  8.885766e-02   7.957695e-03   0.000000e+00   8.897013e-04   36
  9.129257e-02   1.179739e-02   1.059638e-09   2.632141e-03   24
  9.366420e-02   7.503754e-03   0.000000e+00   1.294740e-03   24
  9.597724e-02   7.001226e-03   0.000000e+00   9.736285e-04   48
  9.823584e-02   1.063363e-02   1.498555e-09   1.579436e-03   24
  1.026040e-01   1.026107e-02   1.498555e-09   1.644662e-03   24
  1.047198e-01   7.009308e-03   0.000000e+00   1.225367e-03   30
  1.067936e-01   8.304238e-03   0.000000e+00   9.412537e-04   72
  1.088280e-01   8.820562e-03   1.589457e-09   1.925575e-03   32
  1.127866e-01   1.240104e-02   0.000000e+00   1.503454e-03   72
  1.147147e-01   8.285445e-03   0.000000e+00   1.274352e-03   48
  1.184769e-01   4.643362e-03   0.000000e+00   1.443247e-03   12
  1.203138e-01   9.873470e-03   0.000000e+00   1.522096e-03   48
  1.221232e-01   9.031553e-03   0.000000e+00   8.927148e-04   48
  1.239061e-01   1.235203e-02   1.498555e-09   1.677710e-03   48
  1.256637e-01   1.590607e-02   1.695421e-09   2.934410e-03   30
  1.273971e-01   1.654786e-02   1.498555e-09   3.837721e-03   24
  1.291072e-01   1.687731e-02   3.159231e-09   1.845340e-03   72
  1.324612e-01   1.036479e-02   0.000000e+00   2.136449e-03   24
  1.341067e-01   1.575340e-02   0.000000e+00   1.593485e-03   96
  1.357323e-01   1.242838e-02   0.000000e+00   1.830523e-03   48
  1.373387e-01   1.053461e-02   2.595573e-09   2.595671e-03   24
  1.389265e-01   8.017807e-03   2.595573e-09   1.770888e-03   24
  1.404963e-01   1.945045e-02   0.000000e+00   2.410855e-03   72
  1.420488e-01   1.579925e-02   0.000000e+00   2.503876e-03   48
  1.451039e-01   1.261766e-02   1.589457e-09   3.706806e-03   8
  1.466077e-01   2.144344e-02   1.883801e-09   2.824702e-03   54
  1.480961e-01   1.375742e-02   0.000000e+00   2.351178e-03   84
  1.495697e-01   1.748638e-02   0.000000e+00   2.646768e-03   48
  1.510290e-01   1.040345e-02   2.119276e-09   1.857487e-03   24
  1.524743e-01   1.408660e-02   1.998073e-09   1.676680e-03   72
  1.539060e-01   1.869540e-02   0.000000e+00   2.281496e-03   96
  1.567302e-01   2.448420e-02   0.000000e+00   2.793853e-03   48
  1.581234e-01   1.442483e-02   0.000000e+00   1.527719e-03   48
  1.595044e-01   1.333635e-02   2.119276e-09   2.736970e-03   24
  1.608735e-01   1.474477e-02   0.000000e+00   1.704892e-03   72
