# power spectrum of delta
# redshift z=50.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   4.112237e-06   0.000000e+00   1.756087e-06   6
  2.961922e-02   6.486617e-06   0.000000e+00   1.371721e-06   12
  3.627599e-02   8.236013e-06   3.973643e-10   1.778266e-06   8
  4.188790e-02   3.985278e-05   0.000000e+00   4.543363e-06   6
  4.683210e-02   3.722670e-05   0.000000e+00   1.257125e-05   24
  5.130199e-02   6.871907e-05   7.492773e-10   1.228395e-05   24
  5.923844e-02   4.717998e-05   0.000000e+00   2.247300e-05   12
  6.283185e-02   6.571668e-05   8.477105e-10   1.276413e-05   30
  6.623059e-02   9.751999e-05   0.000000e+00   2.274565e-05   24
  6.946323e-02   1.021384e-04   1.297786e-09   2.683490e-05   24
  7.255197e-02   1.337028e-04   7.947286e-10   2.863152e-05   8
  7.551449e-02   1.270637e-04   1.059638e-09   1.676674e-05   24
  7.836509e-02   1.312380e-04   0.000000e+00   1.955536e-05   48
  8.377580e-02   1.852274e-04   0.000000e+00   8.628394e-05   6
  8.635412e-02   1.566922e-04   1.498555e-09   2.328415e-05   48
  8.885766e-02   1.552390e-04   0.000000e+00   1.717666e-05   36
  9.129257e-02   2.342835e-04   1.059638e-09   5.196541e-05   24
  9.366420e-02   1.468720e-04   0.000000e+00   2.664021e-05   24
  9.597724e-02   1.384458e-04   0.000000e+00   1.987804e-05   48
  9.823584e-02   2.230459e-04   1.498555e-09   3.357592e-05   24
  1.026040e-01   2.007987e-04   1.498555e-09   3.333185e-05   24
  1.047198e-01   1.443776e-04   0.000000e+00   2.505230e-05   30
  1.067936e-01   1.642787e-04   0.000000e+00   1.910196e-05   72
  1.088280e-01   1.716876e-04   1.589457e-09   3.720677e-05   32
  1.127866e-01   2.514446e-04   0.000000e+00   3.075709e-05   72
  1.147147e-01   1.644273e-04   0.000000e+00   2.546659e-05   48
  1.184769e-01   9.588433e-05   0.000000e+00   3.014213e-05   12
  1.203138e-01   2.008937e-04   0.000000e+00   3.181085e-05   48
  1.221232e-01   1.861030e-04   0.000000e+00   1.942267e-05   48
  1.239061e-01   2.603624e-04   1.498555e-09   3.485331e-05   48
  1.256637e-01   3.279086e-04   1.695421e-09   6.077377e-05   30
  1.273971e-01   3.154001e-04   1.498555e-09   7.505385e-05   24
  1.291072e-01   3.324490e-04   3.159231e-09   3.584099e-05   72
  1.324612e-01   2.138225e-04   0.000000e+00   4.308221e-05   24
  1.341067e-01   3.319309e-04   0.000000e+00   3.445272e-05   96
  1.357323e-01   2.633504e-04   0.000000e+00   3.723775e-05   48
  1.373387e-01   2.256693e-04   2.595573e-09   5.838144e-05   24
  1.389265e-01   1.717765e-04   2.595573e-09   3.747293e-05   24
  1.404963e-01   4.173614e-04   0.000000e+00   5.371012e-05   72
  1.420488e-01   3.253565e-04   0.000000e+00   5.292208e-05   48
  1.451039e-01   2.858032e-04   1.589457e-09   8.958190e-05   8
  1.466077e-01   4.450491e-04   1.883801e-09   5.692760e-05   54
  1.480961e-01   3.003710e-04   0.000000e+00   5.470997e-05   84
  1.495697e-01   3.464889e-04   0.000000e+00   5.277605e-05   48
  1.510290e-01   2.160738e-04   2.119276e-09   4.056235e-05   24
  1.524743e-01   2.948312e-04   1.998073e-09   3.670529e-05   72
  1.539060e-01   3.936108e-04   0.000000e+00   4.733741e-05   96
  1.567302e-01   5.447885e-04   0.000000e+00   6.281429e-05   48
  1.581234e-01   3.069037e-04   0.000000e+00   3.061885e-05   48
  1.595044e-01   2.771681e-04   2.119276e-09   5.712982e-05   24
  1.608735e-01   3.151271e-04   0.000000e+00   3.611290e-05   72
  1.635775e-01   3.330494e-04   1.998073e-09   4.163566e-05   72
  1.649128e-01   3.352225e-04   0.000000e+00   4.039994e-05   96
  1.675516e-01   5.124307e-04   0.000000e+00   2.381561e-04   6
  1.688555e-01   4.043386e-04   0.000000e+00   4.208377e-05   96
  1.701495e-01   4.243840e-04   2.119276e-09   4.797229e-05   96
  1.714336e-01   2.837403e-04   0.000000e+00   7.141106e-05   24
  1.727082e-01   3.282626e-04   2.997109e-09   4.179281e-05   48
  1.739735e-01   3.414431e-04   0.000000e+00   3.639298e-05   96
  1.752297e-01   3.870016e-04   0.000000e+00   5.543550e-05   48
  1.777153e-01   3.689493e-04   0.000000e+00   7.108069e-05   36
  1.789452e-01   3.787935e-04   3.670694e-09   5.015775e-05   48
  1.801667e-01   4.257152e-04   4.152916e-09   4.020358e-05   120
  1.813799e-01   3.838853e-04   0.000000e+00   5.355142e-05   56
  1.825851e-01   2.168573e-04   2.119276e-09   4.033805e-05   24
  1.837824e-01   3.241688e-04   0.000000e+00   3.047008e-05   96
  1.849720e-01   3.482365e-04   0.000000e+00   4.727189e-05   48
  1.873284e-01   4.545051e-04   0.000000e+00   8.904620e-05   24
  1.884956e-01   4.903971e-04   0.000000e+00   5.194958e-05   102
  1.896555e-01   5.382655e-04   0.000000e+00   8.617976e-05   48
  1.908085e-01   4.850094e-04   0.000000e+00   5.128634e-05   72
  1.919545e-01   4.485431e-04   0.000000e+00   4.770427e-05   48
  1.930937e-01   5.040430e-04   0.000000e+00   9.802452e-05   48
  1.942262e-01   4.269804e-04   4.795375e-09   4.062073e-05   120
  1.964717e-01   6.509044e-04   2.997109e-09   1.137511e-04   24
  1.975848e-01   3.995480e-04   2.825702e-09   3.548327e-05   144
  1.986918e-01   4.124711e-04   3.390842e-09   4.240457e-05   120
  1.997926e-01   3.447429e-04   2.997109e-09   5.130069e-05   48
  2.019761e-01   5.002640e-04   2.997109e-09   7.068899e-05   48
  2.030591e-01   4.128001e-04   2.997109e-09   4.447693e-05   96
  2.059187e-01   5.472382e-04   5.025279e-04   6.937766e-05   72
  2.073345e-01   4.209507e-04   3.767602e-09   3.376856e-05   108
  2.083897e-01   4.930735e-04   0.000000e+00   5.535549e-05   72
  2.094395e-01   3.140504e-04   0.000000e+00   6.495346e-05   30
  2.104841e-01   5.179532e-04   0.000000e+00   4.260402e-05   168
  2.115235e-01   5.436095e-04   0.000000e+00   6.497650e-05   48
  2.135872e-01   3.664165e-04   0.000000e+00   4.571064e-05   72
