# power spectrum of phi
# redshift z=0.500000
# k              Pk             sigma(k)       sigma(Pk)      count
  2.094395e-02   1.202146e-10   0.000000e+00   4.779752e-11   6
  2.961922e-02   4.808628e-11   0.000000e+00   9.534709e-12   12
  3.627599e-02   2.706194e-11   3.973643e-10   5.948619e-12   8
  4.188790e-02   7.642677e-11   0.000000e+00   8.570414e-12   6
  4.683210e-02   4.631943e-11   0.000000e+00   1.436735e-11   24
  5.130199e-02   5.867450e-11   7.492773e-10   1.043475e-11   24
  5.923844e-02   2.121791e-11   0.000000e+00   8.860343e-12   12
  6.283185e-02   2.433845e-11   8.477105e-10   3.767647e-12   30
  6.623059e-02   3.200918e-11   0.000000e+00   6.359030e-12   24
  6.946323e-02   2.863675e-11   1.297786e-09   6.892669e-12   24
  7.255197e-02   2.735373e-11   7.947286e-10   4.937649e-12   8
  7.551449e-02   2.393516e-11   1.059638e-09   3.219291e-12   24
  7.836509e-02   2.150673e-11   0.000000e+00   3.146836e-12   48
  8.377580e-02   2.092330e-11   0.000000e+00   8.891078e-12   6
  8.635412e-02   1.757501e-11   1.498555e-09   2.580134e-12   48
  8.885766e-02   1.578156e-11   0.000000e+00   2.064560e-12   36
  9.129257e-02   2.260523e-11   1.059638e-09   5.026060e-12   24
  9.366420e-02   1.434101e-11   0.000000e+00   2.229148e-12   24
  9.597724e-02   1.202860e-11   0.000000e+00   1.457845e-12   48
  9.823584e-02   1.374203e-11   1.498555e-09   2.244880e-12   24
  1.026040e-01   1.378434e-11   1.498555e-09   1.764297e-12   24
  1.047198e-01   7.154777e-12   0.000000e+00   1.339942e-12   30
  1.067936e-01   1.008699e-11   0.000000e+00   1.071952e-12   72
  1.088280e-01   9.013016e-12   1.589457e-09   2.037281e-12   32
  1.127866e-01   1.129525e-11   0.000000e+00   1.306179e-12   72
  1.147147e-01   5.804687e-12   0.000000e+00   9.193898e-13   48
  1.184769e-01   4.335536e-12   0.000000e+00   1.631898e-12   12
  1.203138e-01   7.458931e-12   0.000000e+00   9.103352e-13   48
  1.221232e-01   6.858306e-12   0.000000e+00   6.847831e-13   48
  1.239061e-01   7.073417e-12   1.498555e-09   1.033019e-12   48
  1.256637e-01   8.816240e-12   1.695421e-09   1.634434e-12   30
  1.273971e-01   1.016682e-11   1.498555e-09   1.819837e-12   24
  1.291072e-01   1.048713e-11   3.159231e-09   1.109093e-12   72
  1.324612e-01   3.369720e-12   0.000000e+00   1.020080e-12   24
  1.341067e-01   6.850053e-12   0.000000e+00   6.471108e-13   96
  1.357323e-01   5.638479e-12   0.000000e+00   1.002767e-12   48
  1.373387e-01   4.037158e-12   2.595573e-09   5.798991e-13   24
  1.389265e-01   3.202894e-12   2.595573e-09   7.632621e-13   24
  1.404963e-01   7.064882e-12   0.000000e+00   7.372446e-13   72
  1.420488e-01   5.662969e-12   0.000000e+00   7.898184e-13   48
  1.451039e-01   3.774928e-12   1.589457e-09   8.214390e-13   8
  1.466077e-01   7.336077e-12   1.883801e-09   1.102671e-12   54
  1.480961e-01   4.825165e-12   0.000000e+00   5.728500e-13   84
  1.495697e-01   6.397406e-12   0.000000e+00   8.292521e-13   48
  1.510290e-01   3.874554e-12   2.119276e-09   4.718607e-13   24
  1.524743e-01   4.510579e-12   1.998073e-09   5.205528e-13   72
  1.539060e-01   4.779107e-12   0.000000e+00   5.253946e-13   96
  1.567302e-01   5.442828e-12   0.000000e+00   5.191865e-13   48
  1.581234e-01   4.355165e-12   0.000000e+00   5.902454e-13   48
  1.595044e-01   4.101462e-12   2.119276e-09   8.086504e-13   24
  1.608735e-01   4.168776e-12   0.000000e+00   3.790928e-13   72
